"burst_date_mother","position_mother_L","position_ancestor_L","probas"
"1","0","0",0.894116383313615
"2","0","0",0.951876227191387
"3","0","0",0.999999983211471
"4","0","0",0.918054223925567
"9","0","0",2.26590634570338e-08
"10","0","0",0.302333947627376
"12","0","0",0.737971795027935
"1","1","0",0.825339053967982
"2","1","0",0.917140246505606
"3","1","0",0.999999969998612
"4","1","0",0.862433536308343
"9","1","0",1.26798250712384e-08
"10","1","0",0.195170622052989
"12","1","0",0.611804966844173
"1","0","1",0.952708933046081
"2","0","1",0.979248183312696
"3","0","1",0.99999999296285
"4","0","1",0.963934662744002
"9","0","1",5.40577270902487e-08
"10","0","1",0.5083202925464
"12","0","1",0.870450298331249
"1","1","1",0.918522555632076
"2","1","1",0.963512071689052
"3","1","1",0.999999987424493
"4","1","1",0.937329469716041
"9","1","1",3.02502587554554e-08
"10","1","1",0.366499521680649
"12","1","1",0.789912534418403
"5","0","0",0
"6","0","0",0
"7","0","0",0
"8","0","0",0
"11","0","0",0
"5","1","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"11","1","0",0
"5","0","1",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"11","0","1",0
"5","1","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"11","1","1",0
