"burst_date_mother","position_mother_L","probas"
"04-09","0",0.147143215323399
"04-10","0",0.374999999999999
"04-11","0",0.646938263823994
"05-01","0",0.955952679435616
"05-02","0",0.555185840675543
"04-09","1",0.0440473205643834
"04-10","1",0.138109159666562
"04-11","1",0.328572025538696
"05-01","1",0.8528567846766
"05-02","1",0.25
"04-05","0",0
"04-06","0",0
"04-07","0",0
"04-08","0",0
"04-12","0",0
"05-03","0",0
"05-04","0",0
"05-05","0",0
"05-06","0",0
"05-07","0",0
"04-05","1",0
"04-06","1",0
"04-07","1",0
"04-08","1",0
"04-12","1",0
"05-03","1",0
"05-04","1",0
"05-05","1",0
"05-06","1",0
"05-07","1",0
