"burst_date_mother","position_mother_L","probas"
"03-09","0",2.76306911519562e-09
"03-10","0",0.870818364202972
"03-11","0",0.999999999503927
"03-12","0",0.60065243076449
"04-01","0",1.76198431684567e-09
"04-02","0",0.0355306961574195
"04-03","0",2.04465133463771e-09
"04-04","0",1.99906689062365e-09
"03-09","1",7.28590009234675e-10
"03-10","1",0.639968586821069
"03-11","1",0.999999998118718
"03-12","1",0.283980493678587
"04-01","1",4.64615293796145e-10
"04-02","1",0.00962073623048854
"04-03","1",5.39151382715913e-10
"04-04","1",5.27131281469142e-10
"03-05","0",0
"03-06","0",0
"03-07","0",0
"03-08","0",0
"04-05","0",0
"04-06","0",0
"04-07","0",0
"03-05","1",0
"03-06","1",0
"03-07","1",0
"03-08","1",0
"04-05","1",0
"04-06","1",0
"04-07","1",0
