"burst_date_mother","nature_mother_V","probas"
"1","0",0.722815391573483
"2","0",0.79767694632574
"3","0",0.8
"4","0",0.486098786802082
"9","0",3.96228383818585e-08
"10","0",0.0656659993183285
"12","0",0.190237691219158
"1","1",0.919550993918813
"2","1",0.945299546648043
"3","1",0.946042267046855
"4","1",0.805678798645843
"9","1",1.7367702817106e-07
"10","1",0.235509052918596
"12","1",0.507330826586146
"04-07","0",0
"04-08","0",0
"04-09","0",0
"04-10","0",0
"04-11","0",0
"04-12","0",0
"05-01","0",0
"05-02","0",0
"05-03","0",0
"05-04","0",0
"05-05","0",0
"05-06","0",0
"05-07","0",0
"04-07","1",0
"04-08","1",0
"04-09","1",0
"04-10","1",0
"04-11","1",0
"04-12","1",0
"05-01","1",0
"05-02","1",0
"05-03","1",0
"05-04","1",0
"05-05","1",0
"05-06","1",0
"05-07","1",0
