"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",3.42970404268376
"2","0","0",3.80011696867734
"3","0","0",3.01104176242483
"4","0","0",3.26958831617116
"10","0","0",1.97419051614202e-07
"12","0","0",2.71814998695395
"1","1","0",1.80485988869183
"2","1","0",1.99978732967757
"3","1","0",1.58454153260524
"4","1","0",1.72060000832465
"10","1","0",1.03890517399641e-07
"12","1","0",1.43040910289814
"1","0","1",2.13396501689725
"2","0","1",2.36443628090122
"3","0","1",1.87347296019259
"4","0","1",2.03434086426465
"10","0","1",1.22834315897439e-07
"12","0","1",1.6912354275037
"1","1","1",1.12298548648402
"2","1","1",1.24426951995163
"3","1","1",0.985903202235029
"4","1","1",1.07055891124787
"10","1","1",6.46407756934933e-08
"12","1","1",0.890001862390277
"5","0","0",0
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"11","0","0",0
"5","1","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"11","1","0",0
"5","0","1",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"11","0","1",0
"5","1","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
"11","1","1",0
