"burst_date_mother","position_mother_L","nature_ancestor_V","probas"
"1","0","0",0.785219411531112
"3","0","0",0.92551124221127
"4","0","0",0.999999972695554
"10","0","0",9.42256043788373e-08
"11","0","0",6.38922039855834e-08
"12","0","0",0.8125157472818
"1","1","0",0.473699619770909
"3","1","0",0.753627419850666
"4","1","0",0.99999988909274
"10","1","0",2.31975604757173e-08
"11","1","0",1.57297291088033e-08
"12","1","0",0.516193218788615
"1","0","1",0.86492582449578
"3","0","1",0.956067390585494
"4","0","1",0.999999984410836
"10","0","1",1.65036285601979e-07
"11","0","1",1.11907292445468e-07
"12","0","1",0.883594032716087
"1","1","1",0.611868875690373
"3","1","1",0.842709335924603
"4","1","1",0.999999936678753
"10","1","1",4.06305636937122e-08
"11","1","1",2.75506454523873e-08
"12","1","1",0.651415953412813
"2","0","0",0
"5","0","0",0
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"2","1","0",0
"5","1","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"2","0","1",0
"5","0","1",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"2","1","1",0
"5","1","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
