"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",0.817737833840222
"3","0","0",0.877875538731857
"4","0","0",0.570790257742249
"10","0","0",0.4714802061199
"11","0","0",1.72294931400722e-06
"12","0","0",0.285611021142579
"1","1","0",0.717266651337738
"3","1","0",0.802550497783014
"4","1","0",0.429209742257754
"10","1","0",0.335289926927635
"11","1","0",9.74224091269773e-07
"12","1","0",0.184380107452268
"1","0","1",0.551442126364246
"3","0","1",0.663262612402213
"4","0","1",0.267073725044701
"10","0","1",0.196423457076982
"11","0","1",4.72103191690049e-07
"12","0","1",0.0987320255668285
"1","1","1",0.410075557951508
"3","1","1",0.526902850689627
"4","1","1",0.170841856247887
"10","1","1",0.121430617169207
"11","1","1",2.66945782539732e-07
"12","1","1",0.0583296084843498
"2","0","0",0
"5","0","0",0
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"2","1","0",0
"5","1","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"2","0","1",0
"5","0","1",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"2","1","1",0
"5","1","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
