"burst_date_mother","position_mother_L","probas"
"03-10","0",1.7320207829544
"03-11","0",2.72777733725764
"03-12","0",2.21861573390012
"04-01","0",8.3152871910832e-08
"04-02","0",1
"04-03","0",8.31528719104527e-08
"03-10","1",0.518548896591734
"03-11","1",0.816667988227094
"03-12","1",0.664230332624856
"04-01","1",2.48950996443851e-08
"04-02","1",0.299389534868754
"04-03","1",2.48950996442716e-08
"03-05","0",0
"03-06","0",0
"03-07","0",0
"03-08","0",0
"03-09","0",0
"04-04","0",0
"04-05","0",0
"04-06","0",0
"04-07","0",0
"03-05","1",0
"03-06","1",0
"03-07","1",0
"03-08","1",0
"03-09","1",0
"04-04","1",0
"04-05","1",0
"04-06","1",0
"04-07","1",0
