"burst_date_mother","position_mother_L","nature_ancestor_V","probas"
"1","0","0",0.933721541435381
"2","0","0",0.948898626384384
"3","0","0",0.999999992386275
"4","0","0",0.931970573132986
"5","0","0",0.203326866835636
"9","0","0",5.25856973937776e-08
"10","0","0",0.701432775987725
"12","0","0",0.95462862966931
"1","1","0",0.792407505668046
"2","1","0",0.834197942323239
"3","1","0",0.999999971900073
"4","1","0",0.787771800970301
"5","1","0",0.0646795488595367
"9","1","0",1.42481870879412e-08
"10","1","0",0.388960316965874
"12","1","0",0.850766633635546
"1","0","1",0.770496045094267
"2","0","1",0.815671398138203
"3","0","1",0.99999996805066
"4","0","1",0.765515830747582
"5","0","1",0.0573334349383796
"9","0","1",1.25314959035423e-08
"10","0","1",0.358916691570743
"12","0","1",0.833722431006575
"1","1","1",0.476342609609307
"2","1","1",0.545245143002231
"3","1","1",0.999999882084771
"4","1","1",0.469375204453904
"5","1","1",0.0162122474686027
"9","1","1",3.39543073042171e-09
"10","1","1",0.131714526800769
"12","1","1",0.576013016823297
"6","0","0",0
"7","0","0",0
"8","0","0",0
"11","0","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"11","1","0",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"11","0","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"11","1","1",0
