"burst_date_mother","position_mother_L","probas"
"1","0",0.832683472218591
"2","0",0.67624754863147
"3","0",0.713604635701291
"8","0",0.553983978613758
"9","0",0.442786230194601
"10","0",5.03250053158869e-07
"11","0",0.579164098602416
"12","0",4.72103191692583e-07
"1","1",0.74526760185644
"2","1",0.551156273126037
"3","1",0.594287737730689
"8","1",0.422027570903042
"9","1",0.318407868460227
"10","1",2.95849524900802e-07
"11","1",0.44722393426506
"12","1",2.77538973511926e-07
"4","0",0
"5","0",0
"6","0",0
"7","0",0
"4","1",0
"5","1",0
"6","1",0
"7","1",0
