"burst_date_mother","position_mother_L","position_ancestor_L","probas"
"03-09","0","0",0.600469508313925
"03-10","0","0",0.478691627529972
"03-11","0","0",0.632022156094495
"03-12","0","0",0.642443512457346
"04-01","0","0",0.769661989083865
"04-02","0","0",6.61929651967571e-07
"03-09","1","0",0.173675447311611
"03-10","1","0",0.113799385789093
"03-11","1","0",0.193672818430978
"03-12","1","0",0.200810639352814
"04-01","1","0",0.318468808597227
"04-02","1","0",9.25675614952864e-08
"03-09","0","1",0.490460072016914
"03-10","0","1",0.370313702045511
"03-11","0","1",0.52381087613555
"03-12","0","1",0.535042310607385
"04-01","0","1",0.681531191402772
"04-02","0","1",4.23932143163288e-07
"03-09","1","1",0.11863864551973
"03-10","1","1",0.0759920218310098
"03-11","1","1",0.133321396551735
"03-12","1","1",0.13861733905367
"04-01","1","1",0.230338010916135
"04-02","1","1",5.92847843905388e-08
"03-05","0","0",0
"03-06","0","0",0
"03-07","0","0",0
"03-08","0","0",0
"04-03","0","0",0
"04-04","0","0",0
"04-05","0","0",0
"04-06","0","0",0
"04-07","0","0",0
"03-05","1","0",0
"03-06","1","0",0
"03-07","1","0",0
"03-08","1","0",0
"04-03","1","0",0
"04-04","1","0",0
"04-05","1","0",0
"04-06","1","0",0
"04-07","1","0",0
"03-05","0","1",0
"03-06","0","1",0
"03-07","0","1",0
"03-08","0","1",0
"04-03","0","1",0
"04-04","0","1",0
"04-05","0","1",0
"04-06","0","1",0
"04-07","0","1",0
"03-05","1","1",0
"03-06","1","1",0
"03-07","1","1",0
"03-08","1","1",0
"04-03","1","1",0
"04-04","1","1",0
"04-05","1","1",0
"04-06","1","1",0
"04-07","1","1",0
