"burst_date_mother","position_mother_L","nature_ancestor_V","probas"
"1","0","0",0.884772773819706
"2","0","0",0.19010524001377
"8","0","0",0.478832412377366
"9","0","0",0.172328697881505
"10","0","0",0.475063904504522
"11","0","0",0.641027145909873
"12","0","0",0.633136452590361
"1","1","0",0.618609520523926
"2","1","0",0.0472409570593335
"8","1","0",0.162533753011395
"9","1","0",0.0421285997994408
"10","1","0",0.160488015475081
"11","1","0",0.273895112450779
"12","1","0",0.26716026953234
"1","0","1",0.947352174043366
"2","0","1",0.354868851650302
"8","0","1",0.682849957778506
"9","0","1",0.327923626880999
"10","0","1",0.679569468467164
"11","0","1",0.8071265500116
"12","0","1",0.801757815984612
"1","1","1",0.791711295830832
"2","1","1",0.10409973937643
"8","1","1",0.312625321882223
"9","1","1",0.0934376424568187
"10","1","1",0.309388360669987
"11","1","1",0.469206998824741
"12","1","1",0.460716845802618
"3","0","0",0
"4","0","0",0
"5","0","0",0
"6","0","0",0
"7","0","0",0
"3","1","0",0
"4","1","0",0
"5","1","0",0
"6","1","0",0
"7","1","0",0
"3","0","1",0
"4","0","1",0
"5","0","1",0
"6","0","1",0
"7","0","1",0
"3","1","1",0
"4","1","1",0
"5","1","1",0
"6","1","1",0
"7","1","1",0
