"burst_date_mother","position_mother_L","nature_ancestor_V","probas"
"1","0","0",1.75591737770273
"2","0","0",1.80393716801537
"3","0","0",1.32388990668971
"4","0","0",1.32648821528147
"5","0","0",0.999999999999999
"10","0","0",1.42196588203584
"12","0","0",2.25378750748849
"1","1","0",1.10267747662382
"2","1","0",1.13283284833
"3","1","0",0.8313737310045
"4","1","0",0.833005411627878
"5","1","0",0.627977996360203
"10","1","0",0.89296328549344
"12","1","0",1.41532896317428
"1","0","1",1.30598331534986
"2","0","1",1.34169857493512
"3","0","1",0.984658020617614
"4","0","1",0.986590541880891
"5","0","1",0.743761256613611
"10","0","1",1.05760313128466
"12","0","1",1.6762798287097
"1","1","1",0.820128785653262
"2","1","1",0.842557182807095
"3","1","1",0.618343570887454
"4","1","1",0.61955715171829
"5","1","1",0.467065703698563
"10","1","1",0.66415149532842
"12","1","1",1.05266684817214
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"11","0","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"11","1","0",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"11","0","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
"11","1","1",0
