"burst_date_mother","position_mother_L","probas"
"1","0",0.0189799953662942
"2","0",0.0186403175401412
"3","0",1.11461708793848e-08
"4","0",1.1158760176455e-08
"5","0",9.7694168143611e-09
"9","0",0.834391229302866
"10","0",0.740832198208681
"11","0",0.999999993424742
"12","0",0.679637302165517
"1","1",0.011862187799876
"2","1",0.0116483821602408
"3","1",6.9159960588209e-09
"4","1",6.9238074884349e-09
"5","1",6.06174522900606e-09
"9","1",0.757645700953142
"10","1",0.639464201153304
"11","1",0.999999989402981
"12","1",0.568282316152251
"6","0",0
"7","0",0
"8","0",0
"6","1",0
"7","1",0
"8","1",0
