"burst_date_mother","position_mother_L","nature_ancestor_V","probas"
"04-08","0","0",0.629504142571248
"04-09","0","0",0.851370212435191
"04-10","0","0",0.633983080743641
"04-11","0","0",0.944223725151865
"04-12","0","0",0.928394058320226
"05-01","0","0",0.22526812377518
"05-02","0","0",0.0243448913921391
"05-03","0","0",1.23835877594879e-09
"04-08","1","0",0.438870013302878
"04-09","1","0",0.725029598133498
"04-10","1","0",0.44361664300056
"04-11","1","0",0.88626804747727
"04-12","1","0",0.856490100039358
"05-01","1","0",0.118046040547765
"05-02","1","0",0.011355567349881
"05-03","1","0",5.70037832930343e-10
"04-08","0","1",0.784068997269033
"04-09","0","1",0.924480176754506
"04-10","0","1",0.787310715076832
"04-11","0","1",0.973102667260845
"04-12","0","1",0.96516667110858
"05-01","0","1",0.383249649247343
"05-02","0","1",0.0506259205179474
"05-03","0","1",2.64649166145852e-09
"04-08","1","1",0.625673115298626
"04-09","1","1",0.849284073493183
"04-10","1","1",0.630171158117487
"04-11","1","1",0.943354146915851
"04-12","1","1",0.92729669064419
"05-01","1","1",0.222420318586435
"05-02","1","1",0.0239585762577321
"05-03","1","1",1.21822560796781e-09
"04-05","0","0",0
"04-06","0","0",0
"04-07","0","0",0
"05-04","0","0",0
"05-05","0","0",0
"05-06","0","0",0
"05-07","0","0",0
"04-05","1","0",0
"04-06","1","0",0
"04-07","1","0",0
"05-04","1","0",0
"05-05","1","0",0
"05-06","1","0",0
"05-07","1","0",0
"04-05","0","1",0
"04-06","0","1",0
"04-07","0","1",0
"05-04","0","1",0
"05-05","0","1",0
"05-06","0","1",0
"05-07","0","1",0
"04-05","1","1",0
"04-06","1","1",0
"04-07","1","1",0
"05-04","1","1",0
"05-05","1","1",0
"05-06","1","1",0
"05-07","1","1",0
