"burst_date_mother","position_mother_L","position_ancestor_L","probas"
"04-08","0","0",1.21202466967019
"04-09","0","0",9.95995765398947e-08
"04-10","0","0",2.47879565211555
"04-11","0","0",1.50404105542956
"04-12","0","0",1.07707133980242
"05-01","0","0",3.0039348727941
"05-02","0","0",3.26999027778006
"04-08","1","0",0.926627120198212
"04-09","1","0",7.6146691640557e-08
"04-10","1","0",1.89510934402408
"04-11","1","0",1.14988190152253
"04-12","1","0",0.823451484795873
"05-01","1","0",2.2965931223146
"05-02","1","0",2.50000000000001
"04-08","0","1",0.964446934662728
"04-09","0","1",7.92545801181969e-08
"04-10","0","1",1.97245726771277
"04-11","0","1",1.19681374629994
"04-12","0","1",0.857060238194812
"05-01","0","1",2.39032740214859
"05-02","0","1",2.60203622805803
"04-08","1","1",0.73734694351865
"04-09","1","1",6.05923667852628e-08
"04-10","1","1",1.50799933650862
"04-11","1","1",0.914997939315316
"04-12","1","1",0.655246778575025
"05-01","1","1",1.82747286619713
"05-02","1","1",1.98933024796676
"04-05","0","0",0
"04-06","0","0",0
"04-07","0","0",0
"05-03","0","0",0
"05-04","0","0",0
"05-05","0","0",0
"05-06","0","0",0
"05-07","0","0",0
"04-05","1","0",0
"04-06","1","0",0
"04-07","1","0",0
"05-03","1","0",0
"05-04","1","0",0
"05-05","1","0",0
"05-06","1","0",0
"05-07","1","0",0
"04-05","0","1",0
"04-06","0","1",0
"04-07","0","1",0
"05-03","0","1",0
"05-04","0","1",0
"05-05","0","1",0
"05-06","0","1",0
"05-07","0","1",0
"04-05","1","1",0
"04-06","1","1",0
"04-07","1","1",0
"05-03","1","1",0
"05-04","1","1",0
"05-05","1","1",0
"05-06","1","1",0
"05-07","1","1",0
