"burst_date_mother","position_ancestor_L","probas"
"1","0",0.911316524869693
"2","0",0.999999673586338
"3","0",0.758272484499369
"8","0",0.222222222222217
"9","0",5.28958782808651e-07
"10","0",0.192125229703019
"11","0",0.999999527896808
"12","0",0.88180151763255
"1","1",0.876617823897733
"2","1",0.999999527896808
"3","1",0.684428612344965
"8","1",0.164957435906116
"9","1",3.65723807115181e-07
"10","1",0.141208103630309
"11","1",0.999999317181127
"12","1",0.837612411086389
"4","0",0
"5","0",0
"6","0",0
"7","0",0
"4","1",0
"5","1",0
"6","1",0
"7","1",0
