"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",0.999874566844706
"3","0","0",0.999561748045527
"4","0","0",0.999693096730117
"10","0","0",0.999999999998446
"12","0","0",0.999999999980954
"1","1","0",0.997924684858058
"3","1","0",0.99278413291598
"4","1","0",0.994936513508646
"10","1","0",0.999999999974241
"12","1","0",0.999999999684271
"1","0","1",0.959590503223933
"3","0","1",0.871703785806565
"4","0","1",0.906573804508677
"10","0","1",0.999999999478398
"12","0","1",0.999999993606694
"1","1","1",0.588893844533394
"3","1","1",0.290709759263658
"4","1","1",0.369224148129668
"10","1","1",0.999999991353131
"12","1","1",0.999999894014883
"04-07","0","0",0
"04-08","0","0",0
"04-09","0","0",0
"04-10","0","0",0
"04-11","0","0",0
"04-12","0","0",0
"05-01","0","0",0
"05-02","0","0",0
"05-03","0","0",0
"05-04","0","0",0
"05-05","0","0",0
"05-06","0","0",0
"05-07","0","0",0
"04-07","1","0",0
"04-08","1","0",0
"04-09","1","0",0
"04-10","1","0",0
"04-11","1","0",0
"04-12","1","0",0
"05-01","1","0",0
"05-02","1","0",0
"05-03","1","0",0
"05-04","1","0",0
"05-05","1","0",0
"05-06","1","0",0
"05-07","1","0",0
"04-07","0","1",0
"04-08","0","1",0
"04-09","0","1",0
"04-10","0","1",0
"04-11","0","1",0
"04-12","0","1",0
"05-01","0","1",0
"05-02","0","1",0
"05-03","0","1",0
"05-04","0","1",0
"05-05","0","1",0
"05-06","0","1",0
"05-07","0","1",0
"04-07","1","1",0
"04-08","1","1",0
"04-09","1","1",0
"04-10","1","1",0
"04-11","1","1",0
"04-12","1","1",0
"05-01","1","1",0
"05-02","1","1",0
"05-03","1","1",0
"05-04","1","1",0
"05-05","1","1",0
"05-06","1","1",0
"05-07","1","1",0
