"burst_date_mother","position_mother_L","nature_ancestor_V","probas"
"03-09","0","0",0.855302425430544
"03-10","0","0",0.870652759719522
"03-11","0","0",0.876756640252211
"03-12","0","0",0.805817299918768
"04-01","0","0",0.104645265244543
"04-02","0","0",0.955650049605954
"04-03","0","0",0.0129064882018505
"04-04","0","0",1.35598537082893e-08
"03-09","1","0",0.68681854474168
"03-10","1","0",0.714067307846688
"03-11","1","0",0.725228444790909
"03-12","1","0",0.606240320381118
"04-01","1","0",0.0415601250377722
"04-02","1","0",0.888821393138604
"04-03","1","0",0.00482764821844567
"04-04","1","0",5.03086346484173e-09
"03-09","0","1",0.806705389909791
"03-10","0","1",0.826163348445316
"03-11","0","1",0.833966313291186
"03-12","0","1",0.745544974187399
"04-01","0","1",0.0762298614269751
"04-02","0","1",0.938324784312352
"04-03","0","1",0.0091473569397454
"04-04","0","1",9.5739635186643e-09
"03-09","1","1",0.6075966902192
"03-10","1","1",0.638106347694329
"03-11","1","1",0.650782475494669
"03-12","1","1",0.520855264238644
"04-01","1","1",0.0297065245316527
"04-02","1","1",0.849500927467108
"04-03","1","1",0.00341341516617893
"04-04","1","1",3.55205182852213e-09
"03-05","0","0",0
"03-06","0","0",0
"03-07","0","0",0
"03-08","0","0",0
"04-05","0","0",0
"04-06","0","0",0
"04-07","0","0",0
"03-05","1","0",0
"03-06","1","0",0
"03-07","1","0",0
"03-08","1","0",0
"04-05","1","0",0
"04-06","1","0",0
"04-07","1","0",0
"03-05","0","1",0
"03-06","0","1",0
"03-07","0","1",0
"03-08","0","1",0
"04-05","0","1",0
"04-06","0","1",0
"04-07","0","1",0
"03-05","1","1",0
"03-06","1","1",0
"03-07","1","1",0
"03-08","1","1",0
"04-05","1","1",0
"04-06","1","1",0
"04-07","1","1",0
