"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",0.757663397887963
"2","0","0",2.59869556289014e-07
"3","0","0",0.85717711902454
"4","0","0",0.908726146413493
"5","0","0",2.5986955628863e-07
"9","0","0",2.59869556293805e-07
"10","0","0",0.077427141769571
"11","0","0",2.1549742402329e-07
"12","0","0",0.223514890181898
"1","1","0",0.629769404623171
"2","1","0",1.41386328117311e-07
"3","1","0",0.765550585240546
"4","1","0",0.844157808879378
"5","1","0",1.41386328117102e-07
"9","1","0",1.41386328119918e-07
"10","1","0",0.0436670287769327
"11","1","0",1.17244933650899e-07
"12","1","0",0.135405891180903
"1","0","1",0.585553281193603
"2","0","1",1.1743454971324e-07
"3","0","1",0.730614105305209
"4","0","1",0.818152544655247
"5","0","1",1.17434549713067e-07
"9","0","1",1.17434549715406e-07
"10","0","1",0.0365398475812986
"11","0","1",9.73828666214342e-08
"12","0","1",0.115107650368406
"1","1","1",0.434608914072183
"2","1","1",6.38922039846169e-08
"3","1","1",0.596055588452092
"4","1","1",0.709961437788082
"5","1","1",6.38922039845227e-08
"9","1","1",6.3892203985795e-08
"10","1","1",0.0202169143506366
"11","1","1",5.29827545393898e-08
"12","1","1",0.0660949718038047
"6","0","0",0
"7","0","0",0
"8","0","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
