"burst_date_mother","position_mother_L","position_ancestor_L","probas"
"04-08","0","0",0.478697605211358
"04-09","0","0",0.97732122081337
"04-10","0","0",0.790966312925617
"04-11","0","0",2.46330486643322e-08
"04-12","0","0",0.278644162020027
"05-01","0","0",0.00477831752137671
"05-02","0","0",2.28052712501222e-08
"05-03","0","0",1.19053939600195e-08
"04-08","1","0",0.243764014749616
"04-09","1","0",0.937992932885364
"04-10","1","0",0.570494327351929
"04-11","1","0",8.64686924350855e-09
"04-12","1","0",0.119403745796719
"05-01","1","0",0.0016825367709199
"05-02","1","0",8.00526970963907e-09
"05-03","1","0",4.17911665816233e-09
"04-08","0","1",0.25825547072778
"04-09","0","1",0.942328527632834
"04-10","0","1",0.589274148216915
"04-11","0","1",9.33989115112469e-09
"04-12","0","1",0.127751054599402
"05-01","0","1",0.00181714225291916
"05-02","0","1",8.64686924500448e-09
"05-03","0","1",4.51406094042276e-09
"04-08","1","1",0.108907700609803
"04-09","1","1",0.851536047711539
"04-10","1","1",0.334939939357465
"04-11","1","1",3.27855548175724e-09
"04-12","1","1",0.0488980813405525
"05-01","1","1",0.000638619392159787
"05-02","1","1",3.0352859676618e-09
"05-03","1","1",1.58455799488384e-09
"04-05","0","0",0
"04-06","0","0",0
"04-07","0","0",0
"05-04","0","0",0
"05-05","0","0",0
"05-06","0","0",0
"05-07","0","0",0
"04-05","1","0",0
"04-06","1","0",0
"04-07","1","0",0
"05-04","1","0",0
"05-05","1","0",0
"05-06","1","0",0
"05-07","1","0",0
"04-05","0","1",0
"04-06","0","1",0
"04-07","0","1",0
"05-04","0","1",0
"05-05","0","1",0
"05-06","0","1",0
"05-07","0","1",0
"04-05","1","1",0
"04-06","1","1",0
"04-07","1","1",0
"05-04","1","1",0
"05-05","1","1",0
"05-06","1","1",0
"05-07","1","1",0
