"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",4.37550710249977
"3","0","0",4.04847308366242
"4","0","0",4.74831954615115
"10","0","0",3.6926830625237e-06
"12","0","0",0.994365467794634
"1","1","0",2.10830881758836
"3","1","0",1.95072966403786
"4","1","0",2.28794599879824
"10","1","0",1.7792946232061e-06
"12","1","0",0.479128346622748
"1","0","1",1.51093834828195
"3","0","1",1.39800784018797
"4","0","1",1.63967693894902
"10","0","1",1.27514738669507e-06
"12","0","1",0.343371609804926
"1","1","1",0.728035532314714
"3","1","1",0.673620722691107
"4","1","1",0.790067360742605
"10","1","1",6.1442123532563e-07
"12","1","1",0.16545131243134
"04-07","0","0",0
"04-08","0","0",0
"04-09","0","0",0
"04-10","0","0",0
"04-11","0","0",0
"04-12","0","0",0
"05-01","0","0",0
"05-02","0","0",0
"05-03","0","0",0
"05-04","0","0",0
"05-05","0","0",0
"05-06","0","0",0
"05-07","0","0",0
"04-07","1","0",0
"04-08","1","0",0
"04-09","1","0",0
"04-10","1","0",0
"04-11","1","0",0
"04-12","1","0",0
"05-01","1","0",0
"05-02","1","0",0
"05-03","1","0",0
"05-04","1","0",0
"05-05","1","0",0
"05-06","1","0",0
"05-07","1","0",0
"04-07","0","1",0
"04-08","0","1",0
"04-09","0","1",0
"04-10","0","1",0
"04-11","0","1",0
"04-12","0","1",0
"05-01","0","1",0
"05-02","0","1",0
"05-03","0","1",0
"05-04","0","1",0
"05-05","0","1",0
"05-06","0","1",0
"05-07","0","1",0
"04-07","1","1",0
"04-08","1","1",0
"04-09","1","1",0
"04-10","1","1",0
"04-11","1","1",0
"04-12","1","1",0
"05-01","1","1",0
"05-02","1","1",0
"05-03","1","1",0
"05-04","1","1",0
"05-05","1","1",0
"05-06","1","1",0
"05-07","1","1",0
