"burst_date_mother","position_mother_L","position_ancestor_L","probas"
"1","0","0",0.999999999999998
"8","0","0",3.38947167697016
"9","0","0",3.70467805933307
"10","0","0",4.24562729271893
"12","0","0",0.821968443529654
"1","1","0",0.408295858480012
"8","1","0",1.38390724814222
"9","1","0",1.51260470862746
"10","1","0",1.73347204026685
"12","1","0",0.33560631129442
"1","0","1",0.687324636518331
"8","0","1",2.3296673883627
"9","0","1",2.54631650054854
"10","0","1",2.91812423576036
"12","0","1",0.564959161678559
"1","1","1",0.280631802521715
"8","1","1",0.951193546304438
"9","1","1",1.03965048155329
"10","1","1",1.1914580399911
"12","1","1",0.230670485923696
"2","0","0",0
"3","0","0",0
"4","0","0",0
"5","0","0",0
"6","0","0",0
"7","0","0",0
"11","0","0",0
"2","1","0",0
"3","1","0",0
"4","1","0",0
"5","1","0",0
"6","1","0",0
"7","1","0",0
"11","1","0",0
"2","0","1",0
"3","0","1",0
"4","0","1",0
"5","0","1",0
"6","0","1",0
"7","0","1",0
"11","0","1",0
"2","1","1",0
"3","1","1",0
"4","1","1",0
"5","1","1",0
"6","1","1",0
"7","1","1",0
"11","1","1",0
