"is_loaded","burst_date_mother","position_mother_L","probas"
"0","1","0",0.722311916071196
"1","1","0",0.640891639717013
"0","2","0",0.40139281824591
"1","2","0",0.31509900247545
"0","3","0",0.453288218554815
"1","3","0",0.362595642903407
"0","5","0",0.999998716689867
"1","5","0",0.999998129577088
"0","9","0",0.617194364641962
"1","9","0",0.525212159569603
"0","10","0",0.561366366487914
"1","10","0",0.467542424466543
"0","11","0",0.656325646915036
"1","11","0",0.567151860636894
"0","12","0",0.698516564892566
"1","12","0",0.613849229519653
"0","1","1",0.244312536873967
"1","1","1",0.181546917518685
"0","2","1",0.0769304217301595
"1","2","1",0.0540885939785178
"0","3","1",0.0934235628903774
"1","3","1",0.0660349961537122
"0","5","1",0.999989674961105
"1","5","1",0.99998495133099
"0","9","1",0.166938559861229
"1","9","1",0.120871410046409
"0","10","1",0.137237206080325
"1","10","1",0.0983981245554748
"0","11","1",0.19182801879663
"1","11","1",0.140047197533102
"0","12","1",0.223585203096858
"1","12","1",0.16498202633662
"0","4","0",0
"1","4","0",0
"0","6","0",0
"1","6","0",0
"0","7","0",0
"1","7","0",0
"0","8","0",0
"1","8","0",0
"0","4","1",0
"1","4","1",0
"0","6","1",0
"1","6","1",0
"0","7","1",0
"1","7","1",0
"0","8","1",0
"1","8","1",0
