"is_loaded","burst_date_mother","position_mother_L","nature_mother_V","probas"
"0","1","0","0",0.999220819577293
"1","1","0","0",0.997227309458094
"0","2","0","0",0.999581027130058
"1","2","0","0",0.998507721078086
"0","3","0","0",0.997837445318247
"1","3","0","0",0.992331774463045
"0","4","0","0",0.998729769159725
"1","4","0","0",0.995485597075859
"0","5","0","0",0.947909597385777
"1","5","0","0",0.836162863491173
"0","10","0","0",0.99969460478785
"1","10","0","0",0.998911940212277
"0","12","0","0",0.999351438902915
"1","12","0","0",0.997691342351993
"0","1","1","0",0.993726585590853
"1","1","1","0",0.977985929416383
"0","2","1","0",0.996618127810862
"1","2","1","0",0.988045374459685
"0","3","1","0",0.982756955969512
"1","3","1","0",0.941123101455364
"0","4","1","0",0.989808308638788
"1","4","1","0",0.96458664344515
"0","5","1","0",0.692094865286201
"1","5","1","0",0.386654571122307
"0","10","1","0",0.997532923453178
"1","10","1","0",0.991258758802619
"0","12","1","0",0.994773423192993
"1","12","1","0",0.981610786090851
"0","1","0","1",0.93008521279548
"1","1","0","1",0.78862734130992
"0","2","0","1",0.961163944666349
"1","2","0","1",0.874073717768803
"0","3","0","1",0.827185573493214
"1","3","0","1",0.573093253151249
"0","4","0","1",0.890786118788375
"1","4","0","1",0.695819350704826
"0","5","0","1",0.158796379607703
"1","5","0","1",0.0502810004233142
"0","10","0","1",0.971393814395147
"1","10","0","1",0.90497618766517
"0","12","0","1",0.941122603274974
"1","12","0","1",0.817617469462487
"0","1","1","1",0.621672198408138
"1","1","1","1",0.315468473265105
"0","2","1","1",0.753515189239542
"1","2","1","1",0.461605963247004
"0","3","1","1",0.371558554953236
"1","3","1","1",0.142233205203584
"0","4","1","1",0.501862258366068
"1","4","1","1",0.220306900271209
"0","5","1","1",0.0227860277035999
"1","5","1","1",0.00649706821085002
"0","10","1","1",0.807486782976824
"1","10","1","1",0.540519448446958
"0","12","1","1",0.663798743787318
"1","12","1","1",0.356391947935356
"0","04-07","0","0",0
"1","04-07","0","0",0
"0","04-08","0","0",0
"1","04-08","0","0",0
"0","04-09","0","0",0
"1","04-09","0","0",0
"0","04-10","0","0",0
"1","04-10","0","0",0
"0","04-11","0","0",0
"1","04-11","0","0",0
"0","04-12","0","0",0
"1","04-12","0","0",0
"0","05-01","0","0",0
"1","05-01","0","0",0
"0","05-02","0","0",0
"1","05-02","0","0",0
"0","05-03","0","0",0
"1","05-03","0","0",0
"0","05-04","0","0",0
"1","05-04","0","0",0
"0","05-05","0","0",0
"1","05-05","0","0",0
"0","05-06","0","0",0
"1","05-06","0","0",0
"0","05-07","0","0",0
"1","05-07","0","0",0
"0","04-07","1","0",0
"1","04-07","1","0",0
"0","04-08","1","0",0
"1","04-08","1","0",0
"0","04-09","1","0",0
"1","04-09","1","0",0
"0","04-10","1","0",0
"1","04-10","1","0",0
"0","04-11","1","0",0
"1","04-11","1","0",0
"0","04-12","1","0",0
"1","04-12","1","0",0
"0","05-01","1","0",0
"1","05-01","1","0",0
"0","05-02","1","0",0
"1","05-02","1","0",0
"0","05-03","1","0",0
"1","05-03","1","0",0
"0","05-04","1","0",0
"1","05-04","1","0",0
"0","05-05","1","0",0
"1","05-05","1","0",0
"0","05-06","1","0",0
"1","05-06","1","0",0
"0","05-07","1","0",0
"1","05-07","1","0",0
"0","04-07","0","1",0
"1","04-07","0","1",0
"0","04-08","0","1",0
"1","04-08","0","1",0
"0","04-09","0","1",0
"1","04-09","0","1",0
"0","04-10","0","1",0
"1","04-10","0","1",0
"0","04-11","0","1",0
"1","04-11","0","1",0
"0","04-12","0","1",0
"1","04-12","0","1",0
"0","05-01","0","1",0
"1","05-01","0","1",0
"0","05-02","0","1",0
"1","05-02","0","1",0
"0","05-03","0","1",0
"1","05-03","0","1",0
"0","05-04","0","1",0
"1","05-04","0","1",0
"0","05-05","0","1",0
"1","05-05","0","1",0
"0","05-06","0","1",0
"1","05-06","0","1",0
"0","05-07","0","1",0
"1","05-07","0","1",0
"0","04-07","1","1",0
"1","04-07","1","1",0
"0","04-08","1","1",0
"1","04-08","1","1",0
"0","04-09","1","1",0
"1","04-09","1","1",0
"0","04-10","1","1",0
"1","04-10","1","1",0
"0","04-11","1","1",0
"1","04-11","1","1",0
"0","04-12","1","1",0
"1","04-12","1","1",0
"0","05-01","1","1",0
"1","05-01","1","1",0
"0","05-02","1","1",0
"1","05-02","1","1",0
"0","05-03","1","1",0
"1","05-03","1","1",0
"0","05-04","1","1",0
"1","05-04","1","1",0
"0","05-05","1","1",0
"1","05-05","1","1",0
"0","05-06","1","1",0
"1","05-06","1","1",0
"0","05-07","1","1",0
"1","05-07","1","1",0
