"is_loaded","burst_date_mother","position_mother_L","nature_ancestor_V","probas"
"0","1","0","0",0.946235674966668
"1","1","0","0",0.868041067689418
"0","2","0","0",0.418834665894159
"1","2","0","0",0.212203801298057
"0","8","0","0",0.719152557424399
"1","8","0","0",0.489033921651189
"0","9","0","0",0.697139913057939
"1","9","0","0",0.462466226036344
"0","10","0","0",0.576299302297761
"1","10","0","0",0.337035448775654
"0","11","0","0",0.835863616265666
"1","11","0","0",0.655574586080521
"0","12","0","0",0.595881186904799
"1","12","0","0",0.355304972534089
"0","1","1","0",0.799588127772785
"1","1","1","0",0.598588883419481
"0","2","1","0",0.140430568319258
"1","2","1","0",0.0575487563003309
"0","8","1","0",0.367281396897982
"1","8","1","0",0.178281996792996
"0","9","1","0",0.342889447031734
"1","9","1","0",0.163204262197188
"0","10","1","0",0.23567136497073
"1","10","1","0",0.103336241847069
"0","11","1","0",0.535840523509266
"1","11","1","0",0.301424254479456
"0","12","1","0",0.250522603756331
"1","12","1","0",0.111059890148781
"0","1","0","1",0.96771124613296
"1","1","0","1",0.918045406843893
"0","2","0","1",0.551015406236809
"1","2","0","1",0.314458040502266
"0","8","0","1",0.813451512794026
"1","8","0","1",0.619744023803783
"0","9","0","1",0.796740965461485
"1","9","0","1",0.594334934336969
"0","10","0","1",0.698451120117002
"1","10","0","1",0.464012293573902
"0","11","0","1",0.896608911759061
"1","11","0","1",0.764222019926901
"0","12","0","1",0.715177706647947
"1","12","0","1",0.484138411029265
"0","1","1","1",0.871697910537236
"1","1","1","1",0.717465079788375
"0","2","1","1",0.217654897205316
"1","2","1","1",0.0941897541357309
"0","8","1","1",0.497108970698429
"1","8","1","1",0.269788185289747
"0","9","1","1",0.470506538352843
"1","9","1","1",0.249319632848292
"0","10","1","1",0.344291803244888
"1","10","1","1",0.164055209572785
"0","11","1","1",0.662832308552645
"1","11","1","1",0.423556203139767
"0","12","1","1",0.362739452801401
"1","12","1","1",0.175429263119338
"0","3","0","0",0
"1","3","0","0",0
"0","4","0","0",0
"1","4","0","0",0
"0","5","0","0",0
"1","5","0","0",0
"0","6","0","0",0
"1","6","0","0",0
"0","7","0","0",0
"1","7","0","0",0
"0","3","1","0",0
"1","3","1","0",0
"0","4","1","0",0
"1","4","1","0",0
"0","5","1","0",0
"1","5","1","0",0
"0","6","1","0",0
"1","6","1","0",0
"0","7","1","0",0
"1","7","1","0",0
"0","3","0","1",0
"1","3","0","1",0
"0","4","0","1",0
"1","4","0","1",0
"0","5","0","1",0
"1","5","0","1",0
"0","6","0","1",0
"1","6","0","1",0
"0","7","0","1",0
"1","7","0","1",0
"0","3","1","1",0
"1","3","1","1",0
"0","4","1","1",0
"1","4","1","1",0
"0","5","1","1",0
"1","5","1","1",0
"0","6","1","1",0
"1","6","1","1",0
"0","7","1","1",0
"1","7","1","1",0
