"is_loaded","burst_date_mother","position_mother_L","probas"
"0","03-09","0",0.864181444330362
"1","03-09","0",0.817082116675595
"0","03-10","0",0.829851234863803
"1","03-10","0",0.773960779329222
"0","03-11","0",0.942085917445987
"1","03-11","0",0.919485373052272
"0","03-12","0",0.765163195681355
"1","03-12","0",0.695812868721811
"0","04-01","0",0.0559198852788683
"1","04-01","0",0.0399233554515658
"0","04-02","0",0.0841432779379911
"1","04-02","0",0.060591287638752
"0","04-03","0",0.0105159000423873
"1","04-03","0",0.00740581848532577
"0","04-04","0",3.74556886852659e-08
"1","04-04","0",2.62955040734027e-08
"0","04-05","0",3.96733238579943e-08
"1","04-05","0",2.78523793426609e-08
"0","03-09","1",0.76029658452501
"1","03-09","1",0.690091173037624
"0","03-10","1",0.708563308321142
"1","03-10","1",0.630568388200065
"0","03-11","1",0.890218919528762
"1","03-11","1",0.850587782218761
"0","03-12","1",0.618937670834023
"1","03-12","1",0.532773190180386
"0","04-01","1",0.0286802305313512
"1","04-01","1",0.0203082989491495
"0","04-02","1",0.0437932023825077
"1","04-02","1",0.0311511868600976
"0","04-03","1",0.005269942282075
"1","04-03","1",0.00370554455751094
"0","04-04","1",1.86715676705574e-08
"1","04-04","1",1.31082433196098e-08
"0","04-05","1",1.97770533116834e-08
"1","04-05","1",1.38843417764338e-08
"0","03-05","0",0
"1","03-05","0",0
"0","03-06","0",0
"1","03-06","0",0
"0","03-07","0",0
"1","03-07","0",0
"0","03-08","0",0
"1","03-08","0",0
"0","04-06","0",0
"1","04-06","0",0
"0","04-07","0",0
"1","04-07","0",0
"0","03-05","1",0
"1","03-05","1",0
"0","03-06","1",0
"1","03-06","1",0
"0","03-07","1",0
"1","03-07","1",0
"0","03-08","1",0
"1","03-08","1",0
"0","04-06","1",0
"1","04-06","1",0
"0","04-07","1",0
"1","04-07","1",0
