"is_loaded","burst_date_mother","position_mother_L","probas"
"0","1","0",0.704868583231392
"1","1","0",0.797277246932221
"0","2","0",0.715336516469832
"1","2","0",0.805372574713072
"0","3","0",0.817164271273741
"1","3","0",0.880379053371184
"0","4","0",0.792403812048447
"1","4","0",0.862741473928307
"0","5","0",0.642128093583295
"1","5","0",0.747134072113489
"0","9","0",7.93380353053934e-08
"1","9","0",1.30645839111884e-07
"0","10","0",0.139959198771145
"1","10","0",0.211341791179471
"0","11","0",1.07173381932193e-07
"1","11","0",1.76482264868879e-07
"0","12","0",0.301151417296045
"1","12","0",0.415069182169631
"0","1","1",0.576056809406941
"1","1","1",0.691124001912656
"0","2","1",0.588425806321104
"1","2","1",0.701873246789983
"0","3","1",0.717737867667592
"1","3","1",0.807219092618852
"0","4","1",0.684707836143379
"1","4","1",0.781471981709841
"0","5","1",0.50515703410665
"1","5","1",0.627007785609636
"0","9","1",4.51384244214337e-08
"1","9","1",7.43293861822157e-08
"0","10","1",0.0847405991154791
"1","10","1",0.1322924002909
"0","11","1",6.09750120451057e-08
"1","11","1",1.00407473885972e-07
"0","12","1",0.19689660352858
"1","12","1",0.287607526825533
"0","04-07","0",0
"1","04-07","0",0
"0","04-08","0",0
"1","04-08","0",0
"0","04-09","0",0
"1","04-09","0",0
"0","04-10","0",0
"1","04-10","0",0
"0","04-11","0",0
"1","04-11","0",0
"0","04-12","0",0
"1","04-12","0",0
"0","05-01","0",0
"1","05-01","0",0
"0","05-02","0",0
"1","05-02","0",0
"0","05-03","0",0
"1","05-03","0",0
"0","05-04","0",0
"1","05-04","0",0
"0","05-05","0",0
"1","05-05","0",0
"0","05-06","0",0
"1","05-06","0",0
"0","05-07","0",0
"1","05-07","0",0
"0","04-07","1",0
"1","04-07","1",0
"0","04-08","1",0
"1","04-08","1",0
"0","04-09","1",0
"1","04-09","1",0
"0","04-10","1",0
"1","04-10","1",0
"0","04-11","1",0
"1","04-11","1",0
"0","04-12","1",0
"1","04-12","1",0
"0","05-01","1",0
"1","05-01","1",0
"0","05-02","1",0
"1","05-02","1",0
"0","05-03","1",0
"1","05-03","1",0
"0","05-04","1",0
"1","05-04","1",0
"0","05-05","1",0
"1","05-05","1",0
"0","05-06","1",0
"1","05-06","1",0
"0","05-07","1",0
"1","05-07","1",0
