"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","probas"
"0","04-08","0","0",0.322489638936779
"1","04-08","0","0",0.772693978880756
"0","04-09","0","0",0.88429997673104
"1","04-09","0","0",0.982009112526335
"0","04-10","0","0",0.575776137926188
"1","04-10","0","0",0.906480313069148
"0","04-11","0","0",0.817774290323932
"1","04-11","0","0",0.969742309365332
"0","04-12","0","0",0.298245119650416
"1","04-12","0","0",0.752179673166265
"0","05-01","0","0",0.0255736229502885
"1","05-01","0","0",0.15784536473245
"0","05-02","0","0",0.00953986661580135
"1","05-02","0","0",0.0643592805275646
"0","05-03","0","0",5.19630241968624e-10
"1","05-03","0","0",3.71100193315319e-09
"0","04-08","1","0",0.129764220770322
"1","04-08","1","0",0.515718476702151
"0","04-09","1","0",0.705391223099547
"1","04-09","1","0",0.944749581214964
"0","04-10","1","0",0.298336146787365
"1","04-10","1","0",0.752260729112744
"0","04-11","1","0",0.584348178069382
"1","04-11","1","0",0.909421248910804
"0","04-12","1","0",0.117495930305693
"1","04-12","1","0",0.487397668819046
"0","05-01","1","0",0.00815465121780623
"1","05-01","1","0",0.0554598410292787
"0","05-02","1","0",0.0030082579099493
"1","05-02","1","0",0.0210941102243873
"0","05-03","1","0",1.62784339626661e-10
"1","05-03","1","0",1.16254396217767e-09
"0","04-08","0","1",0.224700295015483
"1","04-08","0","1",0.674247095310229
"0","04-09","0","1",0.823125344261702
"1","04-09","0","1",0.970790221515215
"0","04-10","0","1",0.452476216837228
"1","04-10","0","1",0.855111699837281
"0","04-11","0","1",0.732082074689725
"1","04-11","0","1",0.951253706715115
"0","04-12","0","1",0.205576770036579
"1","04-12","0","1",0.648885270216568
"0","05-01","0","1",0.0157286792599735
"1","05-01","0","1",0.102433248391734
"0","05-02","0","1",0.00583042175618513
"1","05-02","0","1",0.0401991966763049
"0","05-03","0","1",3.16394275919119e-10
"1","05-03","0","1",2.25956781612974e-09
"0","04-08","1","1",0.0832357498769548
"1","04-08","1","1",0.393354416481999
"0","04-09","1","1",0.59314352935684
"1","04-09","1","1",0.912369474962037
"0","04-10","1","1",0.205647802286831
"1","04-10","1","1",0.648984344932366
"0","04-11","1","1",0.461208292792281
"1","04-11","1","1",0.85941751045028
"0","04-12","1","1",0.0749873455698195
"1","04-12","1","1",0.366665589555672
"0","05-01","1","1",0.00498111937825469
"1","05-01","1","1",0.0345173054529015
"0","05-02","1","1",0.00183383623240095
"1","05-02","1","1",0.0129507020680732
"0","05-03","1","1",9.91166970283284e-11
"1","05-03","1","1",7.07853826667861e-10
"0","04-05","0","0",0
"1","04-05","0","0",0
"0","04-06","0","0",0
"1","04-06","0","0",0
"0","04-07","0","0",0
"1","04-07","0","0",0
"0","05-04","0","0",0
"1","05-04","0","0",0
"0","05-05","0","0",0
"1","05-05","0","0",0
"0","05-06","0","0",0
"1","05-06","0","0",0
"0","05-07","0","0",0
"1","05-07","0","0",0
"0","04-05","1","0",0
"1","04-05","1","0",0
"0","04-06","1","0",0
"1","04-06","1","0",0
"0","04-07","1","0",0
"1","04-07","1","0",0
"0","05-04","1","0",0
"1","05-04","1","0",0
"0","05-05","1","0",0
"1","05-05","1","0",0
"0","05-06","1","0",0
"1","05-06","1","0",0
"0","05-07","1","0",0
"1","05-07","1","0",0
"0","04-05","0","1",0
"1","04-05","0","1",0
"0","04-06","0","1",0
"1","04-06","0","1",0
"0","04-07","0","1",0
"1","04-07","0","1",0
"0","05-04","0","1",0
"1","05-04","0","1",0
"0","05-05","0","1",0
"1","05-05","0","1",0
"0","05-06","0","1",0
"1","05-06","0","1",0
"0","05-07","0","1",0
"1","05-07","0","1",0
"0","04-05","1","1",0
"1","04-05","1","1",0
"0","04-06","1","1",0
"1","04-06","1","1",0
"0","04-07","1","1",0
"1","04-07","1","1",0
"0","05-04","1","1",0
"1","05-04","1","1",0
"0","05-05","1","1",0
"1","05-05","1","1",0
"0","05-06","1","1",0
"1","05-06","1","1",0
"0","05-07","1","1",0
"1","05-07","1","1",0
