Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,is_in_extremity,is_loaded,nature_ancestor_V,position_ancestor_L,position_mother_L,tree,uc
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,F2,50775
0,,,1.0,,,,1.0,2,1,1,1,0,0,F2,50776
0,,,0.0,NA,,,0.0,12,1,1,1,0,1,F2,50788
0,,,0.0,NA,,,0.0,12,1,1,1,0,1,F2,50793
0,,,0.0,NA,,,0.0,12,1,1,1,0,1,F2,50798
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,0,F2,50805
0,,,1.0,,,,1.0,12,1,1,0,0,1,F2,50808
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,50823
0,,,1.0,,,,1.0,12,1,1,0,0,1,F2,50824
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,50827
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,50829
0,,,1.0,,,,1.0,12,1,1,0,0,0,F2,50830
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,50835
0,,,1.0,,,,1.0,12,1,1,0,0,0,F2,50836
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,0,F2,50850
0,,,1.0,,,,1.0,12,1,1,0,0,0,F2,50853
1,12.0,2.0,,NA,1.0,2.0,,10,0,1,0,0,1,F2,50856
0,,,1.0,,,,1.0,12,1,1,0,0,1,F2,50857
0,,,1.0,,,,1.0,12,1,1,0,0,1,F2,50859
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,50862
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,50864
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,50868
1,12.0,2.0,,NA,1.0,1.0,,10,0,1,0,0,0,F2,50870
1,4.0,4.0,,NA,1.0,1.0,,12,0,1,0,0,0,F2,50871
0,,,1.0,,,,1.0,4,1,1,0,0,0,F2,50872
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,50907
1,4.0,4.0,,NA,0.0,,,12,0,1,0,0,1,F2,50924
0,,,1.0,,,,1.0,4,1,1,0,0,0,F2,50925
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,50939
1,3.0,3.0,,NA,1.0,2.0,,12,0,1,0,0,0,F2,50940
0,,,1.0,,,,1.0,3,1,1,0,0,0,F2,50941
0,,,1.0,,,,1.0,3,1,1,0,0,1,F2,50960
0,,,1.0,,,,1.0,3,1,1,0,0,1,F2,50965
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,50977
1,4.0,4.0,,NA,0.0,,,12,0,1,0,0,0,F2,50978
0,,,1.0,,,,1.0,4,1,1,0,0,0,F2,50979
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,50982
0,,,0.0,NA,,,0.0,12,1,1,0,0,0,F2,50983
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,50994
1,3.0,3.0,,NA,0.0,,,12,0,1,0,0,0,F2,50995
0,,,1.0,,,,1.0,3,1,1,0,0,0,F2,50996
