Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,is_in_extremity,is_loaded,nature_ancestor,position_ancestor,position_mother,uc
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,50779
no,,,yes,9,,,1.0,3,yes,yes,F,A,L,50781
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,50784
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,50786
no,,,yes,8,,,1.0,3,yes,yes,V,L,A,50790
no,,,yes,5,,,1.0,9,yes,yes,V,L,A,50795
yes,05-03,6.0,,NA,no,,,9,no,yes,V,L,A,50800
no,,,yes,4,,,1.0,3,yes,yes,V,L,A,50801
no,,,no,NA,,,0.0,9,yes,yes,V,A,A,50807
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,50811
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,50814
no,,,yes,6,,,1.0,3,yes,yes,F,L,L,50817
no,,,yes,10,,,1.0,3,yes,yes,F,L,L,50820
no,,,no,NA,,,0.0,10,yes,yes,F,A,A,50833
yes,05-03,5.0,,NA,no,,,10,no,yes,F,A,A,50839
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,50840
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,50843
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,50846
no,,,no,NA,,,0.0,3,yes,yes,V,A,L,50852
yes,05-03,1.0,,NA,no,,,2,no,yes,F,A,L,50875
no,,,yes,5,,,1.0,3,yes,yes,F,A,A,50876
yes,05-03,1.0,,NA,yes,4.0,,2,no,yes,F,A,L,50879
no,,,yes,6,,,1.0,3,yes,yes,F,A,A,50880
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,50882
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,50884
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,50886
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,50888
no,,,yes,5,,,1.0,2,yes,yes,F,A,L,50891
yes,05-03,1.0,,NA,yes,3.0,,2,no,yes,F,A,L,50894
no,,,yes,5,,,1.0,3,yes,yes,F,A,A,50895
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,50897
no,,,yes,5,,,1.0,3,yes,yes,F,A,L,50899
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,50901
yes,05-03,1.0,,NA,no,,,2,no,yes,F,A,L,50904
no,,,yes,5,,,1.0,3,yes,yes,F,A,A,50905
no,,,yes,5,,,1.0,3,yes,yes,F,L,L,50910
no,,,yes,5,,,1.0,3,yes,yes,F,L,L,50913
no,,,yes,5,,,1.0,3,yes,yes,F,L,L,50916
no,,,yes,5,,,1.0,3,yes,yes,F,L,L,50919
no,,,yes,5,,,1.0,3,yes,yes,F,L,L,50922
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,50928
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,50931
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,50934
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,50936
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,50944
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,50946
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,50949
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,50952
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,50955
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,50958
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,50963
no,,,yes,6,,,1.0,3,yes,yes,F,L,L,50968
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,50971
no,,,yes,6,,,1.0,3,yes,yes,F,L,L,50974
no,,,yes,6,,,1.0,3,yes,yes,V,A,L,50985
no,,,yes,7,,,1.0,3,yes,yes,V,A,L,50988
no,,,yes,7,,,1.0,3,yes,yes,V,A,L,50991
no,,,yes,5,,,1.0,3,yes,yes,F,A,L,50999
no,,,yes,5,,,1.0,3,yes,yes,F,A,L,51002
no,,,yes,5,,,1.0,3,yes,yes,F,A,L,51005
no,,,yes,5,,,1.0,3,yes,yes,F,A,L,51008
no,,,yes,5,,,1.0,3,yes,yes,F,A,L,51011
no,,,yes,5,,,1.0,3,yes,yes,F,A,L,51014
no,,,yes,6,,,1.0,3,yes,yes,F,L,L,51023
no,,,yes,6,,,1.0,3,yes,yes,F,L,L,51026
no,,,yes,6,,,1.0,3,yes,yes,F,L,L,51029
no,,,yes,6,,,1.0,3,yes,yes,F,L,L,51032
no,,,yes,5,,,1.0,3,yes,yes,F,A,L,51041
no,,,yes,6,,,2.0,3,yes,yes,F,A,L,51044
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,51047
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,51050
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51057
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51060
no,,,yes,8,,,1.0,3,yes,yes,V,A,L,51075
no,,,no,NA,,,0.0,3,yes,yes,V,A,L,51086
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51090
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51095
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51098
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51101
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51104
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51107
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51110
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,51126
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,51129
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,51131
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,51134
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51140
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51143
no,,,yes,8,,,1.0,3,yes,yes,F,L,L,51146
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,51152
no,,,yes,5,,,1.0,3,yes,yes,F,A,L,51155
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,51158
no,,,yes,7,,,1.0,3,yes,yes,F,A,L,51161
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,51164
no,,,yes,7,,,1.0,3,yes,yes,F,A,L,51167
no,,,no,NA,,,0.0,3,yes,yes,F,L,L,51172
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,51177
yes,05-03,1.0,,NA,no,,,2,no,yes,F,A,L,51180
no,,,yes,6,,,1.0,3,yes,yes,F,A,A,51181
yes,05-03,1.0,,NA,no,,,2,no,yes,F,A,L,51184
no,,,yes,6,,,1.0,3,yes,yes,F,A,A,51185
no,,,yes,10,,,1.0,3,yes,yes,F,L,L,51190
no,,,yes,10,,,1.0,3,yes,yes,F,L,L,51193
no,,,yes,9,,,1.0,3,yes,yes,F,A,L,51203
no,,,yes,7,,,1.0,3,yes,yes,F,A,L,51206
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,51209
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,51212
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,51218
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,51221
no,,,no,NA,,,0.0,3,yes,yes,V,A,L,51251
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,51262
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,51264
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,51266
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,51269
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,51272
no,,,yes,10,,,1.0,3,yes,yes,F,A,L,51285
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,51288
no,,,yes,10,,,1.0,3,yes,yes,F,A,L,51290
no,,,yes,10,,,1.0,3,yes,yes,F,A,L,51293
no,,,yes,10,,,1.0,3,yes,yes,F,A,L,51296
no,,,yes,10,,,1.0,3,yes,yes,F,A,L,51299
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,51302
no,,,no,NA,,,0.0,3,yes,yes,F,L,L,51307
no,,,no,NA,,,0.0,3,yes,yes,F,L,L,51309
no,,,yes,10,,,1.0,3,yes,yes,F,L,L,51311
no,,,no,NA,,,0.0,3,yes,yes,F,L,L,51318
no,,,yes,9,,,1.0,3,yes,yes,F,L,L,51320
no,,,yes,9,,,1.0,3,yes,yes,F,L,L,51323
no,,,yes,9,,,1.0,3,yes,yes,F,L,L,51326
no,,,yes,8,,,1.0,3,yes,yes,F,A,L,51333
no,,,yes,12,,,1.0,3,yes,yes,F,A,L,51336
yes,05-03,1.0,,NA,no,,,2,no,yes,F,A,L,51339
no,,,no,NA,,,0.0,3,yes,yes,F,A,A,51340
yes,05-03,1.0,,NA,no,,,2,no,yes,F,A,L,51342
no,,,yes,8,,,1.0,3,yes,yes,F,A,A,51343
no,,,yes,10,,,1.0,3,yes,yes,F,L,L,51353
no,,,no,NA,,,0.0,3,yes,yes,V,L,L,51372
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,51376
no,,,no,NA,,,0.0,3,yes,yes,F,A,L,51378
no,,,no,NA,,,0.0,3,yes,yes,V,L,L,51381
no,,,no,NA,,,0.0,3,yes,yes,V,L,L,51384
no,,,no,NA,,,0.0,3,yes,yes,V,L,L,51387
no,,,yes,8,,,1.0,3,yes,yes,V,L,L,51390
no,,,no,NA,,,0.0,3,yes,yes,V,L,L,51393
no,,,yes,7,,,1.0,3,yes,yes,F,A,L,51406
no,,,yes,7,,,1.0,3,yes,yes,F,A,L,51409
no,,,yes,7,,,1.0,3,yes,yes,F,A,L,51412
no,,,yes,7,,,1.0,3,yes,yes,F,A,L,51415
no,,,yes,6,,,1.0,3,yes,yes,F,A,L,51418
