Burst,Burst_date_child,Lateral_GU_daughter,No_Lateral_GU,burst_date_mother,is_loaded,nature_mother,position_mother,tree,uc
no,,,,unknow,yes,V,L,F2,808
no,,,,unknow,yes,V,L,F2,881
yes,12.0,yes,4.0,unknow,yes,F,A,F2,50772
yes,10.0,yes,4.0,unknow,yes,V,A,F2,50803
yes,10.0,yes,3.0,unknow,yes,V,A,F2,50848
yes,10.0,yes,4.0,unknow,yes,V,A,F2,50865
yes,10.0,no,,unknow,yes,V,L,F2,50866
yes,10.0,yes,4.0,unknow,yes,V,A,F2,51034
yes,10.0,yes,1.0,unknow,yes,V,A,F2,51114
yes,10.0,no,,unknow,yes,V,L,F2,51115
yes,12.0,yes,2.0,unknow,yes,V,A,F2,51227
yes,12.0,yes,1.0,unknow,yes,V,A,F2,51234
yes,10.0,yes,2.0,unknow,yes,V,A,F2,51245
yes,10.0,yes,1.0,unknow,yes,V,L,F2,51246
no,,,,unknow,yes,F,A,F2,51355
no,,,,unknow,yes,F,L,F2,51356
no,,,,unknow,yes,V,L,F2,51357
yes,12.0,yes,1.0,unknow,yes,F,A,F2,51360
no,,,,unknow,yes,F,L,F2,51361
no,,,,unknow,yes,F,L,F2,51362
no,,,,unknow,yes,F,L,F2,51363
no,,,,unknow,yes,F,L,F2,51364
no,,,,unknow,yes,V,L,F2,51365
yes,10.0,yes,1.0,unknow,yes,V,A,F2,51394
no,,,,unknow,yes,V,L,F2,51395
yes,10.0,no,,unknow,yes,V,L,F2,51396
yes,10.0,no,,unknow,yes,V,L,F2,51397
yes,10.0,yes,2.0,unknow,yes,V,L,F2,51398
no,,,,unknow,yes,F,L,F2,51399
yes,10.0,yes,1.0,unknow,yes,V,A,F2,51635
yes,2.0,yes,3.0,unknow,yes,F,A,F2,51651
no,,,,unknow,yes,F,A,F2,51678
no,,,,unknow,yes,F,L,F2,51679
no,,,,unknow,yes,F,L,F2,51680
yes,11.0,yes,2.0,unknow,yes,F,A,F2,51701
no,,,,unknow,yes,V,L,F2,51702
yes,2.0,yes,1.0,unknow,yes,F,L,F2,51703
yes,11.0,yes,1.0,unknow,yes,V,L,F2,51704
yes,10.0,yes,3.0,unknow,yes,V,A,F2,51742
yes,12.0,yes,1.0,unknow,yes,V,A,F2,51898
no,,,,unknow,yes,F,A,F2,51909
yes,12.0,yes,1.0,unknow,yes,F,A,F2,51911
no,,,,unknow,yes,F,A,F2,51917
no,,,,unknow,yes,F,A,F2,51919
no,,,,unknow,yes,F,L,F2,51920
no,,,,unknow,yes,F,L,F2,51921
no,,,,unknow,yes,V,A,F2,51925
no,,,,unknow,yes,V,L,F2,51926
yes,12.0,yes,1.0,unknow,yes,F,A,F2,51929
yes,12.0,yes,1.0,unknow,yes,F,L,F2,51930
yes,10.0,yes,3.0,unknow,yes,V,A,F2,51940
yes,12.0,yes,2.0,unknow,yes,F,A,F2,52102
no,,,,unknow,yes,F,L,F2,52103
yes,10.0,yes,3.0,unknow,yes,F,L,F2,52104
yes,10.0,yes,1.0,unknow,yes,F,L,F2,52105
yes,12.0,yes,4.0,unknow,yes,F,A,F2,52212
yes,10.0,no,,unknow,yes,F,L,F2,52213
yes,2.0,yes,2.0,unknow,yes,F,A,F2,52239
yes,10.0,yes,2.0,unknow,yes,V,A,F2,52247
no,,,,unknow,yes,V,L,F2,52248
yes,12.0,yes,2.0,unknow,yes,F,L,F2,52249
yes,11.0,yes,2.0,unknow,yes,F,L,F2,52250
yes,10.0,no,,unknow,yes,F,L,F2,52251
no,,,,unknow,yes,F,L,F2,52252
no,,,,unknow,yes,F,L,F2,52253
yes,10.0,yes,1.0,unknow,yes,F,A,F2,52508
no,,,,unknow,yes,F,A,F2,52520
no,,,,unknow,yes,F,A,F2,52522
no,,,,unknow,yes,F,L,F2,52523
yes,10.0,yes,3.0,unknow,yes,V,A,F2,52527
yes,10.0,yes,1.0,unknow,yes,V,L,F2,52528
no,,,,unknow,yes,F,L,F2,52529
yes,10.0,yes,1.0,unknow,yes,F,A,F2,52586
no,,,,unknow,yes,F,L,F2,52587
yes,10.0,yes,1.0,unknow,yes,V,L,F2,52588
yes,10.0,yes,2.0,unknow,yes,V,L,F2,52589
yes,10.0,yes,2.0,unknow,yes,V,A,F2,52670
