Burst,Burst_date_child,Delta_Burst_date,Lateral_GU_daughter,No_Lateral_GU,burst_date_mother,is_loaded,nature_mother_V,position_mother_L,tree,uc
0,,,,,,1,1,1,F2,808
0,,,,,,1,1,1,F2,881
0,,,,,,1,1,0,F2,51355
0,,,,,,1,1,1,F2,51356
0,,,,,,1,1,1,F2,51357
1,3.0,,1.0,1.0,,1,1,1,F2,51361
1,3.0,,1.0,1.0,,1,1,1,F2,51362
1,3.0,,1.0,1.0,,1,1,1,F2,51363
1,3.0,,1.0,1.0,,1,1,1,F2,51364
1,3.0,,1.0,1.0,,1,1,1,F2,51365
0,,,,,,1,0,1,F2,51395
0,,,,,,1,0,1,F2,51399
1,9.0,,1.0,4.0,,1,1,0,F2,51678
1,3.0,,1.0,1.0,,1,1,1,F2,51679
0,,,,,,1,1,1,F2,51680
0,,,,,,1,1,1,F2,51702
0,,,,,,1,1,0,F2,51909
0,,,,,,1,1,0,F2,51917
0,,,,,,1,1,0,F2,51919
0,,,,,,1,1,1,F2,51920
0,,,,,,1,1,1,F2,51921
0,,,,,,1,0,0,F2,51925
0,,,,,,1,1,1,F2,51926
0,,,,,,1,1,1,F2,52103
0,,,,,,1,1,1,F2,52248
0,,,,,,1,1,1,F2,52252
0,,,,,,1,1,1,F2,52253
0,,,,,,1,1,0,F2,52520
0,,,,,,1,1,0,F2,52522
0,,,,,,1,1,1,F2,52523
0,,,,,,1,1,1,F2,52529
0,,,,,,1,1,1,F2,52587
1,9.0,,1.0,1.0,,1,1,1,F2,52746
0,,,,,,1,1,1,F2,52747
0,,,,,,1,0,0,F2,53423
1,3.0,14,1.0,4.0,2.0,1,0,0,F2,50776
1,3.0,16,0.0,,12.0,1,1,1,F2,50788
1,9.0,9,0.0,,12.0,1,1,1,F2,50793
1,9.0,9,0.0,,12.0,1,1,1,F2,50798
1,3.0,16,1.0,4.0,12.0,1,0,1,F2,50808
0,,,,,12.0,1,0,1,F2,50824
0,,,,,10.0,1,1,1,F2,50827
1,10.0,10,0.0,,12.0,1,0,0,F2,50830
1,10.0,10,1.0,2.0,12.0,1,0,0,F2,50836
0,,,,,12.0,1,0,0,F2,50853
0,,,,,12.0,1,0,1,F2,50857
0,,,,,12.0,1,0,1,F2,50859
0,,,,,10.0,1,1,1,F2,50862
0,,,,,10.0,1,1,1,F2,50864
0,,,,,10.0,1,1,1,F2,50868
1,2.0,10,1.0,5.0,4.0,1,0,0,F2,50872
1,3.0,11,1.0,5.0,4.0,1,0,1,F2,50907
1,3.0,11,1.0,4.0,4.0,1,0,0,F2,50925
1,3.0,13,1.0,6.0,3.0,1,0,0,F2,50941
1,3.0,13,1.0,1.0,3.0,1,0,1,F2,50960
1,3.0,13,1.0,3.0,3.0,1,0,1,F2,50965
0,,,,,4.0,1,0,0,F2,50979
1,3.0,16,1.0,3.0,12.0,1,1,0,F2,50983
1,3.0,13,1.0,6.0,3.0,1,0,0,F2,50996
0,,,,,12.0,1,0,1,F2,51018
1,3.0,16,1.0,4.0,12.0,1,0,1,F2,51020
1,3.0,11,1.0,4.0,4.0,1,0,0,F2,51038
0,,,,,4.0,1,0,1,F2,51052
1,3.0,11,1.0,2.0,4.0,1,0,1,F2,51054
0,,,,,4.0,1,0,1,F2,51062
0,,,,,4.0,1,0,1,F2,51064
0,,,,,12.0,1,1,0,F2,51068
0,,,,,10.0,1,1,1,F2,51070
0,,,,,4.0,1,0,0,F2,51077
0,,,,,4.0,1,0,1,F2,51079
1,3.0,11,1.0,1.0,4.0,1,1,0,F2,51084
1,3.0,11,1.0,1.0,4.0,1,0,1,F2,51087
1,3.0,11,1.0,6.0,4.0,1,0,1,F2,51092
0,,,,,4.0,1,0,1,F2,51112
0,,,,,10.0,1,1,1,F2,51117
0,,,,,10.0,1,1,1,F2,51119
1,3.0,13,1.0,4.0,3.0,1,0,0,F2,51123
0,,,,,3.0,1,0,1,F2,51135
1,3.0,13,1.0,3.0,3.0,1,0,1,F2,51137
1,3.0,13,1.0,6.0,3.0,1,0,0,F2,51149
