Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,cycle,is_in_extremity,is_loaded,tree,uc
1,2.0,2.0,,NA,0.0,,,12,4,0,1,F2,50775
1,3.0,14.0,1.0,,1.0,4.0,1.0,2,4,1,1,F2,50776
1,3.0,16.0,0.0,NA,0.0,,0.0,12,4,1,1,F2,50788
1,9.0,9.0,0.0,NA,0.0,,0.0,12,4,1,1,F2,50793
1,9.0,9.0,0.0,NA,0.0,,0.0,12,4,1,1,F2,50798
1,12.0,2.0,,NA,1.0,1.0,,10,4,0,1,F2,50805
1,3.0,16.0,1.0,,1.0,4.0,1.0,12,4,1,1,F2,50808
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,50823
0,,,1.0,,,,1.0,12,4,1,1,F2,50824
0,,,0.0,NA,,,0.0,10,4,1,1,F2,50827
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,50829
1,10.0,10.0,1.0,,0.0,,1.0,12,4,1,1,F2,50830
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,50835
1,10.0,10.0,1.0,,1.0,2.0,1.0,12,4,1,1,F2,50836
1,12.0,2.0,,NA,1.0,1.0,,10,4,0,1,F2,50850
0,,,1.0,,,,1.0,12,4,1,1,F2,50853
1,12.0,2.0,,NA,1.0,2.0,,10,4,0,1,F2,50856
0,,,1.0,,,,1.0,12,4,1,1,F2,50857
0,,,1.0,,,,1.0,12,4,1,1,F2,50859
0,,,0.0,NA,,,0.0,10,4,1,1,F2,50862
0,,,0.0,NA,,,0.0,10,4,1,1,F2,50864
0,,,0.0,NA,,,0.0,10,4,1,1,F2,50868
1,12.0,2.0,,NA,1.0,1.0,,10,4,0,1,F2,50870
1,4.0,4.0,,NA,1.0,1.0,,12,4,0,1,F2,50871
1,2.0,10.0,1.0,,1.0,5.0,1.0,4,4,1,1,F2,50872
1,3.0,11.0,1.0,,1.0,5.0,1.0,4,4,1,1,F2,50907
1,4.0,4.0,,NA,0.0,,,12,4,0,1,F2,50924
1,3.0,11.0,1.0,,1.0,4.0,1.0,4,4,1,1,F2,50925
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,50939
1,3.0,3.0,,NA,1.0,2.0,,12,4,0,1,F2,50940
1,3.0,13.0,1.0,,1.0,6.0,1.0,3,4,1,1,F2,50941
1,3.0,13.0,1.0,,0.0,,1.0,3,4,1,1,F2,50960
1,3.0,13.0,1.0,,1.0,3.0,1.0,3,4,1,1,F2,50965
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,50977
1,4.0,4.0,,NA,0.0,,,12,4,0,1,F2,50978
0,,,1.0,,,,1.0,4,4,1,1,F2,50979
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,50982
1,3.0,16.0,0.0,NA,1.0,3.0,0.0,12,4,1,1,F2,50983
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,50994
1,3.0,3.0,,NA,0.0,,,12,4,0,1,F2,50995
1,3.0,13.0,1.0,,1.0,6.0,1.0,3,4,1,1,F2,50996
1,12.0,2.0,,NA,1.0,2.0,,10,4,0,1,F2,51017
0,,,1.0,,,,1.0,12,4,1,1,F2,51018
1,3.0,16.0,1.0,,1.0,4.0,1.0,12,4,1,1,F2,51020
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51036
1,4.0,4.0,,NA,1.0,4.0,,12,4,0,1,F2,51037
1,3.0,11.0,1.0,,1.0,4.0,1.0,4,4,1,1,F2,51038
0,,,1.0,,,,1.0,4,4,1,1,F2,51052
1,3.0,11.0,1.0,,1.0,2.0,1.0,4,4,1,1,F2,51054
0,,,1.0,,,,1.0,4,4,1,1,F2,51062
0,,,1.0,,,,1.0,4,4,1,1,F2,51064
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51067
0,,,0.0,NA,,,0.0,12,4,1,1,F2,51068
0,,,0.0,NA,,,0.0,10,4,1,1,F2,51070
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51072
1,4.0,4.0,,NA,1.0,2.0,,12,4,0,1,F2,51073
0,,,1.0,,,,1.0,4,4,1,1,F2,51077
0,,,1.0,,,,1.0,4,4,1,1,F2,51079
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51082
1,4.0,4.0,,NA,1.0,3.0,,12,4,0,1,F2,51083
1,3.0,11.0,0.0,NA,0.0,,0.0,4,4,1,1,F2,51084
1,3.0,11.0,1.0,,0.0,,1.0,4,4,1,1,F2,51087
1,3.0,11.0,1.0,,1.0,6.0,1.0,4,4,1,1,F2,51092
0,,,1.0,,,,1.0,4,4,1,1,F2,51112
0,,,0.0,NA,,,0.0,10,4,1,1,F2,51117
0,,,0.0,NA,,,0.0,10,4,1,1,F2,51119
1,12.0,2.0,,NA,1.0,2.0,,10,4,0,1,F2,51121
1,3.0,3.0,,NA,1.0,2.0,,12,4,0,1,F2,51122
1,3.0,13.0,1.0,,1.0,4.0,1.0,3,4,1,1,F2,51123
0,,,1.0,,,,1.0,3,4,1,1,F2,51135
1,3.0,13.0,1.0,,1.0,3.0,1.0,3,4,1,1,F2,51137
1,3.0,3.0,,NA,1.0,1.0,,12,4,0,1,F2,51148
1,3.0,13.0,1.0,,1.0,6.0,1.0,3,4,1,1,F2,51149
1,3.0,13.0,1.0,,0.0,,1.0,3,4,1,1,F2,51169
1,3.0,3.0,,NA,1.0,2.0,,12,4,0,1,F2,51173
1,2.0,12.0,1.0,,1.0,3.0,1.0,3,4,1,1,F2,51174
1,3.0,13.0,1.0,,1.0,2.0,1.0,3,4,1,1,F2,51187
0,,,1.0,,,,1.0,3,4,1,1,F2,51195
1,12.0,2.0,,NA,1.0,1.0,,10,4,0,1,F2,51198
1,3.0,3.0,,NA,0.0,,,12,4,0,1,F2,51199
1,3.0,13.0,1.0,,1.0,4.0,1.0,3,4,1,1,F2,51200
1,3.0,3.0,,NA,1.0,1.0,,12,4,0,1,F2,51214
1,3.0,13.0,1.0,,1.0,2.0,1.0,3,4,1,1,F2,51215
0,,,1.0,,,,1.0,3,4,1,1,F2,51222
0,,,1.0,,,,1.0,10,4,1,1,F2,51225
0,,,1.0,,,,1.0,12,4,1,1,F2,51229
0,,,1.0,,,,1.0,12,4,1,1,F2,51232
1,4.0,4.0,,NA,1.0,1.0,,12,4,0,1,F2,51236
0,,,1.0,,,,1.0,4,4,1,1,F2,51237
0,,,1.0,,,,1.0,4,4,1,1,F2,51239
0,,,0.0,NA,,,0.0,12,4,1,1,F2,51242
0,,,0.0,NA,,,0.0,10,4,1,1,F2,51244
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51248
1,4.0,4.0,,NA,1.0,1.0,,12,4,0,1,F2,51249
0,,,1.0,,,,1.0,4,4,1,1,F2,51252
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51257
1,4.0,4.0,,NA,1.0,2.0,,12,4,0,1,F2,51258
1,3.0,11.0,1.0,,1.0,5.0,1.0,4,4,1,1,F2,51259
0,,,1.0,,,,1.0,4,4,1,1,F2,51273
0,,,1.0,,,,1.0,4,4,1,1,F2,51275
1,12.0,2.0,,NA,1.0,2.0,,10,4,0,1,F2,51280
1,4.0,4.0,,NA,1.0,3.0,,12,4,0,1,F2,51281
1,3.0,11.0,1.0,,1.0,7.0,1.0,4,4,1,1,F2,51282
1,3.0,11.0,1.0,,1.0,3.0,1.0,4,4,1,1,F2,51304
0,,,1.0,,,,1.0,4,4,1,1,F2,51313
1,3.0,11.0,1.0,,1.0,4.0,1.0,4,4,1,1,F2,51315
0,,,0.0,NA,,,0.0,12,4,1,1,F2,51328
1,4.0,4.0,,NA,0.0,,,12,4,0,1,F2,51329
1,2.0,10.0,1.0,,1.0,4.0,1.0,4,4,1,1,F2,51330
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51346
1,4.0,4.0,,NA,1.0,1.0,,12,4,0,1,F2,51347
0,,,1.0,,,,1.0,4,4,1,1,F2,51348
1,3.0,11.0,1.0,,0.0,,1.0,4,4,1,1,F2,51350
0,,,0.0,NA,,,0.0,10,4,1,1,F2,51368
1,2.0,2.0,,NA,1.0,1.0,,12,4,0,1,F2,51370
1,3.0,14.0,1.0,,1.0,2.0,1.0,2,4,1,1,F2,51373
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,51401
1,1.0,2.0,,NA,1.0,1.0,,11,4,0,1,F2,51402
1,3.0,15.0,1.0,,1.0,8.0,1.0,1,4,1,1,F2,51403
1,3.0,15.0,1.0,,1.0,3.0,1.0,1,4,1,1,F2,51428
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,51440
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51441
1,3.0,15.0,0.0,NA,1.0,6.0,0.0,1,4,1,1,F2,51442
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51464
1,2.0,2.0,,NA,1.0,1.0,,12,4,0,1,F2,51465
1,3.0,14.0,1.0,,1.0,4.0,1.0,2,4,1,1,F2,51466
0,,,1.0,,,,1.0,2,4,1,1,F2,51480
1,11.0,1.0,,NA,1.0,1.0,,10,4,0,1,F2,51483
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51484
1,3.0,15.0,1.0,,1.0,5.0,2.0,1,4,1,1,F2,51485
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51501
1,3.0,15.0,1.0,,1.0,7.0,4.0,1,4,1,1,F2,51502
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,51525
1,1.0,2.0,,NA,1.0,5.0,,11,4,0,1,F2,51526
1,3.0,15.0,1.0,,1.0,7.0,6.0,1,4,1,1,F2,51527
0,,,1.0,,,,1.0,1,4,1,1,F2,51550
1,3.0,15.0,1.0,,1.0,5.0,1.0,1,4,1,1,F2,51552
1,3.0,15.0,1.0,,1.0,4.0,1.0,1,4,1,1,F2,51569
1,3.0,15.0,1.0,,1.0,4.0,1.0,1,4,1,1,F2,51583
1,3.0,15.0,1.0,,1.0,2.0,1.0,1,4,1,1,F2,51597
0,,,0.0,NA,,,0.0,10,4,1,1,F2,51606
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,51608
1,2.0,2.0,,NA,1.0,1.0,,12,4,0,1,F2,51609
1,3.0,14.0,1.0,,1.0,6.0,2.0,2,4,1,1,F2,51613
1,11.0,1.0,,NA,1.0,2.0,,10,4,0,1,F2,51637
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51638
0,,,1.0,,,,1.0,1,4,1,1,F2,51639
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51641
0,,,1.0,,,,1.0,1,4,1,1,F2,51642
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,51644
0,,,1.0,,,,1.0,1,4,1,1,F2,51645
