"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","probas"
"yes","1","A","A","F",0.173590590566254
"no","1","A","A","F",0.0272000805442691
"yes","2","A","A","F",0.0679555839637859
"no","2","A","A","F",0.00961190978399587
"yes","3","A","A","F",3.92911191763522e-09
"no","3","A","A","F",5.23010174762335e-10
"yes","6","A","A","F",2.27969118002935e-09
"no","6","A","A","F",3.03453224484395e-10
"yes","8","A","A","F",0.794329094333023
"no","8","A","A","F",0.33953944347118
"yes","9","A","A","F",0.984963693914502
"no","9","A","A","F",0.89711473332248
"yes","10","A","A","F",0.908981716721505
"no","10","A","A","F",0.570697326412192
"yes","11","A","A","F",0.972778109465714
"no","11","A","A","F",0.82629117859117
"yes","12","A","A","F",0.772711859248661
"no","12","A","A","F",0.311550586272353
"yes","1","L","A","F",0.0597987783970355
"no","1","L","A","F",0.00839510054087099
"yes","2","L","A","F",0.0215996012950249
"no","2","L","A","F",0.00293001936930194
"yes","3","L","A","F",1.18969318658977e-09
"no","3","L","A","F",1.58361902892482e-10
"yes","6","L","A","F",6.90266176719932e-10
"no","6","L","A","F",9.1882399960363e-11
"yes","8","L","A","F",0.53904596765284
"no","8","L","A","F",0.134695445116384
"yes","9","L","A","F",0.95200251755196
"no","9","L","A","F",0.725289153323029
"yes","10","L","A","F",0.751484730214049
"no","10","L","A","F",0.286995501003212
"yes","11","L","A","F",0.915399203700212
"no","11","L","A","F",0.590213680587528
"yes","12","L","A","F",0.50724191530991
"no","12","L","A","F",0.120511203492292
"yes","1","A","L","F",0.114753577186098
"no","1","A","L","F",0.0169624237260452
"yes","2","A","L","F",0.0430571866798023
"no","2","A","L","F",0.00595363278307532
"yes","3","A","L","F",2.4247419433623e-09
"no","3","A","L","F",3.2276115633298e-10
"yes","6","A","L","F",1.40684789197002e-09
"no","6","A","L","F",1.87267702131853e-10
"yes","8","A","L","F",0.704440183997859
"no","8","A","L","F",0.240848070464296
"yes","9","A","L","F",0.975859996661428
"no","9","A","L","F",0.843285644515343
"yes","10","A","L","F",0.860395201310781
