"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","probas"
"yes","1","A","A","F",0.872321134269031
"no","1","A","A","F",0.925365231052179
"yes","2","A","A","F",0.647052670184089
"no","2","A","A","F",0.768889535326064
"yes","3","A","A","F",0.683767533251151
"no","3","A","A","F",0.79690846808135
"yes","6","A","A","F",4.42848214068668e-06
"no","6","A","A","F",8.03651828002961e-06
"yes","8","A","A","F",0.486848501542498
"no","8","A","A","F",0.632585447195938
"yes","9","A","A","F",0.305783438754658
"no","9","A","A","F",0.444241831657798
"yes","10","A","A","F",0.0577293764324119
"no","10","A","A","F",0.100057693959424
"yes","11","A","A","F",0.593942181278549
"no","11","A","A","F",0.726359341119749
"yes","12","A","A","F",0.832744126770834
"no","12","A","A","F",0.900352219081105
"yes","1","L","A","F",0.82557850173173
"no","1","L","A","F",0.895720369908882
"yes","2","L","A","F",0.559486685900982
"no","2","L","A","F",0.697415696956181
"yes","3","L","A","F",0.599674874177199
"no","3","L","A","F",0.731069049016446
"yes","6","L","A","F",3.06800789119356e-06
"no","6","L","A","F",5.56762521494989e-06
"yes","8","L","A","F",0.396601000708465
"no","8","L","A","F",0.543959884776216
"yes","9","L","A","F",0.233807265912686
"no","9","L","A","F",0.356406824202005
"yes","10","L","A","F",0.0407163861711643
"no","10","L","A","F",0.0715172252281852
"yes","11","L","A","F",0.503314106034887
"no","11","L","A","F",0.647758123691486
"yes","12","L","A","F",0.7752456312139
"no","12","L","A","F",0.862251147543575
"yes","1","A","L","F",0.867747012589907
"no","1","A","L","F",0.922522643839971
"yes","2","A","L","F",0.637759531275354
"no","2","A","L","F",0.761622538531366
"yes","3","A","L","F",0.674955479180818
"no","3","A","L","F",0.790282191168601
"yes","6","A","L","F",4.2529005907226e-06
"no","6","A","L","F",7.71788552917787e-06
"yes","8","A","L","F",0.476748293510695
"no","8","A","L","F",0.623133248359499
"yes","9","A","L","F",0.297263582876613
"no","9","A","L","F",0.434277487001495
"yes","10","A","L","F",0.0555676858395635
"no","10","A","L","F",0.0964732869785193
"yes","11","A","L","F",0.584149370550247
"no","11","A","L","F",0.718245082250492
"yes","12","A","L","F",0.827033287499618
"no","12","A","L","F",0.89666335525607
"yes","1","L","L","F",0.819675977342793
"no","1","L","L","F",0.89188063020687
"yes","2","L","L","F",0.549493201633952
"no","2","L","L","F",0.688810873601228
"yes","3","L","L","F",0.589924862869061
"no","3","L","L","F",0.723041196219681
"yes","6","L","L","F",2.9463666002188e-06
"no","6","L","L","F",5.34687888147568e-06
"yes","8","L","L","F",0.386961210360578
"no","8","L","L","F",0.533907601441392
"yes","9","L","L","F",0.226638133779052
"no","9","L","L","F",0.347181873722115
"yes","10","L","L","F",0.0391652720763262
"no","10","L","L","F",0.0688769843811489
"yes","11","L","L","F",0.493200617007043
"no","11","L","L","F",0.638473181250355
"yes","12","L","L","F",0.768118220594061
"no","12","L","L","F",0.857375250769128
"yes","1","A","A","V",0.873390118876767
"no","1","A","A","V",0.926027766872592
"yes","2","A","A","V",0.649249344043693
"no","2","A","A","V",0.77059676107321
"yes","3","A","A","V",0.685846644056365
"no","3","A","A","V",0.79846296818789
