"is_loaded","burst_date_mother","position_mother","nature_mother","probas"
"yes","1","A","F",0.997227309549435
"no","1","A","F",0.999220819605064
"yes","10","A","F",0.998911940249028
"no","10","A","F",0.999694604798978
"yes","12","A","F",0.997691342430563
"no","12","A","F",0.999351438926732
"yes","2","A","F",0.998507721129456
"no","2","A","F",0.999581027145599
"yes","3","A","F",0.992331774700393
"no","3","A","F",0.997837445391239
"yes","4","A","F",0.995485597217137
"no","4","A","F",0.998729769202948
"yes","5","A","F",0.8361628653557
"no","5","A","F",0.947909598187887
"yes","unknow","A","F",0.999999999979257
"no","unknow","A","F",0.999999999994183
"yes","1","L","F",0.977985930100878
"no","1","L","F",0.993726585805478
"yes","10","L","F",0.99125875908485
"no","10","L","F",0.99753292353982
"yes","12","L","F",0.981610786684191
"no","12","L","F",0.99477342337759
"yes","2","L","F",0.988045374852234
"no","2","L","F",0.996618127931754
"yes","3","L","F",0.941123103114907
"no","3","L","F",0.982756956521678
"yes","4","L","F",0.964586644476606
"no","4","L","F",0.98980830896997
"yes","5","L","F",0.386654574055627
"no","5","L","F",0.692094868483393
"yes","unknow","L","F",0.999999999832071
"no","unknow","L","F",0.999999999952903
"yes","1","A","V",0.788627341312252
"no","1","A","V",0.930085212967695
"yes","10","A","V",0.904976187733319
"no","10","A","V",0.971393814490373
"yes","12","A","V",0.817617469625124
"no","12","A","V",0.941122603481381
"yes","2","A","V",0.874073717928891
"no","2","A","V",0.961163944818976
"yes","3","A","V",0.573093252703667
"no","3","A","V",0.827185573608281
"yes","4","A","V",0.695819350369578
"no","4","A","V",0.890786118890568
"yes","5","A","V",0.0502809994964055
"no","5","A","V",0.158796377366739
"yes","unknow","A","V",0.999999998000435
"no","unknow","A","V",0.999999999439204
"yes","1","L","V",0.315468473000063
"no","1","L","V",0.621672198739068
"yes","10","L","V",0.540519448335483
"no","10","L","V",0.807486783316568
"yes","12","L","V",0.356391947900795
"no","12","L","V",0.663798744341605
"yes","2","L","V",0.461605963299968
"no","2","L","V",0.753515189768406
"yes","3","L","V",0.142233204828944
"no","3","L","V",0.371558554851342
"yes","4","L","V",0.220306899785909
"no","4","L","V",0.501862258318347
"yes","5","L","V",0.00649706807754509
"no","5","L","V",0.0227860273024073
"yes","unknow","L","V",0.999999983811894
"no","unknow","L","V",0.999999995459901
