"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","probas"
"yes","1","A","A","F",0.92221101644487
"no","1","A","A","F",0.969101213240707
"yes","2","A","A","F",0.329838787027439
"no","2","A","A","F",0.565610382918758
"yes","8","A","A","F",0.634628447149496
"no","8","A","A","F",0.821273988841604
"yes","9","A","A","F",0.607966382071258
"no","9","A","A","F",0.804026043508485
"yes","10","A","A","F",0.482518319004888
"no","10","A","A","F",0.711549738736344
"yes","11","A","A","F",0.772931513768365
"no","11","A","A","F",0.900053275478988
"yes","12","A","A","F",0.494037159332822
"no","12","A","A","F",0.720919135973259
"yes","1","L","A","F",0.723915861778512
"no","1","L","A","F",0.874005388278605
"yes","2","L","A","F",0.0981705608073835
"no","2","L","A","F",0.223594440585758
"yes","8","L","A","F",0.277543441835084
"no","8","L","A","F",0.50404942923035
"yes","9","L","A","F",0.255396856546656
"no","9","L","A","F",0.475730373845414
"yes","10","L","A","F",0.170971171108317
"no","10","L","A","F",0.352999121580756
"yes","11","L","A","F",0.429506238943514
"no","11","L","A","F",0.665747089210409
"yes","12","L","A","F",0.177605233540096
"no","12","L","A","F",0.36359851804066
"yes","1","A","L","F",0.912267738461589
"no","1","A","L","F",0.964923645088585
"yes","2","A","L","F",0.301525368240129
"no","2","A","L","F",0.533159553654194
"yes","8","A","L","F",0.603721199981389
"no","8","A","L","F",0.801209728944675
"yes","9","A","L","F",0.576309491814605
"no","9","A","L","F",0.7825381883035
"yes","10","A","L","F",0.449897299196238
"no","10","A","L","F",0.68390846306264
"yes","11","A","L","F",0.749098181100804
"no","11","A","L","F",0.887622843988124
"yes","12","A","L","F",0.461331641301647
"no","12","A","L","F",0.693789320671053
"yes","1","L","L","F",0.696954904858912
"no","1","L","L","F",0.858843435466302
"yes","2","L","L","F",0.0871572680306181
"no","2","L","L","F",0.201656765445724
"yes","8","L","L","F",0.252030848475498
"no","8","L","L","F",0.471298500490395
"yes","9","L","L","F",0.231268360405245
"no","9","L","L","F",0.443175249191097
"yes","10","L","L","F",0.153177932446114
"no","10","L","L","F",0.32365777246648
"yes","11","L","L","F",0.397714689232013
"no","11","L","L","F",0.635962220987409
"yes","12","L","L","F",0.159254204872872
"no","12","L","L","F",0.333830723866934
"yes","1","A","A","V",0.876723379551862
"no","1","A","A","V",0.94953242569962
"yes","2","A","A","V",0.227949159515023
"no","2","A","A","V",0.438549754461622
"yes","8","A","A","V",0.510276407950253
"no","8","A","A","V",0.733800138551831
"yes","9","A","A","V",0.48194747457275
"no","9","A","A","V",0.711080263551453
"yes","10","A","A","V",0.358709718556358
"no","10","A","A","V",0.596742206210802
"yes","11","A","A","V",0.671267921943491
"no","11","A","A","V",0.843803283150589
"yes","12","A","A","V",0.36938269032078
"no","12","A","A","V",0.607785205812121
"yes","1","L","A","V",0.611341821451043
"no","1","L","A","V",0.806251359640905
"yes","2","L","A","V",0.0612990547770583
"no","2","L","A","V",0.147310278774742
"yes","8","L","A","V",0.187293471474115
"no","8","L","A","V",0.37875983473638
"yes","9","L","A","V",0.170647359595027
"no","9","L","A","V",0.352477135525557
"yes","10","L","A","V",0.110094766160495
"no","10","L","A","V",0.246587575761209
"yes","11","L","A","V",0.311121915973782
"no","11","L","A","V",0.544382487610869
"yes","12","L","A","V",0.114693482949144
"no","12","L","A","V",0.255252338378582
"yes","1","A","L","V",0.861836800021028
"no","1","A","L","V",0.942865107797741
"yes","2","A","L","V",0.205697422544843
"no","2","A","L","V",0.406565859489309
"yes","8","A","L","V",0.477510435547806
"no","8","A","L","V",0.707414304298826
"yes","9","A","L","V",0.44933153721619
"no","9","A","L","V",0.68341401596743
"yes","10","A","L","V",0.329135170394307
"no","10","A","L","V",0.564827714246451
"yes","11","A","L","V",0.641710249710637
"no","11","A","L","V",0.825731544205462
"yes","12","A","L","V",0.33939389112822
"no","12","A","L","V",0.576123885619056
"yes","1","L","L","V",0.57976909823277
"no","1","L","L","V",0.784942238864268
"yes","2","L","L","V",0.0541737227907758
"no","2","L","L","V",0.131588614766714
"yes","8","L","L","V",0.16814607815765
"no","8","L","L","V",0.348430373178171
"yes","9","L","L","V",0.152881605951685
"no","9","L","L","V",0.323157503194798
"yes","10","L","L","V",0.0978889556397641
"no","10","L","L","V",0.2230420352402
"yes","11","L","L","V",0.283734924203863
"no","11","L","L","V",0.51171485937519
"yes","12","L","L","V",0.102036287725629
"no","12","L","L","V",0.231133257387691
"yes","3","A","A","F",0
"no","3","A","A","F",0
"yes","4","A","A","F",0
"no","4","A","A","F",0
"yes","5","A","A","F",0
"no","5","A","A","F",0
"yes","6","A","A","F",0
"no","6","A","A","F",0
"yes","7","A","A","F",0
"no","7","A","A","F",0
"yes","3","L","A","F",0
"no","3","L","A","F",0
"yes","4","L","A","F",0
"no","4","L","A","F",0
"yes","5","L","A","F",0
"no","5","L","A","F",0
"yes","6","L","A","F",0
"no","6","L","A","F",0
"yes","7","L","A","F",0
"no","7","L","A","F",0
"yes","3","A","L","F",0
"no","3","A","L","F",0
"yes","4","A","L","F",0
"no","4","A","L","F",0
"yes","5","A","L","F",0
"no","5","A","L","F",0
"yes","6","A","L","F",0
"no","6","A","L","F",0
"yes","7","A","L","F",0
"no","7","A","L","F",0
"yes","3","L","L","F",0
"no","3","L","L","F",0
"yes","4","L","L","F",0
"no","4","L","L","F",0
"yes","5","L","L","F",0
"no","5","L","L","F",0
"yes","6","L","L","F",0
"no","6","L","L","F",0
"yes","7","L","L","F",0
"no","7","L","L","F",0
"yes","3","A","A","V",0
"no","3","A","A","V",0
"yes","4","A","A","V",0
"no","4","A","A","V",0
"yes","5","A","A","V",0
"no","5","A","A","V",0
"yes","6","A","A","V",0
"no","6","A","A","V",0
"yes","7","A","A","V",0
"no","7","A","A","V",0
"yes","3","L","A","V",0
"no","3","L","A","V",0
"yes","4","L","A","V",0
"no","4","L","A","V",0
"yes","5","L","A","V",0
"no","5","L","A","V",0
"yes","6","L","A","V",0
"no","6","L","A","V",0
"yes","7","L","A","V",0
"no","7","L","A","V",0
"yes","3","A","L","V",0
"no","3","A","L","V",0
"yes","4","A","L","V",0
"no","4","A","L","V",0
"yes","5","A","L","V",0
"no","5","A","L","V",0
"yes","6","A","L","V",0
"no","6","A","L","V",0
"yes","7","A","L","V",0
"no","7","A","L","V",0
"yes","3","L","L","V",0
"no","3","L","L","V",0
"yes","4","L","L","V",0
"no","4","L","L","V",0
"yes","5","L","L","V",0
"no","5","L","L","V",0
"yes","6","L","L","V",0
"no","6","L","L","V",0
"yes","7","L","L","V",0
"no","7","L","L","V",0
