"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","probas"
"yes","1","A","A","F",1.36047054576643
"no","1","A","A","F",1.09924708872112
"yes","2","A","A","F",1.41504530652318
"no","2","A","A","F",1.1433429694193
"yes","3","A","A","F",1.27319692677229
"no","3","A","A","F",1.02873084571975
"yes","4","A","A","F",1.2160199679674
"no","4","A","A","F",0.982532414078742
"yes","5","A","A","F",0.845713407169665
"no","5","A","A","F",0.683328281980517
"yes","10","A","A","F",1.12755953103041
"no","10","A","A","F",0.91105723361814
"yes","11","A","A","F",1.51953077868473
"no","11","A","A","F",1.22776622389155
"yes","12","A","A","F",1.60717415116409
"no","12","A","A","F",1.29858122414528
"yes","1","L","A","F",1.01545903104789
"no","1","L","A","F",0.820481110060432
"yes","2","L","A","F",1.0561937855416
"no","2","L","A","F",0.853394399088493
"yes","3","L","A","F",0.950317757055877
"no","3","L","A","F",0.767847588508543
"yes","4","L","A","F",0.907640714640699
"no","4","L","A","F",0.733364949559764
"yes","5","L","A","F",0.631242859068965
"no","5","L","A","F",0.510038146189079
"yes","10","L","A","F",0.841613596407493
"no","10","L","A","F",0.680015674398788
"yes","11","L","A","F",1.13418203501155
"no","11","L","A","F",0.916408153006998
"yes","12","L","A","F",1.19959929404197
"no","12","L","A","F",0.969264667809967
"yes","1","A","L","F",1.31850026304459
"no","1","A","L","F",1.06533550479278
"yes","2","A","L","F",1.37139140180336
"no","2","A","L","F",1.1080710351434
"yes","3","A","L","F",1.2339190202101
"no","3","A","L","F",0.996994675779212
"yes","4","A","L","F",1.17850596076613
"no","4","A","L","F",0.9522214578213
"yes","5","A","L","F",0.819623293781306
"no","5","A","L","F",0.662247721820062
"yes","10","A","L","F",1.09277451311854
"no","10","A","L","F",0.88295127440445
"yes","11","A","L","F",1.4726535150906
"no","11","A","L","F",1.18988984671204
"yes","12","A","L","F",1.55759310457877
"no","12","A","L","F",1.25852021636803
"yes","1","L","L","F",0.98413229431099
"no","1","L","L","F",0.795169408705095
"yes","2","L","L","F",1.02361038862339
"no","2","L","L","F",0.82706732841839
"yes","3","L","L","F",0.921000617435807
"no","3","L","L","F",0.744159622255046
"yes","4","L","L","F",0.87964015445079
"no","4","L","L","F",0.710740766796603
"yes","5","L","L","F",0.611769125261412
"no","5","L","L","F",0.494303556961038
"yes","10","L","L","F",0.815649961477143
"no","10","L","L","F",0.6590373076134
"yes","11","L","L","F",1.09919271398905
"no","11","L","L","F",0.888137118849002
"yes","12","L","L","F",1.1625918618116
"no","12","L","L","F",0.939363019246627
"yes","1","A","A","V",1.60866616779733
"no","1","A","A","V",1.29978675920483
"yes","2","A","A","V",1.67319720194445
"no","2","A","A","V",1.35192721284355
"yes","3","A","A","V",1.50547090300163
"no","3","A","A","V",1.21640597984913
"yes","4","A","A","V",1.4378629422904
"no","4","A","A","V",1.16177939920212
"yes","5","A","A","V",1.00000000000001
"no","5","A","A","V",0.807990361968372
"yes","10","A","A","V",1.33326434400987
"no","10","A","A","V",1.07726473991605
"yes","11","A","A","V",1.79674434128948
"no","11","A","A","V",1.4517521106831
"yes","12","A","A","V",1.90037681505229
"no","12","A","A","V",1.53548615067039
"yes","1","L","A","V",1.20071293944165
"no","1","L","A","V",0.970164482559558
"yes","2","L","A","V",1.24887908431812
"no","2","L","A","V",1.00908226339292
"yes","3","L","A","V",1.12368770436819
"no","3","L","A","V",0.907928834991859
"yes","4","L","A","V",1.07322493287447
"no","4","L","A","V",0.86715540198672
"yes","5","L","A","V",0.746402804682428
"no","5","L","A","V",0.603086272329558
"yes","10","L","A","V",0.995152245752038
"no","10","L","A","V",0.804073423258821
"yes","11","L","A","V",1.34109501563574
"no","11","L","A","V",1.08359184711749
"yes","12","L","A","V",1.41844658470848
"no","12","L","A","V",1.14609116941139
"yes","1","A","L","V",1.55903909275507
"no","1","A","L","V",1.259688560878
"yes","2","A","L","V",1.62157935557979
"no","2","A","L","V",1.31022049047534
"yes","3","A","L","V",1.45902738415801
"no","3","A","L","V",1.17888006424759
