"is_loaded","burst_date_mother","position_mother","nature_mother","probas"
"yes","1","A","F",3.62018661123998
"no","1","A","F",4.10378150627657
"yes","10","A","F",1.08451328654062
"no","10","A","F",1.22938567719088
"yes","12","A","F",2.66895405054476
"no","12","A","F",3.02548057597948
"yes","2","A","F",3.61496229732543
"no","2","A","F",4.09785931354789
"yes","3","A","F",3.4898136347884
"no","3","A","F",3.95599293426785
"yes","4","A","F",4.02912581667201
"no","4","A","F",4.56734798189218
"yes","5","A","F",3
"no","5","A","F",3.40074859141386
"yes","unknow","A","F",3.2622807815592
"no","unknow","A","F",3.69806559089466
"yes","1","L","F",1.73311309991389
"no","1","L","F",1.96462731109769
"yes","10","L","F",0.519195385701519
"no","10","L","F",0.588550992197672
"yes","12","L","F",1.27772397525193
"no","12","L","F",1.44840600301791
"yes","2","L","F",1.73061203357237
"no","2","L","F",1.96179214515171
"yes","3","L","F",1.67069888274026
"no","3","L","F",1.89387562405188
"yes","4","L","F",1.92888695637812
"no","4","L","F",2.18655319996648
"yes","5","L","F",1.43620753792048
"no","5","L","F",1.62806025385368
"yes","unknow","L","F",1.56177074976281
"no","unknow","L","F",1.77039655912242
"yes","1","A","V",1.63206337996109
"no","1","A","V",1.85007908016694
"yes","10","A","V",0.488923530778416
"no","10","A","V",0.554235336201263
"yes","12","A","V",1.20322586553099
"no","12","A","V",1.36395622245241
"yes","2","A","V",1.62970813910171
"no","2","A","V",1.84740921948862
"yes","3","A","V",1.57328824391078
"no","3","A","V",1.78345259312252
"yes","4","A","V",1.8164225783913
"no","4","A","V",2.05906550829219
"yes","5","A","V",1.3524689928087
"no","5","A","V",1.53313567407503
"yes","unknow","A","V",1.47071120096485
"no","unknow","A","V",1.66717301501927
"yes","1","L","V",0.781327242888032
"no","1","L","V",0.885699173561584
"yes","10","L","V",0.234065220123552
"no","10","L","V",0.265332322544715
"yes","12","L","V",0.576027352632168
"no","12","L","V",0.652974736026567
"yes","2","L","V",0.780199704662746
"no","2","L","V",0.884421015551116
"yes","3","L","V",0.753189478408778
"no","3","L","V",0.853802685922131
"yes","4","L","V",0.869586599711515
"no","4","L","V",0.985748468027102
"yes","5","L","V",0.64747538742519
"no","5","L","V",0.733967003920453
"yes","unknow","L","V",0.7040821709766
"no","unknow","L","V",0.798135483729429
