"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","1","2","3","4","5"
"yes",1,"A","A","F",0.543415378403994,0.401863190323115,0.0460398402601432,0.00761759020649311,0.00106400080625468
"no",1,"A","A","F",0.291392179275252,0.565104482025238,0.118783022401265,0.0216470074169141,0.00307330888133128
"yes",2,"A","A","F",0.498942108192766,0.43634497617464,0.0543540480212555,0.00908741508096178,0.00127145253037653
"no",2,"A","A","F",0.25598093480316,0.577174918672342,0.13743979673525,0.0257332675236451,0.00367108226560364
"yes",3,"A","A","F",0.454485570753181,0.469133113711054,0.0640251618567274,0.010836863399042,0.00151929027999531
"no",3,"A","A","F",0.22351562313089,0.583359060571134,0.158181197329341,0.0305595048853279,0.00438461408330737
"yes",4,"A","A","F",0.410743023849033,0.499305674768081,0.0752184992169842,0.012917452199977,0.00181534996592503
"no",4,"A","A","F",0.19409365692288,0.583465332603177,0.180958038783928,0.0362468686551726,0.00523610303484223
"yes",5,"A","A","F",0.36836762363594,0.525976018501489,0.0880978970119571,0.0153894842309421,0.00216897661967208
"no",5,"A","A","F",0.167708101305353,0.577490443233723,0.20561841845787,0.0429311248249254,0.00625191217812771
"yes",6,"A","A","F",0.327931033297571,0.548338333534587,0.102816074085974,0.0183232488509932,0.00259131023087422
"no",6,"A","A","F",0.144267358253562,0.565619483656608,0.231887592982821,0.0507622543330362,0.00746331077397255
"yes",7,"A","A","F",0.289896008372503,0.565706386299487,0.119501723988959,0.0218002576709552,0.00309562366809668
"no",7,"A","A","F",0.123616334439782,0.548220158462911,0.259353218702612,0.0599029569258979,0.00890733146879663
"yes",8,"A","A","F",0.254601257131954,0.577543382928284,0.138243188902348,0.0259144497503303,0.00369772128708457
"no",8,"A","A","F",0.105556744335587,0.525830214845636,0.287459658696303,0.0705256287415521,0.0106277533809215
"yes",9,"A","A","F",0.222258654525685,0.583482669195859,0.159069002149184,0.0307732662683142,0.00441640786095832
"no",9,"A","A","F",0.0898650068760242,0.499136690534232,0.315514770677599,0.0828073128458314,0.012676219066313
"yes",10,"A","A","F",0.192961029145374,0.583340257103153,0.181926226758582,0.0364984485583378,0.00527403843455254
"no",10,"A","A","F",0.0763069477760488,0.468945996925369,0.342711478004596,0.0969220887308549,0.0151134885631315
"yes",11,"A","A","F",0.166697597309483,0.577120557541435,0.206658329603914,0.0432263550503642,0.00629716049480367
"no",11,"A","A","F",0.0646491134673839,0.436145122505705,0.368164535497329,0.113030402720648,0.018010825808934
"yes",12,"A","A","F",0.14337376308862,0.565016247429904,0.232985206938625,0.0511075222573955,0.00751726028545519
"no",12,"A","A","F",0.0546669041982533,0.401656060519005,0.390960545635696,0.131264989177713,0.0214515004693316
"yes",1,"L","A","F",0.548991732313764,0.39743898773334,0.0450791849039287,0.00744973999559229,0.00104035505337541
"no",1,"L","A","F",0.296059287545303,0.563180460930617,0.116576578077164,0.0211785297122936,0.00300514373462191
"yes",2,"L","A","F",0.50456642139022,0.432069081867929,0.0532337438762699,0.00888755064038738,0.00124320222519425
