"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","1","2","3","4","5"
"yes","1","A","A","F",0.113890233670264,0.655960971697535,0.198400202469475,0.0279187394710939,0.00382985269163283
"no","1","A","A","F",0.0511695470712814,0.532775949583193,0.343571804253265,0.0634031694633018,0.00907952962895875
"yes","2","A","A","F",0.210485148945017,0.66354512328945,0.110407830107243,0.0137118532884258,0.00185004436986413
"no","2","A","A","F",0.100608345224635,0.643721010180697,0.219363766850832,0.0319089494196413,0.00439792832419394
"yes","3","A","A","F",0.99999664104585,3.22988978485039e-06,1.14908357273791e-07,1.24962190595213e-08,1.65978875088513e-09
"no","3","A","A","F",0.999991994691723,7.6977111497234e-06,2.73859322219572e-07,2.97820536010462e-08,3.95575128209202e-09
"yes","5","A","A","F",0.00398531786050381,0.0903282580784788,0.392715378736503,0.403050458341471,0.109920586983043
"no","5","A","A","F",0.00167607212213775,0.0401885547494495,0.243016728833843,0.487722475600624,0.227396168693946
"yes","6","A","A","F",0.0133356180017368,0.24688648215542,0.502082765578614,0.20242481020487,0.0352703240593593
"no","6","A","A","F",0.00563912499037552,0.122972076233969,0.445067894913894,0.346172041091417,0.0801488627703446
"yes","7","A","A","F",0.181730707086689,0.670777638249481,0.128869097986279,0.01640257062563,0.00221998605192142
"no","7","A","A","F",0.0852435521927656,0.622806324362045,0.24868186463784,0.0379935968851801,0.00527466192216908
"yes","9","A","A","F",0.0171716996785992,0.295406190742452,0.493085978528682,0.166831894472707,0.0275042365775597
"no","9","A","A","F",0.00727758781873013,0.152944753292765,0.474747490093166,0.301882268526518,0.0631479002688214
"yes","10","A","A","F",0.289227348586871,0.624493519334341,0.0760284711359409,0.00903779779333502,0.00121286314951263
"no","10","A","A","F",0.145838628473766,0.670458309791222,0.159614381487525,0.0212029230779416,0.0028857571695452
"yes","11","A","A","F",0.365009663371325,0.572334341586094,0.0553777680392528,0.00641933790432836,0.00085888909900067
"no","11","A","A","F",0.194322279837992,0.668260703787197,0.120243823552607,0.0151286443102616,0.00204454851194213
"yes","12","A","A","F",0.0533262692458036,0.541162075750183,0.33590347122268,0.0609123036631817,0.0086958801181517
"no","12","A","A","F",0.023089765982025,0.357763447232289,0.467821446685257,0.130846910937587,0.0204784291628419
"yes","1","L","A","F",0.116589369770375,0.657918908911226,0.194546935260859,0.0272146200973328,0.00373016596020714
"no","1","L","A","F",0.0524702559464133,0.537892468584199,0.338914354394029,0.0618785081528703,0.00884441292248894
"yes","2","L","A","F",0.214918294543853,0.66199801968724,0.107922199004404,0.0133596901634025,0.00180179660109991
