"is_loaded","burst_date_mother","position_mother","position_ancestor","probas"
"yes","1","A","A",0.157845364732486
"no","1","A","A",0.0255736229502895
"yes","2","A","A",0.0643592805275584
"no","2","A","A",0.00953986661579825
"yes","3","A","A",3.71100131522645e-09
"no","3","A","A",5.1963015544378e-10
"yes","6","A","A",2.24331835006577e-09
"no","6","A","A",3.1411895670862e-10
"yes","8","A","A",0.772693978880764
"no","8","A","A",0.32248963893674
"yes","9","A","A",0.982009112526334
"no","9","A","A",0.884299976731014
"yes","10","A","A",0.906480313069173
"no","10","A","A",0.575776137926205
"yes","11","A","A",0.969742309365331
"no","11","A","A",0.817774290323897
"yes","12","A","A",0.752179673166277
"no","12","A","A",0.298245119650383
"yes","1","L","A",0.0554598410292944
"no","1","L","A",0.00815465121780682
"yes","2","L","A",0.0210941102243859
"no","2","L","A",0.00300825790994841
"yes","3","L","A",1.16254376860006e-09
"no","3","L","A",1.62784312521066e-10
"yes","6","L","A",7.02763363495986e-10
"no","6","L","A",9.84039087700005e-11
"yes","8","L","A",0.515718476702171
"no","8","L","A",0.129764220770305
"yes","9","L","A",0.944749581214963
"no","9","L","A",0.7053912230995
"yes","10","L","A",0.752260729112805
"no","10","L","A",0.298336146787386
"yes","11","L","A",0.909421248910806
"no","11","L","A",0.584348178069333
"yes","12","L","A",0.48739766881907
"no","12","L","A",0.117495930305679
"yes","1","A","L",0.102433248391752
"no","1","A","L",0.015728679259973
"yes","2","A","L",0.0401991966762981
"no","2","A","L",0.00583042175618279
"yes","3","A","L",2.25956743988418e-09
"no","3","A","L",3.16394223235546e-10
"yes","6","A","L",1.36591951002428e-09
"no","6","A","L",1.91261847031409e-10
"yes","8","A","L",0.674247095310223
"no","8","A","L",0.224700295015439
"yes","9","A","L",0.970790221515212
"no","9","A","L",0.823125344261653
"yes","10","A","L",0.855111699837308
"no","10","A","L",0.452476216837227
"yes","11","A","L",0.951253706715111
"no","11","A","L",0.732082074689664
"yes","12","A","L",0.648885270216566
"no","12","A","L",0.205576770036541
"yes","1","L","L",0.0345173054529089
"no","1","L","L",0.00498111937825467
"yes","2","L","L",0.0129507020680713
"no","2","L","L",0.00183383623240027
"yes","3","L","L",7.07853708801599e-10
"no","3","L","L",9.91166805241717e-11
"yes","6","L","L",4.27901010359463e-10
"no","6","L","L",5.99165155203642e-11
"yes","8","L","L",0.393354416482
"no","8","L","L",0.0832357498769378
"yes","9","L","L",0.912369474962031
"no","9","L","L",0.593143529356766
"yes","10","L","L",0.648984344932423
"no","10","L","L",0.205647802286835
"yes","11","L","L",0.859417510450274
"no","11","L","L",0.461208292792212
"yes","12","L","L",0.366665589555677
"no","12","L","L",0.0749873455698055
"yes","4","A","A",0
"no","4","A","A",0
"yes","5","A","A",0
"no","5","A","A",0
"yes","7","A","A",0
"no","7","A","A",0
"yes","4","L","A",0
"no","4","L","A",0
"yes","5","L","A",0
"no","5","L","A",0
"yes","7","L","A",0
"no","7","L","A",0
"yes","4","A","L",0
"no","4","A","L",0
"yes","5","A","L",0
"no","5","A","L",0
"yes","7","A","L",0
"no","7","A","L",0
"yes","4","L","L",0
"no","4","L","L",0
"yes","5","L","L",0
"no","5","L","L",0
"yes","7","L","L",0
"no","7","L","L",0
