"is_loaded","burst_date_mother","position_mother","nature_ancestor","probas"
"yes","1","A","F",0.857694598550114
"no","1","A","F",0.733681259924652
"yes","2","A","F",0.844603394458303
"no","2","A","F",0.712999090583701
"yes","3","A","F",0.897367711717014
"no","3","A","F",0.799860277242972
"yes","4","A","F",0.890061397044765
"no","4","A","F",0.787258121614117
"yes","5","A","F",0.114686909551509
"no","5","A","F",0.0559021342056525
"yes","9","A","F",3.28997740386675e-07
"no","9","A","F",1.50379072247976e-07
"yes","10","A","F",0.493478482683708
"no","10","A","F",0.308108031517675
"yes","11","A","F",0.350278840958986
"no","11","A","F",0.197704172692348
"yes","12","A","F",0.847816133593862
"no","12","A","F",0.71802430593353
"yes","1","L","F",0.716642946887726
"no","1","L","F",0.536181187252751
"yes","2","L","F",0.695187317728936
"no","2","L","F",0.510396524552212
"yes","3","L","F",0.78581991352179
"no","3","L","F",0.626450364313398
"yes","4","L","F",0.772585040487916
"no","4","L","F",0.608276643459408
"yes","5","L","F",0.0515567832041367
"no","5","L","F",0.0242443181752982
"yes","9","L","F",1.38054482242513e-07
"no","9","L","F",6.31022656348193e-08
"yes","10","L","F",0.29018407432617
"no","10","L","F",0.15744244350141
"yes","11","L","F",0.184490300375622
"no","11","L","F",0.0937139240083827
"yes","12","L","F",0.700393355430573
"no","12","L","F",0.51656390597459
"yes","1","A","V",0.90180057983385
"no","1","A","V",0.807601700395558
"yes","2","A","V",0.892257153007024
"no","2","A","V",0.79102504722073
"yes","3","A","V",0.93017844036032
"no","3","A","V",0.858943399031009
"yes","4","A","V",0.925012711092434
"no","4","A","V",0.849360871852562
"yes","5","A","V",0.164844545862437
"no","5","A","V",0.0827537379424825
"yes","9","A","V",5.0128318491728e-07
"no","9","A","V",2.29127735782665e-07
"yes","10","A","V",0.597493683367058
"no","10","A","V",0.404232836646025
"yes","11","A","V",0.450984602712185
"no","11","A","V",0.272974117582501
"yes","12","A","V",0.894607615345562
"no","12","A","V",0.79507673095693
"yes","1","L","V",0.793964526975589
"no","1","L","V",0.637862466547413
"yes","2","L","V",0.776538029227517
"no","2","L","V",0.61365747398513
"yes","3","L","V",0.848261579267321
"no","3","L","V",0.718723616232658
"yes","4","L","V",0.838090179898933
"no","4","L","V",0.702910135612719
"yes","5","L","V",0.0764902790632027
"no","5","L","V",0.036477174436203
"yes","9","L","V",2.10349157380537e-07
"no","9","L","V",9.61468886084855e-08
"yes","10","L","V",0.383818980732968
"no","10","L","V",0.221618116411708
"yes","11","L","V",0.256336815883483
"no","11","L","V",0.136109329867429
"yes","12","L","V",0.78079275583168
"no","12","L","V",0.619493829775699
"yes","6","A","F",0
"no","6","A","F",0
"yes","7","A","F",0
"no","7","A","F",0
"yes","8","A","F",0
"no","8","A","F",0
"yes","6","L","F",0
"no","6","L","F",0
"yes","7","L","F",0
"no","7","L","F",0
"yes","8","L","F",0
"no","8","L","F",0
"yes","6","A","V",0
"no","6","A","V",0
"yes","7","A","V",0
"no","7","A","V",0
"yes","8","A","V",0
"no","8","A","V",0
"yes","6","L","V",0
"no","6","L","V",0
"yes","7","L","V",0
"no","7","L","V",0
"yes","8","L","V",0
"no","8","L","V",0
