"is_loaded","burst_date_mother","position_mother","probas"
"yes","1","A",0.870471168327367
"no","1","A",0.924479374753975
"yes","2","A",0.644457666660141
"no","2","A",0.76753753448801
"yes","3","A",0.6814093196199
"no","3","A",0.795751544288812
"yes","6","A",4.42520281433161e-06
"no","6","A",8.06074732503749e-06
"yes","8","A",0.483105012256132
"no","8","A",0.629969998226997
"yes","9","A",0.30422132389746
"no","9","A",0.443348718465226
"yes","10","A",0.0566488547817283
"no","10","A",0.0986004295882671
"yes","11","A",0.589866660055803
"no","11","A",0.723743643202347
"yes","12","A",0.830274432321214
"no","12","A",0.899100265248046
"yes","1","L",0.823289391690932
"no","1","L",0.894588127990948
"yes","2","L",0.556859978066013
"no","2","L",0.695957652694435
"yes","3","L",0.597225821806998
"no","3","L",0.729800975748705
"yes","6","L",3.06786132278648e-06
"no","6","L",5.58828229242494e-06
"yes","8","L",0.393185298739161
"no","8","L",0.541343219973859
"yes","9","L",0.232613389439907
"no","9","L",0.35573612993292
"yes","10","L",0.0399673816262159
"no","10","L",0.0704884869606073
"yes","11","L",0.499269350033236
"no","11","L",0.644917259577498
"yes","12","L",0.77228110810226
"no","12","L",0.860677738877159
"yes","4","A",0
"no","4","A",0
"yes","5","A",0
"no","5","A",0
"yes","7","A",0
"no","7","A",0
"yes","4","L",0
"no","4","L",0
"yes","5","L",0
"no","5","L",0
"yes","7","L",0
"no","7","L",0
