"is_loaded","burst_date_mother","position_mother","nature_ancestor","probas"
"yes","1","A","F",0.918045406843892
"no","1","A","F",0.96771124613296
"yes","2","A","F",0.314458040502267
"no","2","A","F",0.551015406236811
"yes","8","A","F",0.619744023803785
"no","8","A","F",0.813451512794027
"yes","9","A","F",0.59433493433697
"no","9","A","F",0.796740965461486
"yes","10","A","F",0.464012293573902
"no","10","A","F",0.698451120117003
"yes","11","A","F",0.764222019926902
"no","11","A","F",0.896608911759061
"yes","12","A","F",0.484138411029266
"no","12","A","F",0.715177706647948
"yes","1","L","F",0.717465079788371
"no","1","L","F",0.871697910537234
"yes","2","L","F",0.0941897541357312
"no","2","L","F",0.217654897205317
"yes","8","L","F",0.269788185289748
"no","8","L","F",0.49710897069843
"yes","9","L","F",0.249319632848292
"no","9","L","F",0.470506538352843
"yes","10","L","F",0.164055209572785
"no","10","L","F",0.344291803244887
"yes","11","L","F",0.423556203139767
"no","11","L","F",0.662832308552645
"yes","12","L","F",0.175429263119338
"no","12","L","F",0.362739452801401
"yes","1","A","V",0.868041067689415
"no","1","A","V",0.946235674966667
"yes","2","A","V",0.212203801298058
"no","2","A","V",0.41883466589416
"yes","8","A","V",0.489033921651189
"no","8","A","V",0.7191525574244
"yes","9","A","V",0.462466226036344
"no","9","A","V",0.69713991305794
"yes","10","A","V",0.337035448775653
"no","10","A","V",0.57629930229776
"yes","11","A","V",0.655574586080521
"no","11","A","V",0.835863616265666
"yes","12","A","V",0.355304972534088
"no","12","A","V",0.595881186904799
"yes","1","L","V",0.598588883419475
"no","1","L","V",0.799588127772781
"yes","2","L","V",0.0575487563003309
"no","2","L","V",0.140430568319258
"yes","8","L","V",0.178281996792996
"no","8","L","V",0.367281396897982
"yes","9","L","V",0.163204262197187
"no","9","L","V",0.342889447031733
"yes","10","L","V",0.103336241847069
"no","10","L","V",0.235671364970728
"yes","11","L","V",0.301424254479455
"no","11","L","V",0.535840523509265
"yes","12","L","V",0.11105989014878
"no","12","L","V",0.25052260375633
"yes","3","A","F",0
"no","3","A","F",0
"yes","4","A","F",0
"no","4","A","F",0
"yes","5","A","F",0
"no","5","A","F",0
"yes","6","A","F",0
"no","6","A","F",0
"yes","7","A","F",0
"no","7","A","F",0
"yes","3","L","F",0
"no","3","L","F",0
"yes","4","L","F",0
"no","4","L","F",0
"yes","5","L","F",0
"no","5","L","F",0
"yes","6","L","F",0
"no","6","L","F",0
"yes","7","L","F",0
"no","7","L","F",0
"yes","3","A","V",0
"no","3","A","V",0
"yes","4","A","V",0
"no","4","A","V",0
"yes","5","A","V",0
"no","5","A","V",0
"yes","6","A","V",0
"no","6","A","V",0
"yes","7","A","V",0
"no","7","A","V",0
"yes","3","L","V",0
"no","3","L","V",0
"yes","4","L","V",0
"no","4","L","V",0
"yes","5","L","V",0
"no","5","L","V",0
"yes","6","L","V",0
"no","6","L","V",0
"yes","7","L","V",0
"no","7","L","V",0
