"is_loaded","burst_date_mother","position_mother","probas"
"yes","1","A",0.803503458171419
"no","1","A",0.686572558409554
"yes","10","A",0.213201674669951
"no","10","A",0.126758766408019
"yes","11","A",1.9576665423943e-07
"no","11","A",1.04870983953176e-07
"yes","12","A",0.423948328787784
"no","12","A",0.282766818119283
"yes","2","A",0.803499059578645
"no","2","A",0.686566563355012
"yes","3","A",0.891124290440729
"no","3","A",0.814283055683288
"yes","4","A",0.871009878977833
"no","4","A",0.783422699719362
"yes","5","A",0.751038696018773
"no","5","A",0.617740098058188
"yes","9","A",1.35255169566818e-07
"no","9","A",7.24553544310795e-08
"yes","unknow","A",0.279996907113063
"no","unknow","A",0.172406136131573
"yes","1","L",0.704396234595124
"no","1","L",0.560730794344842
"yes","10","L",0.136372790396315
"no","10","L",0.0779924349363459
"yes","11","L",1.14080910653438e-07
"no","11","L",6.11124348180135e-08
"yes","12","L",0.300146290758024
"no","12","L",0.186821965100127
"yes","2","L",0.704390433675034
"no","2","L",0.560723932303608
"yes","3","L",0.826677610858182
"no","3","L",0.71870939438356
"yes","4","L",0.797364310983292
"no","4","L",0.678243062506506
"yes","5","L",0.637410872156808
"no","5","L",0.484992387796287
"yes","9","L",7.88184922765357e-08
"no","9","L",4.22225757600537e-08
"yes","unknow","L",0.184749811939366
"no","unknow","L",0.108255533628575
"yes","6","A",0
"no","6","A",0
"yes","7","A",0
"no","7","A",0
"yes","8","A",0
"no","8","A",0
"yes","6","L",0
"no","6","L",0
"yes","7","L",0
"no","7","L",0
"yes","8","L",0
"no","8","L",0
