"is_loaded","position_mother","position_ancestor","nature_ancestor","probas"
"yes","A","A","F",1.51413930063529
"no","A","A","F",2.08270836798684
"yes","L","A","F",0.601691204796879
"no","L","A","F",0.827630130628509
"yes","A","L","F",1.29180412839995
"no","A","L","F",1.77688490543089
"yes","L","L","F",0.513339282622432
"no","L","L","F",0.706101492171507
"yes","A","A","V",1.10976230779035
"no","A","A","V",1.52648520776232
"yes","L","A","V",0.440999199830807
"no","L","A","V",0.606597241996003
"yes","A","L","V",0.946805574721387
"no","A","L","V",1.30233717102611
"yes","L","L","V",0.376243181009494
"no","L","L","V",0.517524920697642
