codeUC;verger;date;DFUC;longFprox;longFdist;longF1
1-BP-cog-V-A10-1-A;BP;01/02/2010 09:00;D;;;
1-BP-cog-V-A10-1-A;BP;03/03/2010 10:00;;16.65;12.35;8.9
1-BP-cog-V-A8-1-L;BP;01/02/2010 09:00;D;;;
1-BP-cog-V-A8-1-L;BP;03/03/2010 10:00;;16;11.9;10.1
1-BP-cog-V-B7-1-A;BP;01/02/2010 09:00;D;;;
1-BP-cog-V-B7-1-A;BP;03/03/2010 10:00;;19;14.05;8.65
1-BP-cog-V-B7-1-L;BP;01/02/2010 09:00;D;;;
1-BP-cog-V-B7-1-L;BP;03/03/2010 10:00;;14.1;11.3;9.75
1-BP-cog-V-B8-1-A;BP;01/02/2010 09:00;D;;;
1-BP-cog-V-B8-1-A;BP;03/03/2010 10:00;;12.6;13.9;10.6
1-BP-cog-V-B8-1-L;BP;01/02/2010 09:00;D;;;
1-BP-cog-V-B8-1-L;BP;03/03/2010 10:00;;12.5;14.45;11.05
1-BP-cog-V-C1-1-L;BP;01/02/2010 09:00;D;;;
1-BP-cog-V-C1-1-L;BP;03/03/2010 10:00;;;10.5;
1-BP-cog-V-C1-2-A;BP;01/02/2010 09:00;D;;;
1-BP-cog-V-C1-2-A;BP;03/03/2010 10:00;;22.4;11.85;10.6
1-BP-cog-V-C9-1-A;BP;01/02/2010 09:00;D;;;
1-BP-cog-V-C9-1-A;BP;03/03/2010 10:00;;13.3;14.2;9.25
1-BP-cog-V-D16-1-L;BP;01/02/2010 09:00;D;;;
1-BP-cog-V-D16-1-L;BP;03/03/2010 10:00;;14.9;12.9;10.55
2-BP-cog-V-B7-1-A;BP;31/03/2010 10:00;D;;;
2-BP-cog-V-B7-1-A;BP;04/05/2010 09:10;;9.85;10.7;
2-BP-cog-V-B7-2-L;BP;29/03/2010 15:15;D;;;
2-BP-cog-V-B7-2-L;BP;04/05/2010 09:15;;9.65;9.5;7.3
2-BP-cog-V-D16-1-L;BP;29/03/2010 15:20;D;;;
2-BP-cog-V-D16-1-L;BP;04/05/2010 09:15;;12.9;9;9.2
2-BP-cog-V-D2-1-L;BP;29/03/2010 15:00;D;;;
2-BP-cog-V-D2-1-L;BP;04/05/2010 09:00;;12.95;10.7;9.55
2-BP-cog-V-D5-1-A;BP;29/03/2010 15:00;D;;;
2-BP-cog-V-D5-1-A;BP;04/05/2010 09:00;;12.15;10.2;10.5
2-BP-cog-V-D5-2-L;BP;30/03/2010 09:30;D;;;
2-BP-cog-V-D5-2-L;BP;04/05/2010 09:00;;15.7;11.1;6.2
2-BP-cog-V-H12-1-A;BP;29/03/2010 15:30;D;;;
2-BP-cog-V-H12-1-A;BP;04/05/2010 09:20;;14.75;12.9;10.8
2-BP-cog-V-H12-2-L;BP;29/03/2010 15:30;D;;;
2-BP-cog-V-H12-2-L;BP;04/05/2010 09:20;;16.75;12.2;9.25
2-BP-cog-V-I12-1-A;BP;29/03/2010 15:30;D;;;
2-BP-cog-V-I12-1-A;BP;04/05/2010 09:20;;9.2;9.05;5.85
2-BP-cog-V-I2-1-A;BP;30/03/2010 09:40;D;;;
2-BP-cog-V-I2-1-A;BP;04/05/2010 09:20;;15.95;8.45;7.75
4-BP-cog-V-B1-1-A;BP;24/09/2010 10:40;D;;;
4-BP-cog-V-B1-1-A;BP;19/10/2010 14:00;;16.55;10.3;7.2
4-BP-cog-V-B1-1-L;BP;24/09/2010 10:40;D;;;
4-BP-cog-V-B1-1-L;BP;19/10/2010 14:00;;;11.7;9.35
4-BP-cog-V-C11-1-A;BP;25/09/2010 14:50;D;;;
4-BP-cog-V-C11-1-A;BP;19/10/2010 14:00;;14.8;12.3;9
4-BP-cog-V-C11-1-L;BP;25/09/2010 14:50;D;;;
4-BP-cog-V-C11-1-L;BP;19/10/2010 14:00;;15.1;9.15;6.9
4-BP-cog-V-D12-1-A;BP;24/09/2010 10:40;D;;;
4-BP-cog-V-D12-1-A;BP;20/10/2010 14:00;;;12.35;14.6
4-BP-cog-V-D12-1-L;BP;24/09/2010 10:40;D;;;
4-BP-cog-V-D12-1-L;BP;20/10/2010 14:00;;;12.7;8.9
4-BP-cog-V-E15-1-A;BP;24/09/2010 10:40;D;;;
4-BP-cog-V-E15-1-A;BP;22/10/2010 14:00;;15.1;12.5;10.25
4-BP-cog-V-E15-2-L;BP;24/09/2010 10:40;D;;;
4-BP-cog-V-E15-2-L;BP;22/10/2010 14:00;;13.5;8.4;6.75
4-BP-cog-V-G15-1-A;BP;24/09/2010 10:40;D;;;
4-BP-cog-V-G15-1-A;BP;20/10/2010 14:00;;15.55;13.7;10.85
4-BP-cog-V-G15-2-L;BP;24/09/2010 10:40;D;;;
4-BP-cog-V-G15-2-L;BP;19/10/2010 14:00;;15.8;12.65;10.7
4-BP-cog-V-G9-1-A;BP;24/09/2010 10:40;D;;;
4-BP-cog-V-G9-1-A;BP;22/10/2010 14:00;;19.5;12.5;10.3
4-BP-cog-V-G9-2-A;BP;25/09/2010 14:50;D;;;
4-BP-cog-V-G9-2-A;BP;22/10/2010 14:00;;14.4;10.15;5.85
