codeUC;verger;date;DFUC;longFprox;longFdist;longF1
1-GF-cog-V-B12-1-A;GF;09/02/2010 17:30;D;;;
1-GF-cog-V-B12-1-A;GF;08/03/2010 09:00;;18.35;;9.4
1-GF-cog-V-B12-2-A;GF;10/02/2010 18:00;D;;;
1-GF-cog-V-B12-2-A;GF;08/03/2010 09:00;;15.55;10.6;12.15
1-GF-cog-V-B5-1-L;GF;08/02/2010 19:00;D;;;
1-GF-cog-V-B5-1-L;GF;08/03/2010 09:00;;16.8;11.55;11.45
1-GF-cog-V-B5-2-L;GF;08/02/2010 19:00;D;;;
1-GF-cog-V-B5-2-L;GF;08/03/2010 09:00;;11.8;10.65;7.7
1-GF-cog-V-B7-1-A;GF;07/02/2010 17:30;D;;;
1-GF-cog-V-B7-1-A;GF;08/03/2010 09:00;;14.05;9.75;9.2
1-GF-cog-V-B7-2-L;GF;08/02/2010 19:00;D;;;
1-GF-cog-V-B7-2-L;GF;08/03/2010 09:00;;19.65;10.65;7.15
1-GF-cog-V-C38-1-A;GF;09/02/2010 17:30;D;;;
1-GF-cog-V-C38-1-A;GF;08/03/2010 09:00;;16.2;14.15;10.9
1-GF-cog-V-C38-1-L;GF;09/02/2010 17:30;D;;;
1-GF-cog-V-C38-1-L;GF;08/03/2010 09:00;;15.95;12;15.2
1-GF-cog-V-D38-1-A;GF;09/02/2010 17:00;D;;;
1-GF-cog-V-D38-1-A;GF;08/03/2010 09:00;;15.15;11.3;10.9
1-GF-cog-V-D38-2-L;GF;09/02/2010 17:00;D;;;
1-GF-cog-V-D38-2-L;GF;08/03/2010 09:00;;14;11;7.4
1-GF-cog-V-E4-1-A;GF;09/02/2010 17:30;D;;;
1-GF-cog-V-E4-1-A;GF;08/03/2010 09:00;;16.35;14.35;12.25
1-GF-cog-V-E4-2-L;GF;09/02/2010 17:30;D;;;
1-GF-cog-V-E4-2-L;GF;08/03/2010 09:00;;16;11;8.9
2-GF-cog-V-A28-1-L;GF;25/03/2010 16:30;D;;;
2-GF-cog-V-A28-1-L;GF;20/04/2010 14:00;;14.1;12.8;9.6
2-GF-cog-V-A28-2-L;GF;26/03/2010 17:30;D;;;
2-GF-cog-V-A28-2-L;GF;22/04/2010 16:30;;18.1;14.9;10.1
2-GF-cog-V-A36-1-A;GF;25/03/2010 16:50;D;;;
2-GF-cog-V-A36-1-A;GF;20/04/2010 14:00;;18;13.25;10
2-GF-cog-V-A39-1-A;GF;25/03/2010 16:50;D;;;
2-GF-cog-V-A39-1-A;GF;22/04/2010 16:30;;14.2;12.4;6.3
2-GF-cog-V-A39-2-A;GF;26/03/2010 17:50;D;;;
2-GF-cog-V-A39-2-A;GF;22/04/2010 16:30;;12.35;;
2-GF-cog-V-B38-1-A;GF;25/03/2010 16:50;D;;;
2-GF-cog-V-B38-1-A;GF;20/04/2010 14:00;;21.2;16.4;12
2-GF-cog-V-D11-1-A;GF;25/03/2010 16:00;D;;;
2-GF-cog-V-D11-1-A;GF;22/04/2010 16:30;;17.25;11.9;7.6
2-GF-cog-V-D11-1-L;GF;25/03/2010 16:00;D;;;
2-GF-cog-V-D11-1-L;GF;22/04/2010 16:30;;15.05;14.65;9.45
2-GF-cog-V-E21-1-L;GF;25/03/2010 16:20;D;;;
2-GF-cog-V-E21-1-L;GF;20/04/2010 14:00;;16.4;11.7;
2-GF-cog-V-E21-2-L;GF;26/03/2010 17:15;D;;;
2-GF-cog-V-E21-2-L;GF;20/04/2010 14:00;;16.7;10.4;
4-GF-cog-V-A2-1-A;GF;05/11/2010 09:15;D;;;
4-GF-cog-V-A2-1-A;GF;04/12/2010 17:40;;11.1;10.1;9.6
4-GF-cog-V-A2-2-A;GF;05/11/2010 09:15;D;;;
4-GF-cog-V-A2-2-A;GF;06/12/2010 17:40;;13.7;13.75;11.8
4-GF-cog-V-A7-1-A;GF;05/11/2010 09:15;D;;;
4-GF-cog-V-A7-1-A;GF;06/12/2010 17:40;;11.5;10;8.3
4-GF-cog-V-A7-2-A;GF;04/11/2010 09:15;D;;;
4-GF-cog-V-A7-2-A;GF;06/12/2010 17:40;;12.7;10.75;8.3
4-GF-cog-V-A7-3-A;GF;05/11/2010 09:15;D;;;
4-GF-cog-V-A7-3-A;GF;06/12/2010 17:40;;15.2;14.1;13.1
4-GF-cog-V-B12-1-A;GF;05/11/2010 09:15;D;;;
4-GF-cog-V-B12-1-A;GF;08/12/2010 18:00;;5.45;6.35;5.75
4-GF-cog-V-B15-1-A;GF;05/11/2010 09:15;D;;;
4-GF-cog-V-B15-1-A;GF;08/12/2010 18:00;;9.85;8.3;8.15
4-GF-cog-V-B6-1-L;GF;05/11/2010 09:15;D;;;
4-GF-cog-V-B6-1-L;GF;06/12/2010 15:20;;16.65;9;6.85
4-GF-cog-V-B6-2-L;GF;05/11/2010 09:15;D;;;
4-GF-cog-V-B6-2-L;GF;06/12/2010 18:00;;19.15;14.65;11.05
