codeUC;positionUC;PUCM;date;stadeInflo;longueur;DFInflo;T_ip
3-BP-cog-F-A10-1-A;A;A;16/07/2010 10:00;B2;;D;110.79
3-BP-cog-F-A10-1-A;A;A;16/09/2010 14:00;G;24;;
3-BP-cog-F-A3-1-A;A;A;15/07/2010 10:20;B2/C;;D;107.03
3-BP-cog-F-A3-1-A;A;A;16/09/2010 13:30;G;16.6;;
3-BP-cog-F-A8-1-A;A;L;18/07/2010 11:20;B2/C;;D;101.99
3-BP-cog-F-A8-1-A;A;L;16/09/2010 11:50;G;23.1;;
3-BP-cog-F-B11-1-L;L;A;18/07/2010 11:20;B2;;D;108.67
3-BP-cog-F-B11-1-L;L;A;16/09/2010 14:20;G;18.9;;
3-BP-cog-F-B11-2-A;A;L;18/07/2010 11:20;B2;;D;129.57
3-BP-cog-F-B11-2-A;A;L;20/08/2010 13:00;F;24;;
3-BP-cog-F-D2-1-L;L;A;20/07/2010 13:10;B2/C;;D;134.65
3-BP-cog-F-D2-1-L;L;A;16/09/2010 13:30;G;27.8;;
3-BP-cog-F-D3-1-L;L;A;07/08/2010 17:00;B2;;D;163.49
3-BP-cog-F-D3-1-L;L;A;20/09/2010 13:00;G;22.85;;
3-BP-cog-F-E3-1-L;L;A;05/08/2010 13:00;B2/C;;D;183.61
3-BP-cog-F-E3-1-L;L;A;05/10/2010 15:00;G;21.1;;
3-BP-cog-F-E6-1-L;L;A;16/07/2010 10:00;B2;;D;95.17
3-BP-cog-F-E6-1-L;L;A;16/09/2010 13:00;G;18.6;;
3-BP-cog-F-F10-1-A;A;L;19/07/2010 09:30;B2/C;;D;164.48
3-BP-cog-F-F10-1-A;A;L;16/09/2010 11:50;G;34.5;;
3-BP-cog-F-F10-2-A;A;L;04/08/2010 14:00;B2;;D;145.28
3-BP-cog-F-F10-2-A;A;L;20/09/2010 13:00;G;25.5;;
3-BP-cog-F-F11-1-A;A;L;16/07/2010 10:00;B2/C;;D;130.05
3-BP-cog-F-F11-1-A;A;L;16/09/2010 13:00;G;24.5;;
3-BP-cog-F-F3-1-A;A;L;04/08/2010 14:00;B2;;D;154.22
3-BP-cog-F-F3-1-A;A;L;05/10/2010 15:00;G;35.9;;
3-BP-cog-F-F4-1-A;A;L;18/07/2010 11:20;B2/C;;D;119.58
3-BP-cog-F-F4-1-A;A;L;16/09/2010 14:30;G;23.5;;
3-BP-cog-F-G2-1-A;A;A;05/08/2010 13:00;B2/C;;D;168.02
3-BP-cog-F-G2-1-A;A;A;05/10/2010 15:00;G;28.1;;
