variete;parcelle;trait;arbre;uc.dep;EC1;EC2;EC3;EC4;EC5;EC6;EC7;EC8;EC9;ddeb;year;month;week;type;posit;diam;dsup;date.flo;fruits;pb;date.pb;
cogshall;cirad;T;14;1;;;;;;;;;;04/07/2007;2007;7;27;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;1;1;;;;;;;;;15/11/2007;2007;11;46;V;L;3,8;NA;;NA;NA;;
cogshall;cirad;T;14;1;2;;;;;;;;;15/11/2007;2007;11;46;V;L;3,8;NA;;NA;NA;;
cogshall;cirad;T;14;1;2;0;;;;;;;;03/01/2008;2008;1;1;V;A;;NA;;NA;ABS;;
cogshall;cirad;T;14;1;2;0;;;;;;;;01/08/2008;2008;8;31;FV;A;5,1;NA;;NA;NA;;
cogshall;cirad;T;14;1;3;;;;;;;;;15/11/2007;2007;11;46;V;L;3,8;NA;;NA;NA;;
cogshall;cirad;T;14;1;3;;;;;;;;;01/08/2008;2008;8;31;FV;A;4,4;NA;;NA;NA;;
cogshall;cirad;T;14;1;4;;;;;;;;;15/11/2007;2007;11;46;V;L;3,8;NA;;NA;NA;;
cogshall;cirad;T;14;1;4;0;;;;;;;;03/01/2008;2008;1;1;V;A;4,9;NA;;NA;NA;;
cogshall;cirad;T;14;1;5;;;;;;;;;15/11/2007;2007;11;46;V;L;3,8;NA;;NA;NA;;
cogshall;cirad;T;14;1;5;0;;;;;;;;31/07/2008;2008;7;31;VF;A;4,4;NA;;NA;NA;;
cogshall;cirad;T;14;1;6;;;;;;;;;15/11/2007;2007;11;46;V;L;3,8;NA;;NA;NA;;
cogshall;cirad;T;14;1;6;0;;;;;;;;03/01/2008;2008;1;1;V;A;;NA;;NA;ABS;;
cogshall;cirad;T;14;1;6;0;0;;;;;;;31/07/2008;2008;7;31;VF;A;;NA;;NA;NA;;
cogshall;cirad;T;14;2;;;;;;;;;;04/06/2007;2007;6;23;F;A;;NA;;NA;S;02/07/2009;
cogshall;cirad;T;14;2;;;;;;;;;;14/09/2007;2007;9;37;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;2;1;;;;;;;;;31/01/2008;2008;1;5;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;2;1;;;;;;;;;25/07/2008;2008;7;30;F;L;;NA;;1;NA;;
cogshall;cirad;T;14;2;2;;;;;;;;;31/01/2008;2008;1;5;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;2;2;;;;;;;;;25/07/2008;2008;7;30;F;A;;NA;;1;NA;;
cogshall;cirad;T;14;3;0;;;;;;;;;08/08/2007;2007;8;32;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;;;;;;;;08/11/2007;2007;11;45;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;0;;;;;;;03/01/2008;2008;1;1;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;0;;;;;;;16/07/2008;2008;7;29;FV;A;9,6;NA;;1;NA;;
cogshall;cirad;T;14;3;0;0;0;;;;;;;16/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;0;;;;;;;16/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;0;;;;;;;16/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;0;1;;;;;;01/09/2009;2009;9;36;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;0;2;;;;;;01/09/2009;2009;9;36;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;0;3;;;;;;01/09/2009;2009;9;36;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;0;4;;;;;;01/09/2009;2009;9;36;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;1;;;;;;;03/01/2008;2008;1;1;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;1;;;;;;;16/07/2008;2008;7;29;FV;A;6,5;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;0;1;1;;;;;;01/09/2009;2009;9;36;V;L;6,5;NA;;NA;NA;;
cogshall;cirad;T;14;3;0;1;;;;;;;;08/11/2007;2007;11;45;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;;;;;;;;;10/08/2007;2007;8;32;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;;;;;;;;08/11/2007;2007;11;45;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;;;;;;;03/01/2008;2008;1;1;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;;;;;;;16/07/2008;2008;7;29;FV;A;8,8;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;;;;;;;16/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;1;;;;;;25/12/2008;2008;12;52;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;2;;;;;;25/12/2008;2008;12;52;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;2;0;;;;;08/08/2009;2009;8;32;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;2;0;;;;;22/01/2009;2009;1;4;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;3;;;;;;25/12/2008;2008;12;52;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;3;0;;;;;22/01/2009;2009;1;4;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;4;;;;;;25/12/2008;2008;12;52;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;4;0;;;;;22/01/2009;2009;1;4;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;5;;;;;;25/12/2008;2008;12;52;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;1;0;0;6;;;;;;25/12/2008;2008;12;52;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;2;;;;;;;;;10/08/2007;2007;8;32;V;L;4,6;NA;;NA;NA;;
cogshall;cirad;T;14;3;3;;;;;;;;;10/08/2007;2007;8;32;V;L;3,4;NA;;NA;NA;;
cogshall;cirad;T;14;3;4;;;;;;;;;10/08/2007;2007;8;32;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;3;4;0;;;;;;;;08/11/2007;2007;11;45;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;3;4;0;0;;;;;;;03/01/2008;2008;1;1;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;3;4;0;0;;;;;;;16/07/2008;2008;7;29;FV;A;6,5;NA;;NA;NA;;
cogshall;cirad;T;14;4;;;;;;;;;;15/07/2007;2007;7;29;F;A;;NA;;2;NA;;
cogshall;cirad;T;14;4;1;;;;;;;;;01/08/2008;2008;8;31;V;L;8;NA;;NA;NA;;
cogshall;cirad;T;14;4;1;0;;;;;;;;25/12/2008;2008;12;52;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;4;1;0;;;;;;;;05/08/2009;2009;8;32;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;4;1;0;;;;;;;;07/08/2009;2009;8;32;F;L;;NA;;1;NA;;
cogshall;cirad;T;14;5;;;;;;;;;;07/06/2007;2007;6;23;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;5;;;;;;;;;;24/09/2007;2007;9;39;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;5;;;;;;;;;;24/09/2007;2007;9;39;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;5;1;;;;;;;;;31/01/2008;2008;1;5;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;5;1;;;;;;;;;26/07/2008;2008;7;30;F;A;4,4;NA;;NA;NA;;
cogshall;cirad;T;14;5;2;;;;;;;;;31/01/2008;2008;1;5;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;;;;;;;;;;26/06/2007;2007;6;26;F;A;;NA;;1;NA;;
cogshall;cirad;T;14;6;;;;;;;;;;16/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;;;;;;;;;;16/07/2008;2008;7;29;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;;;;;;;;;;16/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;1;;;;;;;;;31/01/2008;2008;1;5;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;1;1;;;;;;;;22/01/2009;2009;1;4;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;1;1;;;;;;;;31/07/2009;2009;7;31;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;6;1;2;;;;;;;;22/01/2009;2009;1;4;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;1;2;;;;;;;;27/07/2009;2009;7;31;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;1;3;;;;;;;;22/01/2009;2009;1;4;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;1;3;;;;;;;;20/07/2009;2009;7;30;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;1;4;;;;;;;;22/01/2009;2009;1;4;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;1;4;1;;;;;;;02/08/2009;2009;8;32;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;6;1;4;2;;;;;;;27/07/2009;2009;7;31;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;7;;;;;;;;;;NA;#VALEUR!;#VALEUR!;#VALEUR!;V;NA;4,8;NA;;NA;NA;;
cogshall;cirad;T;14;8;;;;;;;;;;06/07/2007;2007;7;27;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;8;1;;;;;;;;;24/09/2007;2007;9;39;VF;L;;NA;;NA;NA;;
cogshall;cirad;T;14;8;1;;;;;;;;;19/07/2008;2008;7;29;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;8;2;;;;;;;;;31/01/2008;2008;1;5;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;8;2;;;;;;;;;19/07/2008;2008;7;29;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;8;3;;;;;;;;;31/01/2008;2008;1;5;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;8;3;;;;;;;;;19/07/2008;2008;7;29;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;8;4;;;;;;;;;31/01/2008;2008;1;5;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;8;5;;;;;;;;;31/01/2008;2008;1;5;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;8;6;;;;;;;;;25/12/2008;2008;12;52;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;9;;;;;;;;;;15/07/2007;2007;7;29;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;9;;;;;;;;;;01/08/2008;2008;8;31;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;9;;;;;;;;;;01/08/2008;2008;8;31;F;A;;NA;;NA;ABS;;
cogshall;cirad;T;14;9;1;;;;;;;;;31/07/2008;2008;7;31;V;L;7,6;NA;;NA;NA;;
cogshall;cirad;T;14;9;1;1;;;;;;;;29/01/2009;2009;1;5;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;9;1;1;;;;;;;;25/08/2009;2009;8;35;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;9;2;;;;;;;;;01/08/2008;2008;8;31;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;9;2;0;;;;;;;;22/01/2009;2009;1;4;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;9;2;0;;;;;;;;31/07/2009;2009;7;31;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;9;3;;;;;;;;;29/01/2009;2009;1;5;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;;;;;;;;;08/08/2007;2007;8;32;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;;;;;;;;08/11/2007;2007;11;45;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;;;;;;;10/01/2008;2008;1;2;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;;;;;;;17/07/2008;2008;7;29;FV;A;13,5;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;;;;;;;17/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;;;;;;;17/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;;;;;;;17/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;;;;;;;17/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;;;;;;;17/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;;;;;;;17/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;;;;;;;17/07/2008;2008;7;29;FV;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;;;;;;25/12/2008;2008;12;52;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;0;;;;;22/01/2009;2009;1;4;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;0;;;;;27/07/2009;2009;7;31;F;A;;NA;;1;NA;;
cogshall;cirad;T;14;10;0;0;0;1;0;;;;;29/07/2009;2009;7;31;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;0;;;;;28/07/2009;2009;7;31;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;0;;;;;27/07/2009;2009;7;31;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;0;;;;;28/07/2009;2009;7;31;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;0;;;;;02/08/2009;2009;8;32;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;0;;;;;28/07/2009;2009;7;31;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;1;;;;;22/01/2009;2009;1;4;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;1;;;;;02/08/2009;2009;8;32;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;2;;;;;22/01/2009;2009;1;4;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;1;2;;;;;27/07/2009;2009;7;31;F;A;;NA;;1;NA;;
cogshall;cirad;T;14;10;0;0;0;2;;;;;;25/12/2008;2008;12;52;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;2;0;;;;;22/01/2009;2009;1;4;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;2;0;;;;;24/07/2009;2009;7;30;F;A;;NA;;1;NA;;
cogshall;cirad;T;14;10;0;0;0;3;;;;;;25/12/2008;2008;12;52;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;3;0;;;;;22/01/2009;2009;1;4;V;A;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;3;0;;;;;26/07/2009;2009;7;31;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;3;0;;;;;03/08/2009;2009;8;32;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;3;0;;;;;02/08/2009;2009;8;32;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;3;0;;;;;02/08/2009;2009;8;32;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;3;0;;;;;04/08/2009;2009;8;32;F;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;3;1;;;;;22/01/2009;2009;1;4;V;L;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;3;1;;;;;02/08/2009;2009;8;32;F;A;;NA;;NA;NA;;
cogshall;cirad;T;14;10;0;0;0;3;2;;;;;22/01/2009;2009;1;4;V;L;;NA;;NA;NA;;
