codeUC;saison;verger;variete;nature;arbre;UCmere;nombreApicale;nombreLaterale;croissance;orientation;hauteur;positionUC1;positionUC;PUCM;PUCGM;diamUCM1;diamUCM2;diamAxeI;longueurAxeSec;date;stadeInflo;longueurInflo;DFInflo;ceci;obs
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;13/7/10 10:00;B1;;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;15/7/10 9:25;B2;;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;16/7/10 9:35;B2;;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;18/7/10 11:45;B2/C;;D;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;19/7/10 8:30;C;;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;20/7/10 10:35;C;;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;21/7/10 9:50;C/D1;;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;22/7/10 16:00;D1;2,5;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;23/7/10 10:40;D1;3;FD1;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;25/7/10 12:20;D2;3,9;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;26/7/10 11:25;D2;4,5;FD2;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;27/7/10 13:55;E;5,6;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;28/7/10 10:10;E;6;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;29/7/10 11:45;E;6,8;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;30/7/10 10:30;E;7,6;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;1/8/10 11:30;E;9,8;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;2/8/10 13:00;E;10,5;;;
