codeUC0;posF;a;A0;X00;B0;ER0;dim90;ndim90;nF;variete;Tm90;verger;arbre;posUC;posUCm;RGR50sim;ndim50;Tm50;dim50;RGRip;nbApUCm;nbLatUCm;vigArbre;or;haut;nbF;longHypo
1-BM-cog-V-B13-1-A;dist;1-BM-cog-V-B13-1-A dist;27.32320497;9.273413389;1.197559903;5.703932825;24.59088447;12;14;cog;25.54375;BM;B13;A;A;0.417515649;9;25.44944444;13.66160249;0.417515649;1;2;3;est;2.5;20;1.7
1-BM-cog-V-B13-1-A;F1;1-BM-cog-V-B13-1-A F1;22.62500925;9.436934836;0.964936543;5.861786821;20.36250833;12;12;cog;25.54375;BM;B13;A;A;0.518168789;9;25.44944444;11.31250463;0.518168789;1;2;3;est;2.5;20;1.7
1-BM-cog-V-B13-1-A;prox;1-BM-cog-V-B13-1-A prox;55.28033428;7.963239117;1.188340934;11.62972946;49.75230086;11;12;cog;25.46318182;BM;B13;A;A;0.420754672;8;25.5925;27.64016714;0.420754672;1;2;3;est;2.5;20;1.7
1-BM-cog-V-B13-1-L;dist;1-BM-cog-V-B13-1-L dist;17.74853454;8.825196079;1.102347481;4.025167845;15.97368109;11;12;cog;25.46318182;BM;B13;L;A;0.453577487;9;25.44944444;8.874267271;0.453577487;1;2;3;est;2.5;9;9
1-BM-cog-V-B13-1-L;F1;1-BM-cog-V-B13-1-L F1;16.02785726;9.225786806;1.128592481;3.550408482;14.42507154;12;12;cog;25.54375;BM;B13;L;A;0.443029711;9;25.44944444;8.013928631;0.443029711;1;2;3;est;2.5;9;9
1-BM-cog-V-B13-1-L;prox;1-BM-cog-V-B13-1-L prox;57.7995566;8.022438849;1.088074369;13.28024036;52.01960094;10;12;cog;25.3435;BM;B13;L;A;0.459527413;8;25.5925;28.8997783;0.459527413;1;2;3;est;2.5;9;9
1-BM-cog-V-F3-1-L;dist;1-BM-cog-V-F3-1-L dist;14.45842968;8.252032916;1.1692021;3.091516361;13.01258671;11;14;cog;25.495;BM;F3;L;A;0.427642065;8;25.370625;7.229214841;0.427642065;1;3; 2/3;nord-est;3;9;5.5
1-BM-cog-V-F3-1-L;F1;1-BM-cog-V-F3-1-L F1;13.13845892;8.691925495;1.103081482;2.977671896;11.82461303;11;14;cog;25.495;BM;F3;L;A;0.453275672;9;25.26166667;6.569229458;0.453275672;1;3; 2/3;nord-est;3;9;5.5
1-BM-cog-V-F3-1-L;prox;1-BM-cog-V-F3-1-L prox;31.9410158;7.68703588;1.324975157;6.026719753;28.74691422;11;14;cog;25.495;BM;F3;L;A;0.377365566;8;25.370625;15.9705079;0.377365566;1;3; 2/3;nord-est;3;9;5.5
1-BM-cog-V-F3-2-A;dist;1-BM-cog-V-F3-2-A dist;17.20201444;8.313534986;1.357054902;3.168997514;15.481813;11;12;cog;25.495;BM;F3;A;L;0.368444931;8;25.370625;8.601007221;0.368444931;1;0; 2/3;nord-est;2.9;14;2.7
1-BM-cog-V-F3-2-A;F1;1-BM-cog-V-F3-2-A F1;18.76763675;8.609554898;1.092144125;4.29605313;16.89087308;11;13;cog;25.495;BM;F3;A;L;0.457815034;9;25.26166667;9.383818376;0.457815034;1;0; 2/3;nord-est;2.9;14;2.7
1-BM-cog-V-F3-2-A;prox;1-BM-cog-V-F3-2-A prox;31.65904436;7.448221563;1.303238782;6.0731473;28.49313992;10;12;cog;25.4015;BM;F3;A;L;0.383659546;7;25.52285714;15.82952218;0.383659546;1;0; 2/3;nord-est;2.9;14;2.7
1-BM-cog-V-F4-1-A;dist;1-BM-cog-V-F4-1-A dist;32.63547061;8.862481779;1.266708396;6.440999114;29.37192355;12;13;cog;25.6075;BM;F4;A;L;0.394723838;9;25.26166667;16.31773531;0.394723838;1;0;2;sud;2.85;17;1.8
1-BM-cog-V-F4-1-A;F1;1-BM-cog-V-F4-1-A F1;8.416160735;8.858245089;1.124955444;1.870332017;7.574544662;11;13;cog;25.495;BM;F4;A;L;0.444462048;9;25.26166667;4.208080368;0.444462048;1;0;2;sud;2.85;17;1.8
1-BM-cog-V-F4-1-A;prox;1-BM-cog-V-F4-1-A prox;62.70555271;7.844033223;1.300114182;12.05770108;56.43499744;11;13;cog;25.495;BM;F4;A;L;0.384581606;8;25.370625;31.35277636;0.384581606;1;0;2;sud;2.85;17;1.8
1-BM-cog-V-F4-2-L;dist;1-BM-cog-V-F4-2-L dist;21.12168625;8.850946009;1.207830928;4.371821784;19.00951762;12;12;cog;25.6075;BM;F4;L;A;0.413965224;9;25.26166667;10.56084312;0.413965224;0;3;2;sud;2.85;11;3.7
1-BM-cog-V-F4-2-L;prox;1-BM-cog-V-F4-2-L prox;33.65187652;8.138721018;1.456263288;5.777093471;30.28668887;11;12;cog;25.495;BM;F4;L;A;0.343344507;8;25.370625;16.82593826;0.343344507;0;3;2;sud;2.85;11;3.7
1-BM-cog-V-F5-1-A;dist;1-BM-cog-V-F5-1-A dist;35.50170662;8.837734467;1.069200317;8.300995158;31.95153596;11;14;cog;25.495;BM;F5;A;L;0.467639218;9;25.26166667;17.75085331;0.467639218;1;0;2;sud;2.85;15;6.4
1-BM-cog-V-F5-1-A;F1;1-BM-cog-V-F5-1-A F1;31.51037809;9.086576156;1.017556127;7.741680596;28.35934028;11;14;cog;25.495;BM;F5;A;L;0.491373387;9;25.26166667;15.75518904;0.491373387;1;0;2;sud;2.85;15;6.4
1-BM-cog-V-F5-1-A;prox;1-BM-cog-V-F5-1-A prox;57.20151367;8.308215677;1.187917441;12.03819215;51.4813623;11;11;cog;25.495;BM;F5;A;L;0.420904671;8;25.370625;28.60075684;0.420904671;1;0;2;sud;2.85;15;6.4
1-BM-cog-V-F5-2-L;dist;1-BM-cog-V-F5-2-L dist;13.2215808;7.681691798;1.050471657;3.146581994;11.89942272;10;11;cog;25.4015;BM;F5;L;L;0.475976669;8;25.370625;6.6107904;0.475976669;1;2;2;sud;2.85;6;6.3
1-BM-cog-V-F5-2-L;F1;1-BM-cog-V-F5-2-L F1;20.96923649;8.913044806;1.257609675;4.16847073;18.87231284;12;12;cog;25.6075;BM;F5;L;L;0.397579638;9;25.26166667;10.48461824;0.397579638;1;2;2;sud;2.85;6;6.3
1-BM-cog-V-F5-2-L;prox;1-BM-cog-V-F5-2-L prox;24.97433468;7.728761771;1.304419217;4.786485501;22.47690121;11;13;cog;25.495;BM;F5;L;L;0.383312353;8;25.370625;12.48716734;0.383312353;1;2;2;sud;2.85;6;6.3
1-BM-cog-V-F7-1-A;dist;1-BM-cog-V-F7-1-A dist;26.09102298;8.777941681;1.169804098;5.575938534;23.48192069;11;13;cog;25.495;BM;F7;A;A;0.427421994;9;25.26166667;13.04551149;0.427421994;1;2;2;sud;3;19;2.3
1-BM-cog-V-F7-1-A;F1;1-BM-cog-V-F7-1-A F1;16.11678714;9.209112953;1.198028067;3.363190644;14.50510843;12;13;cog;25.6075;BM;F7;A;A;0.417352493;9;25.26166667;8.05839357;0.417352493;1;2;2;sud;3;19;2.3
1-BM-cog-V-F7-1-A;prox;1-BM-cog-V-F7-1-A prox;53.03657136;8.026558629;1.252539089;10.58581162;47.73291422;11;12;cog;25.495;BM;F7;A;A;0.399189139;8;25.370625;26.51828568;0.399189139;1;2;2;sud;3;19;2.3
1-BM-cog-V-F7-1-L;dist;1-BM-cog-V-F7-1-L dist;14.20923204;8.880394694;1.155448235;3.074398233;12.78830884;11;13;cog;25.495;BM;F7;L;A;0.432732497;9;25.26166667;7.104616022;0.432732497;1;2;2;sud;3;10;7
1-BM-cog-V-F7-1-L;prox;1-BM-cog-V-F7-1-L prox;45.51216648;7.907425096;1.137970053;9.998542215;40.96094983;10;12;cog;25.4015;BM;F7;L;A;0.439378873;8;25.370625;22.75608324;0.439378873;1;2;2;sud;3;10;7
1-BM-jose-V-B5-1-A;dist;1-BM-jose-V-B5-1-A dist;24.81876623;10.32581968;1.583924394;3.917290233;22.33688961;14;15;jose;25.7875;BM;B5;A;L;0.315671633;10;25.624;12.40938311;0.315671633;1;1; 1/2;sud-ouest;3.2;18;0.5
1-BM-jose-V-B5-1-A;F1;1-BM-jose-V-B5-1-A F1;7.885403139;10.26740156;1.444065912;1.365139062;7.096862825;13;15;jose;25.82423077;BM;B5;A;L;0.346244583;10;25.624;3.942701569;0.346244583;1;1; 1/2;sud-ouest;3.2;18;0.5
1-BM-jose-V-B5-1-A;prox;1-BM-jose-V-B5-1-A prox;42.50659379;7.98317212;1.395554051;7.614644837;38.25593441;11;15;jose;25.77045455;BM;B5;A;L;0.358280641;8;25.596875;21.25329689;0.358280641;1;1; 1/2;sud-ouest;3.2;18;0.5
1-BM-jose-V-B5-1-L;prox;1-BM-jose-V-B5-1-L prox;18.69498651;8.421511703;1.5594583;2.997032129;16.82548786;12;15;jose;25.91625;BM;B5;L;L;0.320624155;8;25.77625;9.347493254;0.320624155;1;1; 1/2;sud-ouest;3.2;7;13.7
1-BM-jose-V-B5-2-L;F1;1-BM-jose-V-B5-2-L F1;7.415064953;6.217626403;1.268082047;1.461866164;6.673558458;9;14;jose;25.93833333;BM;B5;L;L;0.394296253;6;25.79083333;3.707532477;0.394296253;1;3; 1/2;sud-ouest;3.2;4;6.5
1-BM-jose-V-F11-1-A;dist;1-BM-jose-V-F11-1-A dist;31.2848436;10.64863609;1.304765084;5.994344113;28.15635924;14;14;jose;25.7875;BM;F11;A;A;0.383210745;11;25.77045455;15.6424218;0.383210745;1;3;1;nord-est;2.1;21;2
