a;A0;X00;B0;ER0;dim90;ndim90;nInflo;variete;Tm90;pos;posUCm;arbre;RGR50sim;ndim50;Tm50;dim50;RGRip;verger;sai;nbApUCm;nbLatUCm;vigArbre;or;haut;diamUCm;diamAxeI;longAxeII
3-BM-cog-F-B10-1-L;29.37005539;20.35039798;8.883548752;0.826529358;26.43304986;40;50;cog;19.29;L;A;B10;0.056283813;20;18.92525;14.6850277;0.056283813;BM;3;1;1;1;nord-est;2.2;1.18;0.9;18.3
3-BM-cog-F-B11-1-A;18.75837752;17.62856288;6.193011225;0.757239768;16.88253977;31;39;cog;19.22919355;A;A;B11;0.080736169;18;18.40083333;9.379188762;0.080736169;BM;3;1;0;2;nord-ouest;2.9;0.85;0.9;12.1
3-BM-cog-F-B14-1-L;16.29658906;9.05866429;3.741656509;1.088861913;14.66693015;17;28;cog;19.76205882;L;A;B14;0.133630652;9;20.53722222;8.14829453;0.133630652;BM;3;1;1;1;nord-est;1.6;0.9;0.76;11.4
3-BM-cog-F-B14-2-A;44.54960189;20.05605216;6.871924866;1.620710454;40.0946417;35;43;cog;19.19642857;A;A;B14;0.072759818;20;18.81325;22.27480094;0.072759818;BM;3;1;2;1;nord-est;2.3;1.08;1.1;27.8
3-BM-cog-F-B8-1-A;32.14908104;21.32705087;7.701552689;1.043590895;28.93417294;38;52;cog;19.16802632;A;A;B8;0.064921974;21;18.51952381;16.07454052;0.064921974;BM;3;1;2;1;est;1;1.1;1.2;20.7
3-BM-cog-F-B9-1-A;23.92105914;12.78412855;5.344927717;1.118867289;21.52895322;25;37;cog;19.0004;A;A;B9;0.093546635;13;19.49115385;11.96052957;0.093546635;BM;3;1;1; 2/3;nord-ouest;2;1;1.1;18.7
3-BM-cog-F-B9-2-L;22.67668668;14.37970114;6.070628858;0.933868929;20.40901802;28;42;cog;19.20696429;L;A;B9;0.08236379;14;18.47285714;11.33834334;0.08236379;BM;3;1;2; 2/3;est;2.1;1.2;0.7;13.25
3-BM-cog-F-F3-1-A;30.56146122;20.27463274;6.91046865;1.105621875;27.5053151;35;43;cog;19.30728571;A;A;F3;0.072353993;20;18.46075;15.28073061;0.072353993;BM;3;1;0;1;ouest;2.8;0.75;0.9;14.4
3-BM-cog-F-F4-1-A;26.48764457;17.34559778;6.927682457;0.955862395;23.83888011;33;47;cog;19.06439394;A;A;F4;0.072174209;17;18.48852941;13.24382229;0.072174209;BM;3;1;0;1;sud-est;1.8;0.79;0.85;11.2
3-BM-cog-F-F7-1-A;30.8837976;16.76166969;5.242161444;1.472856088;27.79541784;28;40;cog;19.08553571;A;A;F7;0.095380504;17;18.40617647;15.4418988;0.095380504;BM;3;1;0;1;est;2.8;0.69;0.97;19.2
