CodeUC,Days,TTS,Length,Date
1-GF-cog-V-B7-1-A,1,33.275,0.086932196911,2010-02-08 00:00:00
1-GF-cog-V-B7-1-A,1,33.275,0.0855300342768,2010-02-08 00:00:00
1-GF-cog-V-B7-1-A,1,33.275,0.0823336985327,2010-02-08 00:00:00
1-GF-cog-V-B7-1-A,1,33.275,0.0772375892964,2010-02-08 00:00:00
1-GF-cog-V-B7-1-A,1,33.275,0.0696424539502,2010-02-08 00:00:00
1-GF-cog-V-B7-1-A,1,33.275,0.0579873859473,2010-02-08 00:00:00
1-GF-cog-V-B5-1-L,1,33.975,0.110927963695,2010-02-09 00:00:00
1-GF-cog-V-B5-1-L,1,33.975,0.10840815287,2010-02-09 00:00:00
1-GF-cog-V-B5-1-L,1,33.975,0.10247561716,2010-02-09 00:00:00
1-GF-cog-V-B5-1-L,1,33.975,0.0925535747072,2010-02-09 00:00:00
1-GF-cog-V-B5-1-L,1,33.975,0.0763691295229,2010-02-09 00:00:00
1-GF-cog-V-B5-2-L,1,33.975,0.0608985652246,2010-02-09 00:00:00
1-GF-cog-V-B5-2-L,1,33.975,0.0600189877566,2010-02-09 00:00:00
1-GF-cog-V-B5-2-L,1,33.975,0.0580137097496,2010-02-09 00:00:00
1-GF-cog-V-B5-2-L,1,33.975,0.0548162762183,2010-02-09 00:00:00
1-GF-cog-V-B5-2-L,1,33.975,0.0500519312994,2010-02-09 00:00:00
1-GF-cog-V-B5-2-L,1,33.975,0.0427547991622,2010-02-09 00:00:00
1-GF-cog-V-B7-1-A,2,50.415,0.503105140256,2010-02-09 00:00:00
1-GF-cog-V-B7-1-A,2,50.415,0.494105007536,2010-02-09 00:00:00
1-GF-cog-V-B7-1-A,2,50.415,0.473601214875,2010-02-09 00:00:00
1-GF-cog-V-B7-1-A,2,50.415,0.44094793185,2010-02-09 00:00:00
1-GF-cog-V-B7-1-A,2,50.415,0.392368133448,2010-02-09 00:00:00
1-GF-cog-V-B7-1-A,2,50.415,0.318010349176,2010-02-09 00:00:00
1-GF-cog-V-B7-2-L,1,33.975,0.0759737892731,2010-02-09 00:00:00
1-GF-cog-V-B7-2-L,1,33.975,0.0743814331577,2010-02-09 00:00:00
1-GF-cog-V-B7-2-L,1,33.975,0.0706309832298,2010-02-09 00:00:00
1-GF-cog-V-B7-2-L,1,33.975,0.0643542245866,2010-02-09 00:00:00
1-GF-cog-V-B7-2-L,1,33.975,0.0541089402474,2010-02-09 00:00:00
1-GF-cog-V-B12-1-A,1,34.98,0.11751460942,2010-02-10 00:00:00
1-GF-cog-V-B12-1-A,1,34.98,0.116795532103,2010-02-10 00:00:00
1-GF-cog-V-B12-1-A,1,34.98,0.115248200077,2010-02-10 00:00:00
1-GF-cog-V-B12-1-A,1,34.98,0.112993510951,2010-02-10 00:00:00
1-GF-cog-V-B12-1-A,1,34.98,0.110004648045,2010-02-10 00:00:00
1-GF-cog-V-B12-1-A,1,34.98,0.106205187724,2010-02-10 00:00:00
1-GF-cog-V-B12-1-A,1,34.98,0.101472707854,2010-02-10 00:00:00
1-GF-cog-V-B12-1-A,1,34.98,0.0956087113212,2010-02-10 00:00:00
1-GF-cog-V-B12-1-A,1,34.98,0.0882934409518,2010-02-10 00:00:00
1-GF-cog-V-B12-1-A,1,34.98,0.0789231648826,2010-02-10 00:00:00
1-GF-cog-V-B12-1-A,1,34.98,0.0660308131785,2010-02-10 00:00:00
1-GF-cog-V-B5-1-L,2,51.815,0.697076792183,2010-02-10 00:00:00
1-GF-cog-V-B5-1-L,2,51.815,0.679691337331,2010-02-10 00:00:00
1-GF-cog-V-B5-1-L,2,51.815,0.63880088199,2010-02-10 00:00:00
1-GF-cog-V-B5-1-L,2,51.815,0.570548614325,2010-02-10 00:00:00
1-GF-cog-V-B5-1-L,2,51.815,0.459614848006,2010-02-10 00:00:00
1-GF-cog-V-B5-2-L,2,51.815,0.354047494066,2010-02-10 00:00:00
1-GF-cog-V-B5-2-L,2,51.815,0.348057616215,2010-02-10 00:00:00
1-GF-cog-V-B5-2-L,2,51.815,0.334405305847,2010-02-10 00:00:00
1-GF-cog-V-B5-2-L,2,51.815,0.31264417003,2010-02-10 00:00:00
1-GF-cog-V-B5-2-L,2,51.815,0.28022208016,2010-02-10 00:00:00
