CodeUC,Days,TTS,Length,Pheno_stage,Date
3-BP-cog-F-A3-1-A,1,19.77,2.529807062,0,2010-07-16 00:00:00
3-BP-cog-F-A10-1-A,1,20.61,3.48307213842,0,2010-07-17 00:00:00
3-BP-cog-F-A3-1-A,2,31.105,3.04558438719,0,2010-07-17 00:00:00
3-BP-cog-F-E6-1-L,1,20.61,3.48795171093,0,2010-07-17 00:00:00
3-BP-cog-F-F11-1-A,1,20.61,2.55137529636,0,2010-07-17 00:00:00
3-BP-cog-F-A10-1-A,2,32.345,4.22787415267,0,2010-07-18 00:00:00
3-BP-cog-F-A3-1-A,3,42.84,3.66171868912,0,2010-07-18 00:00:00
3-BP-cog-F-E6-1-L,2,32.345,4.1893694614,0,2010-07-18 00:00:00
3-BP-cog-F-F11-1-A,2,32.345,3.12903055862,0,2010-07-18 00:00:00
3-BP-cog-F-A10-1-A,3,41.39,4.88342337341,0,2010-07-19 00:00:00
3-BP-cog-F-A3-1-A,4,51.885,4.19441361442,0,2010-07-19 00:00:00
3-BP-cog-F-A8-1-A,1,20.78,3.89024552173,0,2010-07-19 00:00:00
3-BP-cog-F-B11-1-L,1,20.78,2.85020751572,0,2010-07-19 00:00:00
3-BP-cog-F-B11-2-A,1,20.78,2.52807058569,0,2010-07-19 00:00:00
3-BP-cog-F-E6-1-L,3,41.39,4.79466442422,0,2010-07-19 00:00:00
3-BP-cog-F-F11-1-A,3,41.39,3.64745697139,0,2010-07-19 00:00:00
3-BP-cog-F-F4-1-A,1,20.78,2.94539332463,0,2010-07-19 00:00:00
3-BP-cog-F-A10-1-A,4,50.52,5.61895878286,0,2010-07-20 00:00:00
3-BP-cog-F-A3-1-A,5,61.015,4.7816852927,0,2010-07-20 00:00:00
3-BP-cog-F-A8-1-A,2,29.91,4.50606947277,0,2010-07-20 00:00:00
3-BP-cog-F-B11-1-L,2,29.91,3.31249446973,0,2010-07-20 00:00:00
3-BP-cog-F-B11-2-A,2,29.91,2.96384787879,0,2010-07-20 00:00:00
3-BP-cog-F-E6-1-L,4,50.52,5.46075899131,0,2010-07-20 00:00:00
3-BP-cog-F-F10-1-A,1,18.175,1.83892987128,0,2010-07-20 00:00:00
3-BP-cog-F-F11-1-A,4,50.52,4.24061536849,0,2010-07-20 00:00:00
3-BP-cog-F-F4-1-A,2,29.91,3.43985189772,0,2010-07-20 00:00:00
3-BP-cog-F-A10-1-A,5,59.94,6.454902059,0,2010-07-21 00:00:00
3-BP-cog-F-A3-1-A,6,70.435,5.43611735926,0,2010-07-21 00:00:00
3-BP-cog-F-A8-1-A,3,39.33,5.2160174845,0,2010-07-21 00:00:00
3-BP-cog-F-B11-1-L,3,39.33,3.84931131767,0,2010-07-21 00:00:00
3-BP-cog-F-B11-2-A,3,39.33,3.47956046875,0,2010-07-21 00:00:00
3-BP-cog-F-D2-1-L,1,18.55,2.57254585046,0,2010-07-21 00:00:00
3-BP-cog-F-E6-1-L,5,59.94,6.2015309512,0,2010-07-21 00:00:00
3-BP-cog-F-F10-1-A,2,27.595,2.18941316824,0,2010-07-21 00:00:00
3-BP-cog-F-F11-1-A,5,59.94,4.92995160006,0,2010-07-21 00:00:00
3-BP-cog-F-F4-1-A,3,39.33,4.02012761488,0,2010-07-21 00:00:00
3-BP-cog-F-A10-1-A,6,69.715,7.40106191803,0,2010-07-22 00:00:00
3-BP-cog-F-A3-1-A,7,80.21,6.16065317893,0,2010-07-22 00:00:00
3-BP-cog-F-A8-1-A,4,49.105,6.03277972381,0,2010-07-22 00:00:00
3-BP-cog-F-B11-1-L,4,49.105,4.47208548776,0,2010-07-22 00:00:00
3-BP-cog-F-B11-2-A,4,49.105,4.09129357938,0,2010-07-22 00:00:00
3-BP-cog-F-D2-1-L,2,28.325,3.05779252873,0,2010-07-22 00:00:00
3-BP-cog-F-E6-1-L,6,69.715,7.01982060042,0,2010-07-22 00:00:00
3-BP-cog-F-F10-1-A,3,37.37,2.61821541542,0,2010-07-22 00:00:00
3-BP-cog-F-F11-1-A,6,69.715,5.73040715345,0,2010-07-22 00:00:00
3-BP-cog-F-F4-1-A,4,49.105,4.70167632356,0,2010-07-22 00:00:00
3-BP-cog-F-A10-1-A,7,77.63,8.22054913393,0,2010-07-23 00:00:00
3-BP-cog-F-A3-1-A,8,88.125,6.77474059692,0,2010-07-23 00:00:00
3-BP-cog-F-A8-1-A,5,57.02,6.75180284569,0,2010-07-23 00:00:00
3-BP-cog-F-B11-1-L,5,57.02,5.02498873269,0,2010-07-23 00:00:00
3-BP-cog-F-B11-2-A,5,57.02,4.64690023514,0,2010-07-23 00:00:00
3-BP-cog-F-D2-1-L,3,36.24,3.5077774612,0,2010-07-23 00:00:00
3-BP-cog-F-E6-1-L,7,77.63,7.71186516376,0,2010-07-23 00:00:00
3-BP-cog-F-F10-1-A,4,45.285,3.0205441019,0,2010-07-23 00:00:00
3-BP-cog-F-F11-1-A,7,77.63,6.44172414101,0,2010-07-23 00:00:00
3-BP-cog-F-F4-1-A,5,57.02,5.31442093614,0,2010-07-23 00:00:00
3-BP-cog-F-A10-1-A,8,85.51,9.07724762295,0,2010-07-24 00:00:00
3-BP-cog-F-A3-1-A,9,96.005,7.40378754475,1,2010-07-24 00:00:00
3-BP-cog-F-A8-1-A,6,64.9,7.51528035359,0,2010-07-24 00:00:00
3-BP-cog-F-B11-1-L,6,64.9,5.61690731196,0,2010-07-24 00:00:00
3-BP-cog-F-B11-2-A,6,64.9,5.25520644414,0,2010-07-24 00:00:00
3-BP-cog-F-D2-1-L,4,44.12,4.01087839608,0,2010-07-24 00:00:00
3-BP-cog-F-E6-1-L,8,85.51,8.41934137163,0,2010-07-24 00:00:00
3-BP-cog-F-F10-1-A,5,53.165,3.47580059622,0,2010-07-24 00:00:00
3-BP-cog-F-F11-1-A,8,85.51,7.20393112712,0,2010-07-24 00:00:00
3-BP-cog-F-F4-1-A,6,64.9,5.97854281884,0,2010-07-24 00:00:00
3-BP-cog-F-A10-1-A,9,93.46,9.97485681698,1,2010-07-25 00:00:00
3-BP-cog-F-A3-1-A,10,103.955,8.04913410932,1,2010-07-25 00:00:00
3-BP-cog-F-A8-1-A,7,72.85,8.32847691116,0,2010-07-25 00:00:00
3-BP-cog-F-B11-1-L,7,72.85,6.25291579842,0,2010-07-25 00:00:00
3-BP-cog-F-B11-2-A,7,72.85,5.92493000082,0,2010-07-25 00:00:00
3-BP-cog-F-D2-1-L,5,52.07,4.5778154195,0,2010-07-25 00:00:00
3-BP-cog-F-E6-1-L,9,93.46,9.14365325511,1,2010-07-25 00:00:00
3-BP-cog-F-F10-1-A,6,61.115,3.99583484817,0,2010-07-25 00:00:00
3-BP-cog-F-F11-1-A,9,93.46,8.02371579174,1,2010-07-25 00:00:00
3-BP-cog-F-F4-1-A,7,72.85,6.70169546461,0,2010-07-25 00:00:00
3-BP-cog-F-A10-1-A,10,101.81,10.943226791,1,2010-07-26 00:00:00
3-BP-cog-F-A3-1-A,11,112.305,8.73009272111,1,2010-07-26 00:00:00
3-BP-cog-F-A8-1-A,8,81.2,9.22139080083,0,2010-07-26 00:00:00
3-BP-cog-F-B11-1-L,8,81.2,6.95794923629,0,2010-07-26 00:00:00
3-BP-cog-F-B11-2-A,8,81.2,6.68760441104,0,2010-07-26 00:00:00
3-BP-cog-F-D2-1-L,6,60.42,5.24071662225,0,2010-07-26 00:00:00
3-BP-cog-F-E6-1-L,10,101.81,9.90629686548,1,2010-07-26 00:00:00
3-BP-cog-F-F10-1-A,7,69.465,4.61352845313,0,2010-07-26 00:00:00
3-BP-cog-F-F11-1-A,10,101.81,8.9334447035,1,2010-07-26 00:00:00
3-BP-cog-F-F4-1-A,8,81.2,7.5151538011,0,2010-07-26 00:00:00
3-BP-cog-F-A10-1-A,11,110.39,11.9528056833,1,2010-07-27 00:00:00
3-BP-cog-F-A3-1-A,12,120.885,9.42372606956,1,2010-07-27 00:00:00
3-BP-cog-F-A8-1-A,9,89.78,10.1700322126,0,2010-07-27 00:00:00
3-BP-cog-F-B11-1-L,9,89.78,7.7147561599,0,2010-07-27 00:00:00
3-BP-cog-F-B11-2-A,9,89.78,7.53102849947,0,2010-07-27 00:00:00
3-BP-cog-F-D2-1-L,7,69.0,5.99615518772,0,2010-07-27 00:00:00
3-BP-cog-F-E6-1-L,11,110.39,10.6814121845,1,2010-07-27 00:00:00
3-BP-cog-F-F10-1-A,8,78.045,5.33043774391,0,2010-07-27 00:00:00
3-BP-cog-F-F11-1-A,11,110.39,9.91112077649,1,2010-07-27 00:00:00
3-BP-cog-F-F4-1-A,9,89.78,8.40250413814,0,2010-07-27 00:00:00
3-BP-cog-F-A10-1-A,12,118.115,12.8627591835,1,2010-07-28 00:00:00
3-BP-cog-F-A3-1-A,13,128.61,10.0351241294,1,2010-07-28 00:00:00
3-BP-cog-F-A8-1-A,10,97.505,11.0410047186,1,2010-07-28 00:00:00
3-BP-cog-F-B11-1-L,10,97.505,8.4167591098,1,2010-07-28 00:00:00
3-BP-cog-F-B11-2-A,10,97.505,8.33732002596,1,2010-07-28 00:00:00
3-BP-cog-F-D2-1-L,8,76.725,6.74130317498,0,2010-07-28 00:00:00
3-BP-cog-F-E6-1-L,12,118.115,11.3631943143,1,2010-07-28 00:00:00
3-BP-cog-F-F10-1-A,9,85.77,6.05152163635,0,2010-07-28 00:00:00
3-BP-cog-F-F11-1-A,12,118.115,10.8190576789,1,2010-07-28 00:00:00
3-BP-cog-F-F4-1-A,10,97.505,9.23901824457,1,2010-07-28 00:00:00
3-BP-cog-F-A10-1-A,13,125.97,13.7778517387,1,2010-07-29 00:00:00
3-BP-cog-F-A3-1-A,14,136.465,10.6372171637,1,2010-07-29 00:00:00
3-BP-cog-F-A8-1-A,11,105.36,11.9325636419,1,2010-07-29 00:00:00
3-BP-cog-F-B11-1-L,11,105.36,9.14256223332,1,2010-07-29 00:00:00
3-BP-cog-F-B11-2-A,11,105.36,9.19630451686,1,2010-07-29 00:00:00
3-BP-cog-F-D2-1-L,9,84.58,7.5610631459,0,2010-07-29 00:00:00
3-BP-cog-F-E6-1-L,13,125.97,12.0332878354,1,2010-07-29 00:00:00
3-BP-cog-F-F10-1-A,10,93.625,6.86129436228,1,2010-07-29 00:00:00
3-BP-cog-F-F11-1-A,13,125.97,11.7588500757,1,2010-07-29 00:00:00
3-BP-cog-F-F4-1-A,11,105.36,10.1178083473,1,2010-07-29 00:00:00
3-BP-cog-F-A10-1-A,14,133.39,14.6234552958,1,2010-07-30 00:00:00
3-BP-cog-F-A3-1-A,15,143.885,11.1825578808,1,2010-07-30 00:00:00
3-BP-cog-F-A8-1-A,12,112.78,12.7707565825,1,2010-07-30 00:00:00
3-BP-cog-F-B11-1-L,12,112.78,9.83166999935,1,2010-07-30 00:00:00
3-BP-cog-F-B11-2-A,12,112.78,10.0368098281,1,2010-07-30 00:00:00
3-BP-cog-F-D2-1-L,10,92.0,8.39035860629,1,2010-07-30 00:00:00
3-BP-cog-F-E6-1-L,14,133.39,12.6390986258,1,2010-07-30 00:00:00
3-BP-cog-F-F10-1-A,11,101.045,7.69862641554,1,2010-07-30 00:00:00
3-BP-cog-F-F11-1-A,14,133.39,12.6521399127,1,2010-07-30 00:00:00
3-BP-cog-F-F4-1-A,12,112.78,10.9655756956,1,2010-07-30 00:00:00
3-BP-cog-F-A10-1-A,15,141.435,15.510107325,1,2010-07-31 00:00:00
3-BP-cog-F-A3-1-A,16,151.93,11.7433271072,1,2010-07-31 00:00:00
3-BP-cog-F-A8-1-A,13,120.825,13.6648176758,1,2010-07-31 00:00:00
3-BP-cog-F-B11-1-L,13,120.825,10.5740268913,1,2010-07-31 00:00:00
3-BP-cog-F-B11-2-A,13,120.825,10.9707441143,1,2010-07-31 00:00:00
3-BP-cog-F-D2-1-L,11,100.045,9.34504549512,1,2010-07-31 00:00:00
3-BP-cog-F-E6-1-L,15,141.435,13.2609407665,1,2010-07-31 00:00:00
3-BP-cog-F-F10-1-A,12,109.09,8.68595665275,1,2010-07-31 00:00:00
3-BP-cog-F-F11-1-A,15,141.435,13.6155611132,1,2010-07-31 00:00:00
3-BP-cog-F-F4-1-A,13,120.825,11.893825612,1,2010-07-31 00:00:00
3-BP-cog-F-A10-1-A,16,149.24,16.3321337476,1,2010-08-01 00:00:00
3-BP-cog-F-A3-1-A,17,159.735,12.2534086076,1,2010-08-01 00:00:00
3-BP-cog-F-A8-1-A,14,128.63,14.5079510689,1,2010-08-01 00:00:00
3-BP-cog-F-B11-1-L,14,128.63,11.2811212249,1,2010-08-01 00:00:00
3-BP-cog-F-B11-2-A,14,128.63,11.8890959418,1,2010-08-01 00:00:00
3-BP-cog-F-D2-1-L,12,107.85,10.3197903431,1,2010-08-01 00:00:00
3-BP-cog-F-E6-1-L,16,149.24,13.8256016803,1,2010-08-01 00:00:00
3-BP-cog-F-F10-1-A,13,116.895,9.72084327331,1,2010-08-01 00:00:00
3-BP-cog-F-F11-1-A,16,149.24,14.5342861648,1,2010-08-01 00:00:00
3-BP-cog-F-F4-1-A,14,128.63,12.7927808801,1,2010-08-01 00:00:00
3-BP-cog-F-A10-1-A,17,157.01,17.1065442134,1,2010-08-02 00:00:00
3-BP-cog-F-A3-1-A,18,167.505,12.725539675,1,2010-08-02 00:00:00
3-BP-cog-F-A8-1-A,15,136.4,15.3150932602,1,2010-08-02 00:00:00
3-BP-cog-F-B11-1-L,15,136.4,11.9645133,1,2010-08-02 00:00:00
3-BP-cog-F-B11-2-A,15,136.4,12.8046379304,1,2010-08-02 00:00:00
3-BP-cog-F-D2-1-L,13,115.62,11.3291471116,1,2010-08-02 00:00:00
3-BP-cog-F-E6-1-L,17,157.01,14.3474272773,1,2010-08-02 00:00:00
3-BP-cog-F-F10-1-A,14,124.665,10.8222017408,1,2010-08-02 00:00:00
3-BP-cog-F-F11-1-A,17,157.01,15.4232060699,1,2010-08-02 00:00:00
3-BP-cog-F-F4-1-A,15,136.4,13.6756633019,1,2010-08-02 00:00:00
3-BP-cog-F-A10-1-A,18,165.775,17.9215176095,1,2010-08-03 00:00:00
3-BP-cog-F-A3-1-A,19,176.27,13.213826056,1,2010-08-03 00:00:00
3-BP-cog-F-A8-1-A,16,145.165,16.1783050225,1,2010-08-03 00:00:00
3-BP-cog-F-B11-1-L,16,145.165,12.702497661,1,2010-08-03 00:00:00
3-BP-cog-F-B11-2-A,16,145.165,13.8257121434,1,2010-08-03 00:00:00
3-BP-cog-F-D2-1-L,14,124.385,12.501851422,1,2010-08-03 00:00:00
3-BP-cog-F-E6-1-L,18,165.775,14.8862771713,1,2010-08-03 00:00:00
3-BP-cog-F-F10-1-A,15,133.43,12.1414811585,1,2010-08-03 00:00:00
3-BP-cog-F-F11-1-A,18,165.775,16.3842326357,1,2010-08-03 00:00:00
3-BP-cog-F-F4-1-A,16,145.165,14.6449832515,1,2010-08-03 00:00:00
3-BP-cog-F-A10-1-A,19,174.68,18.6815666328,1,2010-08-04 00:00:00
3-BP-cog-F-A3-1-A,20,185.175,13.6614809611,1,2010-08-04 00:00:00
3-BP-cog-F-A8-1-A,17,154.07,16.9963962102,1,2010-08-04 00:00:00
3-BP-cog-F-B11-1-L,17,154.07,13.4087975185,1,2010-08-04 00:00:00
3-BP-cog-F-B11-2-A,17,154.07,14.8360221211,1,2010-08-04 00:00:00
3-BP-cog-F-D2-1-L,15,133.29,13.7141431684,1,2010-08-04 00:00:00
