CodeUC,Days,TTS,Length,Pheno_stage,Date,SFol
1-BM-cog-V-B13-1-A,1,34.365,1.6868905228,0,2010-02-03 00:00:00,461.758891545
1-BM-cog-V-B13-1-L,1,34.365,1.35986476248,0,2010-02-03 00:00:00,262.699236589
1-BM-cog-V-B13-1-A,2,53.095,3.52045291223,0,2010-02-04 00:00:00,561.592241004
1-BM-cog-V-B13-1-L,2,53.095,2.81974515726,0,2010-02-04 00:00:00,319.682420565
1-BM-cog-V-F3-1-L,1,35.61,1.66367586282,0,2010-02-04 00:00:00,154.577561949
1-BM-cog-V-F3-2-A,1,35.61,2.17483169505,0,2010-02-04 00:00:00,431.294305345
1-BM-cog-V-F4-1-A,1,35.61,1.90671052891,0,2010-02-04 00:00:00,260.394556094
1-BM-cog-V-F4-2-L,1,35.61,1.72085873748,0,2010-02-04 00:00:00,307.259873319
1-BM-cog-V-F5-1-A,1,35.61,1.67803584587,0,2010-02-04 00:00:00,393.508505975
1-BM-cog-V-F5-2-L,1,35.61,1.48757485508,0,2010-02-04 00:00:00,103.87394401
1-BM-cog-V-F7-1-A,1,35.61,1.79145853706,0,2010-02-04 00:00:00,474.621901637
1-BM-cog-V-F7-1-L,1,35.61,1.64304745707,0,2010-02-04 00:00:00,128.271087891
1-BM-cog-V-B13-1-A,3,70.19,6.33260236046,0,2010-02-05 00:00:00,606.516791731
1-BM-cog-V-B13-1-L,3,70.19,5.02270528634,0,2010-02-05 00:00:00,345.422934329
1-BM-cog-V-F3-1-L,2,52.705,3.04047143919,0,2010-02-05 00:00:00,183.915200256
1-BM-cog-V-F3-2-A,2,52.705,3.94131945793,0,2010-02-05 00:00:00,511.716189275
1-BM-cog-V-F4-1-A,2,52.705,3.66456858243,0,2010-02-05 00:00:00,310.415334203
1-BM-cog-V-F4-2-L,2,52.705,3.16544970676,0,2010-02-05 00:00:00,364.423324561
1-BM-cog-V-F5-1-A,2,52.705,3.29331606914,0,2010-02-05 00:00:00,468.240825786
1-BM-cog-V-F5-2-L,2,52.705,2.70454482441,0,2010-02-05 00:00:00,123.746748385
1-BM-cog-V-F7-1-A,2,52.705,3.46651046507,0,2010-02-05 00:00:00,563.464124868
1-BM-cog-V-F7-1-L,2,52.705,3.1277194878,0,2010-02-05 00:00:00,153.240718368
1-BM-cog-V-B13-1-A,4,85.63,9.70764813554,1,2010-02-06 00:00:00,625.855785336
1-BM-cog-V-B13-1-L,4,85.63,7.61055354297,1,2010-02-06 00:00:00,356.540182076
