CodeUC,Days,TTS,Length,Pheno_stage,Date,SFol
1-BP-cog-V-A10-1-A,1,34.265,1.84100007821,0,2010-02-02 00:00:00,257.301653024
1-BP-cog-V-A8-1-L,1,34.265,2.54311989317,0,2010-02-02 00:00:00,217.273990143
1-BP-cog-V-B7-1-A,1,34.265,1.9324241464,0,2010-02-02 00:00:00,360.661098353
1-BP-cog-V-B7-1-L,1,34.265,1.7709463214,0,2010-02-02 00:00:00,90.5280709957
1-BP-cog-V-B8-1-A,1,34.265,1.72903917202,0,2010-02-02 00:00:00,161.619241823
1-BP-cog-V-B8-1-L,1,34.265,1.45108636914,0,2010-02-02 00:00:00,165.097031632
1-BP-cog-V-C1-1-L,1,34.265,1.4842750837,0,2010-02-02 00:00:00,281.632253674
1-BP-cog-V-C1-2-A,1,34.265,1.46060003633,0,2010-02-02 00:00:00,63.1821826698
1-BP-cog-V-C9-1-A,1,34.265,2.47615392295,0,2010-02-02 00:00:00,475.349032544
1-BP-cog-V-D16-1-L,1,34.265,1.71776017124,0,2010-02-02 00:00:00,124.355012512
1-BP-cog-V-A10-1-A,2,49.93,3.36577575209,0,2010-02-03 00:00:00,306.594437622
1-BP-cog-V-A8-1-L,2,49.93,4.18662036882,0,2010-02-03 00:00:00,257.949359664
1-BP-cog-V-B7-1-A,2,49.93,3.3461380422,0,2010-02-03 00:00:00,428.090531056
1-BP-cog-V-B7-1-L,2,49.93,2.92332810281,0,2010-02-03 00:00:00,108.074862543
1-BP-cog-V-B8-1-A,2,49.93,3.03523224761,0,2010-02-03 00:00:00,192.783069406
1-BP-cog-V-B8-1-L,2,49.93,2.46611472474,0,2010-02-03 00:00:00,196.303260089
1-BP-cog-V-C1-1-L,2,49.93,2.6533297504,0,2010-02-03 00:00:00,334.734217563
1-BP-cog-V-C1-2-A,2,49.93,2.5386905145,0,2010-02-03 00:00:00,75.6502105827
1-BP-cog-V-C9-1-A,2,49.93,4.43085023684,0,2010-02-03 00:00:00,564.845036497
1-BP-cog-V-D16-1-L,2,49.93,2.96836228131,0,2010-02-03 00:00:00,148.308549705
1-BP-cog-V-A10-1-A,3,66.545,5.89145896031,0,2010-02-04 00:00:00,336.020440898
1-BP-cog-V-A8-1-L,3,66.545,6.29101796347,0,2010-02-04 00:00:00,281.593825692
1-BP-cog-V-B7-1-A,3,66.545,5.38545964391,0,2010-02-04 00:00:00,467.23012574
1-BP-cog-V-B7-1-L,3,66.545,4.40803070394,0,2010-02-04 00:00:00,118.695231204
1-BP-cog-V-B8-1-A,3,66.545,4.98417954744,0,2010-02-04 00:00:00,211.529555149
