CodeUC,Days,TTS,Length,Pheno_stage,Date,SFol
1-GF-cog-V-B7-1-A,1,36.335,0.37600624538,0,2010-02-08 00:00:00,88.8770500038
1-GF-cog-V-B5-1-L,1,37.035,1.48036474594,0,2010-02-09 00:00:00,128.246942316
1-GF-cog-V-B5-2-L,1,37.035,0.899605765274,0,2010-02-09 00:00:00,119.603229025
1-GF-cog-V-B7-1-A,2,55.005,0.817161070007,0,2010-02-09 00:00:00,106.564124767
1-GF-cog-V-B7-2-L,1,37.035,0.819715095968,0,2010-02-09 00:00:00,61.7619439277
1-GF-cog-V-B12-1-A,1,38.04,1.7068827242,0,2010-02-10 00:00:00,268.894173162
1-GF-cog-V-B5-1-L,2,56.405,2.91918964737,0,2010-02-10 00:00:00,153.609259218
1-GF-cog-V-B5-2-L,2,56.405,1.86088231162,0,2010-02-10 00:00:00,143.355234591
1-GF-cog-V-B7-1-A,3,74.375,1.71043109809,0,2010-02-10 00:00:00,115.381987127
1-GF-cog-V-B7-2-L,2,56.405,1.659769168,0,2010-02-10 00:00:00,73.736869511
1-GF-cog-V-C38-1-A,1,38.04,2.6687690461,0,2010-02-10 00:00:00,205.256876443
1-GF-cog-V-C38-1-L,1,38.04,1.49725261424,0,2010-02-10 00:00:00,139.733169881
1-GF-cog-V-D38-1-A,1,38.04,1.1017340146,0,2010-02-10 00:00:00,191.937181569
1-GF-cog-V-D38-2-L,1,38.04,0.743538083798,0,2010-02-10 00:00:00,202.670912194
1-GF-cog-V-E4-1-A,1,38.04,0.91415948131,0,2010-02-10 00:00:00,186.569122934
1-GF-cog-V-E4-2-L,1,38.04,1.47907144315,0,2010-02-10 00:00:00,234.042188674
1-GF-cog-V-B12-1-A,2,56.295,3.42580834576,0,2010-02-11 00:00:00,316.791837943
1-GF-cog-V-B12-2-A,1,37.625,1.55813063269,0,2010-02-11 00:00:00,142.788928887
1-GF-cog-V-B5-1-L,3,74.66,4.82054119034,0,2010-02-11 00:00:00,164.989624359
1-GF-cog-V-B5-2-L,3,74.66,3.28565445833,0,2010-02-11 00:00:00,154.061157552
1-GF-cog-V-B7-1-A,4,92.63,3.07416524002,1,2010-02-11 00:00:00,118.93293558
1-GF-cog-V-B7-2-L,3,74.66,2.84150379106,0,2010-02-11 00:00:00,78.9977750384
1-GF-cog-V-C38-1-A,2,56.295,4.94389972265,0,2010-02-11 00:00:00,241.722242788
1-GF-cog-V-C38-1-L,2,56.295,2.75201245594,0,2010-02-11 00:00:00,164.444681987
1-GF-cog-V-D38-1-A,2,56.295,2.27296529335,0,2010-02-11 00:00:00,226.407316758
1-GF-cog-V-D38-2-L,2,56.295,1.51733437475,0,2010-02-11 00:00:00,238.154778815
1-GF-cog-V-E4-1-A,2,56.295,1.78945375124,0,2010-02-11 00:00:00,219.075676531
1-GF-cog-V-E4-2-L,2,56.295,2.85983089649,0,2010-02-11 00:00:00,275.03749304
1-GF-cog-V-B12-1-A,3,75.655,6.38130697587,0,2010-02-12 00:00:00,341.058571151
1-GF-cog-V-B12-2-A,2,56.985,2.98615318494,0,2010-02-12 00:00:00,169.996598919
1-GF-cog-V-B5-1-L,4,94.02,6.88205313694,1,2010-02-12 00:00:00,170.234349811
1-GF-cog-V-B5-2-L,4,94.02,5.07141601564,1,2010-02-12 00:00:00,159.01583371
1-GF-cog-V-B7-1-A,5,111.99,4.85407726725,1,2010-02-12 00:00:00,120.494654941
1-GF-cog-V-B7-2-L,4,94.02,4.22494661926,1,2010-02-12 00:00:00,81.3749034598
1-GF-cog-V-C38-1-A,3,75.655,8.13234384538,0,2010-02-12 00:00:00,260.146327584
1-GF-cog-V-C38-1-L,3,75.655,4.47786863994,0,2010-02-12 00:00:00,176.871596751
1-GF-cog-V-D38-1-A,3,75.655,4.44733581087,0,2010-02-12 00:00:00,244.017941998
1-GF-cog-V-D38-2-L,3,75.655,2.9102293101,0,2010-02-12 00:00:00,255.819972472
1-GF-cog-V-E4-1-A,3,75.655,3.19746219264,0,2010-02-12 00:00:00,235.180147882
1-GF-cog-V-E4-2-L,3,75.655,5.0114031751,0,2010-02-12 00:00:00,295.456266709
1-GF-cog-V-B12-1-A,4,94.415,9.91777019461,1,2010-02-13 00:00:00,350.929106632
1-GF-cog-V-B12-2-A,3,75.745,4.80713037896,0,2010-02-13 00:00:00,182.310905198
1-GF-cog-V-B5-1-L,5,112.78,8.35968966445,1,2010-02-13 00:00:00,172.287961313
