0,CodeUC,Days,TTS,Length,Pheno_stage,Date
1,1-F,1,17.76,1.28844169995,0,2003-07-03 00:00:00
2,1-F,2,26.64,1.52118192659,0,2003-07-04 00:00:00
3,1-F,3,35.52,1.79320088876,0,2003-07-05 00:00:00
4,1-F,4,44.4,2.11006874038,0,2003-07-06 00:00:00
5,1-F,5,53.28,2.47774878417,0,2003-07-07 00:00:00
6,1-F,6,62.16,2.90247090755,0,2003-07-08 00:00:00
7,1-F,7,71.04,3.39053833414,0,2003-07-09 00:00:00
8,1-F,8,79.92,3.94805625815,0,2003-07-10 00:00:00
9,1-F,9,88.8,4.58057555526,1,2003-07-11 00:00:00
10,1-F,10,97.68,5.29265336399,1,2003-07-12 00:00:00
11,1-F,11,106.56,6.08734547889,1,2003-07-13 00:00:00
12,1-F,12,115.44,6.96566281196,1,2003-07-14 00:00:00
13,1-F,13,124.32,7.926043725,1,2003-07-15 00:00:00
14,1-F,14,143.2,10.2154998095,1,2003-07-16 00:00:00
15,1-F,15,162.08,12.7577046872,1,2003-07-17 00:00:00
16,1-F,16,180.96,15.4018547584,1,2003-07-18 00:00:00
17,1-F,17,199.84,17.9714092951,2,2003-07-19 00:00:00
18,1-F,18,218.72,20.308799484,2,2003-07-20 00:00:00
19,1-F,19,237.6,22.3106085254,2,2003-07-21 00:00:00
20,1-F,20,256.48,23.9383875084,2,2003-07-22 00:00:00
21,1-F,21,275.36,25.2071179598,2,2003-07-23 00:00:00
22,1-F,22,294.24,26.1637309963,2,2003-07-24 00:00:00
23,1-F,23,313.12,26.8671213154,2,2003-07-25 00:00:00
24,1-F,24,332.0,27.3748248771,2,2003-07-26 00:00:00
25,1-F,25,350.88,27.7364023385,2,2003-07-27 00:00:00
26,1-F,26,369.76,27.9914596021,2,2003-07-28 00:00:00
27,1-F,27,388.64,28.1701655948,2,2003-07-29 00:00:00
28,1-F,28,407.52,28.2947839753,3,2003-07-30 00:00:00
29,1-F,29,426.4,28.3813980833,3,2003-07-31 00:00:00
30,1-F,30,445.28,28.4414595985,3,2003-08-01 00:00:00
31,1-F,31,464.16,28.4830421391,3,2003-08-02 00:00:00
32,1-F,32,483.04,28.5117992939,3,2003-08-03 00:00:00
33,1-F,33,501.92,28.5316716293,3,2003-08-04 00:00:00
34,1-F,34,520.8,28.5453969505,3,2003-08-05 00:00:00
35,1-F,35,539.68,28.5548732262,3,2003-08-06 00:00:00
36,1-F,36,558.56,28.5614142158,3,2003-08-07 00:00:00
37,1-F,37,577.44,28.5659283421,3,2003-08-08 00:00:00
38,1-F,38,596.32,28.5690432977,3,2003-08-09 00:00:00
39,1-F,39,615.2,28.5711925828,3,2003-08-10 00:00:00
40,1-F,40,634.08,28.5726754811,3,2003-08-11 00:00:00
41,1-F,41,652.96,28.5736985659,3,2003-08-12 00:00:00
42,1-F,42,671.84,28.5744043958,3,2003-08-13 00:00:00
43,1-F,43,690.72,28.5748913413,3,2003-08-14 00:00:00
44,1-F,44,709.6,28.5752272761,3,2003-08-15 00:00:00
45,1-F,45,728.48,28.5754590293,3,2003-08-16 00:00:00
46,1-F,46,747.36,28.5756189092,3,2003-08-17 00:00:00
47,1-F,47,766.24,28.5757292053,3,2003-08-18 00:00:00
