0,CodeUC,Days,TTS,Length,Pheno_stage,Date
1,1-F,1,37.76,1.86867303306,0,2003-07-03 00:00:00
2,1-F,2,56.64,2.63140463602,0,2003-07-04 00:00:00
3,1-F,3,75.52,3.66276232419,0,2003-07-05 00:00:00
4,1-F,4,94.4,5.02013550386,0,2003-07-06 00:00:00
5,1-F,5,113.28,6.74435790706,1,2003-07-07 00:00:00
6,1-F,6,132.16,8.83857844061,1,2003-07-08 00:00:00
7,1-F,7,151.04,11.248045673,1,2003-07-09 00:00:00
8,1-F,8,169.92,13.8533285653,1,2003-07-10 00:00:00
9,1-F,9,188.8,16.4878662949,1,2003-07-11 00:00:00
10,1-F,10,207.68,18.9776054558,1,2003-07-12 00:00:00
11,1-F,11,226.56,21.1844329498,2,2003-07-13 00:00:00
12,1-F,12,245.44,23.0320951208,2,2003-07-14 00:00:00
13,1-F,13,264.32,24.5066170543,2,2003-07-15 00:00:00
14,1-F,14,283.2,25.6389664557,2,2003-07-16 00:00:00
15,1-F,15,302.08,26.4831339328,2,2003-07-17 00:00:00
16,1-F,16,320.96,27.0986478434,2,2003-07-18 00:00:00
17,1-F,17,339.84,27.5402162477,2,2003-07-19 00:00:00
18,1-F,18,358.72,27.8533208858,2,2003-07-20 00:00:00
19,1-F,19,377.6,28.0735024244,2,2003-07-21 00:00:00
20,1-F,20,396.48,28.2274374765,2,2003-07-22 00:00:00
21,1-F,21,415.36,28.3346191301,3,2003-07-23 00:00:00
22,1-F,22,434.24,28.409035355,3,2003-07-24 00:00:00
23,1-F,23,453.12,28.4606005263,3,2003-07-25 00:00:00
24,1-F,24,472.0,28.4962826205,3,2003-07-26 00:00:00
25,1-F,25,490.88,28.5209505343,3,2003-07-27 00:00:00
26,1-F,26,509.76,28.5379928963,3,2003-07-28 00:00:00
27,1-F,27,528.64,28.5497616487,3,2003-07-29 00:00:00
28,1-F,28,547.52,28.5578861218,3,2003-07-30 00:00:00
29,1-F,29,566.4,28.5634935819,3,2003-07-31 00:00:00
30,1-F,30,585.28,28.5673632387,3,2003-08-01 00:00:00
31,1-F,31,604.16,28.5700333786,3,2003-08-02 00:00:00
32,1-F,32,623.04,28.5718756973,3,2003-08-03 00:00:00
33,1-F,33,641.92,28.5731467812,3,2003-08-04 00:00:00
34,1-F,34,660.8,28.5740237195,3,2003-08-05 00:00:00
35,1-F,35,679.68,28.5746287172,3,2003-08-06 00:00:00
36,1-F,36,698.56,28.5750460969,3,2003-08-07 00:00:00
37,1-F,37,717.44,28.5753340384,3,2003-08-08 00:00:00
38,1-F,38,736.32,28.5755326817,3,2003-08-09 00:00:00
39,1-F,39,755.2,28.5756697197,3,2003-08-10 00:00:00
40,1-F,40,774.08,28.5757642578,3,2003-08-11 00:00:00
41,1-F,41,792.96,28.5758294763,3,2003-08-12 00:00:00
42,1-F,42,811.84,28.5758744683,3,2003-08-13 00:00:00
43,1-F,43,830.72,28.5759055066,3,2003-08-14 00:00:00
44,1-F,44,849.6,28.5759269189,3,2003-08-15 00:00:00
45,1-F,45,868.48,28.5759416903,3,2003-08-16 00:00:00
46,1-F,46,887.36,28.5759518806,3,2003-08-17 00:00:00
47,1-F,47,906.24,28.5759589105,3,2003-08-18 00:00:00
