0,CodeUC,Days,TTS,Length,Pheno_stage,Date,Surface_Fol
1,1-V,0.0416666666667,1.73333333333,0.360494443578,0,2003-07-02 01:00:00,0.0339542107811
2,1-V,0.0833333333333,2.6,0.374444053771,0,2003-07-02 02:00:00,0.0370460788151
3,1-V,0.125,3.46666666667,0.38892304439,0,2003-07-02 03:00:00,0.0404183190374
4,1-V,0.166666666667,4.33333333333,0.403950685378,0,2003-07-02 04:00:00,0.0440961905315
5,1-V,0.208333333333,5.2,0.419546883643,0,2003-07-02 05:00:00,0.0481072048592
6,1-V,0.25,6.06666666667,0.435732198991,0,2003-07-02 06:00:00,0.0524813236945
7,1-V,0.291666666667,6.93333333333,0.452527860021,0,2003-07-02 07:00:00,0.0572511733506
8,1-V,0.333333333333,7.8,0.469955779952,0,2003-07-02 08:00:00,0.0624522775778
9,1-V,0.375,8.66666666667,0.488038572316,0,2003-07-02 09:00:00,0.0681233101192
10,1-V,0.416666666667,9.53333333333,0.506799566479,0,2003-07-02 10:00:00,0.0743063686205
11,1-V,0.458333333333,10.4,0.526262822918,0,2003-07-02 11:00:00,0.0810472716062
12,1-V,0.5,11.2666666667,0.546453148197,0,2003-07-02 12:00:00,0.0883958803619
13,1-V,0.541666666667,12.1333333333,0.567396109577,0,2003-07-02 13:00:00,0.0964064476923
14,1-V,0.583333333333,13.0,0.58911804917,0,2003-07-02 14:00:00,0.105137995665
15,1-V,0.625,13.8666666667,0.611646097571,0,2003-07-02 15:00:00,0.114654724597
16,1-V,0.666666666667,14.7333333333,0.635008186876,0,2003-07-02 16:00:00,0.125026455693
17,1-V,0.708333333333,15.6,0.659233062986,0,2003-07-02 17:00:00,0.136329109909
18,1-V,0.75,16.4666666667,0.684350297108,0,2003-07-02 18:00:00,0.148645225789
19,1-V,0.791666666667,17.3333333333,0.71039029633,0,2003-07-02 19:00:00,0.16206451918
20,1-V,0.833333333333,18.2,0.737384313175,0,2003-07-02 20:00:00,0.17668448794
21,1-V,0.875,19.0666666667,0.765364453986,0,2003-07-02 21:00:00,0.192611064927
22,1-V,0.916666666667,19.9333333333,0.794363686036,0,2003-07-02 22:00:00,0.209959322748
23,1-V,0.958333333333,20.8,0.824415843207,0,2003-07-02 23:00:00,0.228854233971
24,1-V,1.0,21.6666666667,0.855555630101,0,2003-07-03 00:00:00,0.249431490672
25,1-V,1.04166666667,22.5333333333,0.887818624414,0,2003-07-03 01:00:00,0.271838387431
26,1-V,1.08333333333,23.4,0.921241277432,0,2003-07-03 02:00:00,0.296234772082
27,1-V,1.125,24.2666666667,0.955860912451,0,2003-07-03 03:00:00,0.322794068715
28,1-V,1.16666666667,25.1333333333,0.991715720957,0,2003-07-03 04:00:00,0.351704377679
29,1-V,1.20833333333,26.0,1.02884475637,0,2003-07-03 05:00:00,0.383169657469
30,1-V,1.25,26.8666666667,1.06728792514,0,2003-07-03 06:00:00,0.417410993635
31,1-V,1.29166666667,27.7333333333,1.10708597504,0,2003-07-03 07:00:00,0.454667959982
