Var;cod_arbre;branche;num_ arbre;nb_ram_flo_2002;nb_UC_depuis_la_ramif;axe_porteur;type_axe_porteur;nb_axes_port;num_nd_ramif;axe_port;typo_port;Long;DB;DS;Nb_feuilles;Nb_feuilles_chut;Nb_noeuds;conicit;elancement
LIRFA;B10;I;1;0;5;A;T;5;porteuse;;;21;13,23;11,95;18;0;20;0,061;1,668
LIRFA;B10;I;1;0;5;A;T;5;0;1;v;24;9,28;6,11;19;2;24;0,132;3,119
LIRFA;B10;I;1;0;5;A;T;5;1;2;v;13;4,86;4,27;6;2;9;0,045;2,848
LIRFA;B10;I;1;0;5;A;T;5;2;3;v;15,5;4,3;4,06;10;2;13;0,015;3,708
LIRFA;B10;I;1;0;5;A;T;5;3;4;v;14;4,98;4,1;9;2;12;0,063;3,084
LIRFA;B10;I;1;0;5;A;T;5;4;5;v;15;4,42;3,7;6;0;8;0,048;3,695
LIRFA;B10;I;1;0;5;B;R;1;porteuse;;;14,5;9,26;7,17;8;1;10;0,144;1,765
LIRFA;B10;I;1;0;5;B;R;1;0;1;v;19,5;6,64;5,18;16;2;21;0,075;3,299
LIRFA;B10;I;1;0;5;C;R;1;porteuse;;;12;7,57;6,35;6;1;9;0,102;1,724
LIRFA;B10;I;1;0;5;C;R;1;0;1;v;19,5;6,48;4,73;13;2;18;0,09;3,479
LIRFA;B10;I;1;0;5;D;R;1;porteuse;;;13,2;4,98;4,1;6;2;9;0,067;2,907
LIRFA;B10;I;1;0;5;D;R;1;0;1;v;8,5;6,09;5,45;10;2;13;0,075;1,473
LIRFA;B10;I;1;0;5;E;T;5;porteuse;;;21,5;12,53;10,8;20;0;22;0,08;1,843
LIRFA;B10;I;1;0;5;E;T;5;0;1;v;20;8,05;5,46;20;1;24;0,13;2,961
LIRFA;B10;I;1;0;5;E;T;5;1;2;v;12,3;4,85;4,24;7;2;10;0,05;2,706
LIRFA;B10;I;1;0;5;E;T;5;2;3;v;12,5;6,1;4,21;9;0;11;0,151;2,425
LIRFA;B10;I;1;0;5;E;T;5;3;4;v;14;5,52;4,48;11;0;13;0,074;2,8
LIRFA;B10;I;1;0;5;E;T;5;4;5;v;15;4,05;3,46;10;0;12;0,039;3,995
LIRFA;B10;I;1;0;5;F;R;1;porteuse;;;12,5;7,73;6,13;6;2;9;0,128;1,804
LIRFA;B10;I;1;0;5;F;R;1;0;1;v;17,5;5,53;4,85;15;1;18;0,039;3,372
LIRFA;B10;I;1;0;5;G;R;1;porteuse;;;5,65;4,88;3;2;7;7;0,333;1,434
LIRFA;B10;I;1;0;5;G;R;1;0;1;v;6,1;4,28;10;2;14;14;-0,938;0,854
LIRFA;B10;I;1;0;5;H;R;1;porteuse;;;7,55;6,55;5;3;10;10;0,205;1,307
LIRFA;B10;I;1;0;5;H;R;1;0;1;v;6,3;4,52;13;3;17;17;-1,346;0,719
LIRFA;B10;I;1;0;5;I;R;1;porteuse;;;6,42;5,59;6;2;9;9;-0,064;1,108
LIRFA;B10;I;1;0;5;I;R;1;0;1;v;5,57;3,87;16;0;19;19;-2,178;0,561
LIRFA;B10;I;1;0;5;J;T;2;porteuse;;;18;9,39;9,03;14;0;16;0,02;1,954
LIRFA;B10;I;1;0;5;J;T;2;0;1;v;18,3;7,25;5,88;19;0;21;0,075;2,788
LIRFA;B10;I;1;0;5;J;T;2;1;2;v;12,5;5,02;4,41;8;2;11;0,049;2,651
LIRFA;B10;I;1;0;5;K;T;5;porteuse;;;18,9;12,48;10,29;15;1;19;0,116;1,66
LIRFA;B10;I;1;0;5;K;T;5;0;1;v;21;8,22;5,21;19;1;22;0,143;3,127
LIRFA;B10;I;1;0;5;K;T;5;1;2;v;9,1;3,44;3,18;7;2;10;0,029;2,749
LIRFA;B10;I;1;0;5;K;T;5;2;3;v;13,6;4,74;4,07;10;1;13;0,049;3,087
LIRFA;B10;I;1;0;5;K;T;5;3;4;v;13,8;5,52;4,23;10;0;12;0,093;2,831
LIRFA;B10;I;1;0;5;K;T;5;4;5;v;11,1;4,04;3,67;9;0;11;0,033;2,879
LIRFA;B10;I;1;0;5;L;T;6;porteuse;;;19;11,86;10,7;16;0;19;0,061;1,684
LIRFA;B10;I;1;0;5;L;T;6;0;1;v;21,1;7,99;5,6;19;3;22;0,113;3,105
LIRFA;B10;I;1;0;5;L;T;6;1;2;v;8,8;3,88;3,18;3;1;10;0,08;2,493
LIRFA;B10;I;1;0;5;L;T;6;2;3;v;11,5;3,83;3,49;7;1;11;0,03;3,142
LIRFA;B10;I;1;0;5;L;T;6;3;4;v;16,9;5,76;4,19;11;1;14;0,093;3,397
LIRFA;B10;I;1;0;5;L;T;6;4;5;v;12,6;4,24;3,51;8;1;12;0,058;3,252
LIRFA;B10;I;1;0;5;L;T;6;5;6;v;12,3;4,15;3,86;7;0;9;0,024;3,071
LIRFA;B10;II;1;0;5;A;T;1;porteuse;;;12,2;7,8;7,34;10;2;15;0,038;1,612
LIRFA;B10;II;1;0;5;A;T;1;0;1;v;9,4;6,69;5,81;17;1;21;0,094;1,504
LIRFA;B10;II;1;0;5;B;T;4;porteuse;;;18,3;11,08;10,32;17;1;21;0,042;1,71
LIRFA;B10;II;1;0;5;B;T;4;0;1;v;22,3;7,7;4,79;19;3;23;0,13;3,571
LIRFA;B10;II;1;0;5;B;T;4;1;2;v;12,8;4,82;4,53;7;1;11;0,023;2,738
LIRFA;B10;II;1;0;5;B;T;4;2;3;v;9,9;3,63;3,38;5;1;9;0,025;2,825
LIRFA;B10;II;1;0;5;B;T;4;3;4;v;13,3;4,85;4,5;9;0;12;0,026;2,845
LIRFA;B10;II;1;0;5;C;T;4;porteuse;;;20,1;10,68;9,64;17;2;21;0,052;1,978
LIRFA;B10;II;1;0;5;C;T;4;0;1;v;20,3;7,57;5,8;20;0;24;0,087;3,037
LIRFA;B10;II;1;0;5;C;T;4;1;2;v;8,1;3,5;3,7;6;0;8;-0,025;2,25
LIRFA;B10;II;1;0;5;C;T;4;2;3;v;9,5;3,41;3,61;6;0;9;-0,021;2,707
LIRFA;B10;II;1;0;5;C;T;4;3;4;v;12,3;5,04;4,34;7;0;10;0,057;2,623
LIRFA;B10;II;1;0;5;D;R;1;porteuse;;;8,9;4,74;4,72;6;0;8;0,002;1,882
LIRFA;B10;II;1;0;5;D;R;1;0;1;v;8,2;4,36;4,34;9;0;14;0,002;1,885
LIRFA;B10;II;1;0;5;E;R;1;porteuse;;;8,7;5,41;5,22;5;1;8;0,022;1,637
LIRFA;B10;II;1;0;5;E;R;1;0;1;v;10,4;4,97;4,33;11;0;14;0,062;2,237
LIRFA;B10;II;1;0;5;F;R;1;porteuse;;;15,2;8,71;6,63;11;0;13;0,137;1,982
LIRFA;B10;II;1;0;5;F;R;1;0;1;v;17,1;7,04;4,43;14;2;20;0,153;2,982
LIRFA;B10;II;1;0;5;G;R;1;porteuse;;;9,1;4,35;4,18;6;0;8;0,019;2,134
LIRFA;B10;II;1;0;5;G;R;1;0;1;v;10,5;4,1;3,78;10;0;15;0,03;2,665
LIRFA;B10;II;1;0;5;H;R;1;porteuse;;;9,3;3,37;3,64;6;0;9;-0,029;2,653
LIRFA;B10;II;1;0;5;H;R;1;0;1;v;2,7;2,31;2,11;1;2;8;0,074;1,222
LIRFA;B10;III;1;0;5;A;T;4;porteuse;;;18,9;11,94;11,13;17;0;20;0,043;1,638
LIRFA;B10;III;1;0;5;A;T;4;0;1;v;23,4;8,94;6,5;19;1;24;0,104;3,031
LIRFA;B10;III;1;0;5;A;T;4;1;2;v;12,7;4,66;3,99;7;0;10;0,053;2,936
LIRFA;B10;III;1;0;5;A;T;4;2;3;v;10,8;3,83;4,08;6;0;10;-0,023;2,731
LIRFA;B10;III;1;0;5;A;T;4;3;4;v;15,4;5,46;4,42;9;1;13;0,068;3,117
LIRFA;B10;III;1;0;5;B;T;1;porteuse;;;15,9;9,48;8,12;8;4;15;0,086;1,807
LIRFA;B10;III;1;0;5;B;T;1;0;1;v;18,8;8,04;5,64;18;2;24;0,128;2,749
LIRFA;B10;III;1;0;3;C;R;0;porteuse;;;5,5;3,25;2,99;4;1;6;0,047;1,763
LIRFA;B10;III;1;0;3;D;R;0;porteuse;;;6,2;2,57;3,13;5;1;7;-0,09;2,175
LIRFA;B10;III;1;0;4;E;R;1;porteuse;;;7,5;4,27;4,12;7;1;9;0,02;1,788
LIRFA;B10;III;1;0;4;E;R;1;0;1;v;7,9;3,38;3,18;5;1;12;0,025;2,409
LIRFA;B10;III;1;0;5;F;T;3;porteuse;;;21,2;10,97;9,79;16;2;21;0,056;2,042
LIRFA;B10;III;1;0;5;F;T;3;0;1;v;16,6;6,85;5,93;18;1;22;0,055;2,598
LIRFA;B10;III;1;0;5;F;T;3;1;2;v;11,3;5,56;4,95;7;1;10;0,054;2,15
LIRFA;B10;III;1;0;5;F;T;3;2;3;v;9,5;4,28;4,03;7;0;9;0,026;2,286
LIRFA;B10;III;1;0;5;G;T;5;porteuse;;;20,6;11,64;10,79;19;2;24;0,041;1,837
LIRFA;B10;III;1;0;5;G;T;5;0;1;v;21,8;8,12;5,97;18;5;24;0,099;3,094
LIRFA;B10;III;1;0;5;G;T;5;1;2;v;14,5;5,17;4,59;9;1;14;0,04;2,971
LIRFA;B10;III;1;0;5;G;T;5;2;3;v;15,4;5,6;4,76;9;0;12;0,055;2,973
LIRFA;B10;III;1;0;5;G;T;5;3;4;v;13,5;4,73;4,36;8;1;12;0,027;2,97
LIRFA;B10;III;1;0;5;G;T;5;4;5;v;14,8;4,86;4,55;9;0;11;0,021;3,146
LIRFA;B10;III;1;0;5;H;R;1;porteuse;;;10,8;6,11;5,61;7;0;9;0,046;1,843
LIRFA;B10;III;1;0;5;H;R;1;0;1;v;9,4;5,09;4,37;12;1;18;0,077;1,987
LIRFA;B10;IV;1;0;5;A;T;5;porteuse;;;20;12,95;11,91;13;2;17;0,052;1,609
LIRFA;B10;IV;1;0;5;A;T;5;0;1;v;22,2;10,37;6,49;20;1;24;0,175;2,633
LIRFA;B10;IV;1;0;5;A;T;5;1;2;v;14,5;5,32;4,82;9;0;11;0,034;2,86
LIRFA;B10;IV;1;0;5;A;T;5;2;3;v;15;6,15;4,73;11;1;14;0,095;2,757
LIRFA;B10;IV;1;0;5;A;T;5;3;4;v;18,5;6,31;5,09;11;1;14;0,066;3,246
LIRFA;B10;IV;1;0;5;A;T;5;4;5;v;17,8;7,56;5,65;11;1;14;0,107;2,695
LIRFA;B10;IV;1;0;3;B;T;3;porteuse;;;21,2;11,32;10,37;17;2;21;0,045;1,955
LIRFA;B10;IV;1;0;3;B;T;3;0;1;v;11,5;8,2;7,01;19;1;23;0,103;1,512
LIRFA;B10;IV;1;0;3;B;T;3;1;2;v;13,5;5,73;5,15;10;1;14;0,043;2,482
LIRFA;B10;IV;1;0;3;B;T;3;2;3;v;7,4;3,7;5,53;7;0;9;-0,247;1,603
LIRFA;B10;IV;1;0;5;C;T;3;porteuse;;;17,3;11,42;10,51;16;1;19;0,053;1,578
LIRFA;B10;IV;1;0;5;C;T;3;0;1;v;14,8;7,65;6,88;17;2;19;0,052;2,037
